token	declaring_type	field	attributes
0x04000001	<>f__AnonymousType0`5	<Id>i__Field	Private, InitOnly
0x04000002	<>f__AnonymousType0`5	<Name>i__Field	Private, InitOnly
0x04000003	<>f__AnonymousType0`5	<Price>i__Field	Private, InitOnly
0x04000004	<>f__AnonymousType0`5	<Trade>i__Field	Private, InitOnly
0x04000005	<>f__AnonymousType0`5	<StockLimit>i__Field	Private, InitOnly
0x04000006	<>f__AnonymousType1`2	<Query>i__Field	Private, InitOnly
0x04000007	<>f__AnonymousType1`2	<Result>i__Field	Private, InitOnly
0x04000008	<>f__AnonymousType2`2	<term>i__Field	Private, InitOnly
0x04000009	<>f__AnonymousType2`2	<score>i__Field	Private, InitOnly
0x0400000A	WalkDirection	value__	Public, SpecialName, RTSpecialName
0x0400000B	WalkDirection	None	Public, Static, Literal, HasDefault
0x0400000C	WalkDirection	Up	Public, Static, Literal, HasDefault
0x0400000D	WalkDirection	Down	Public, Static, Literal, HasDefault
0x0400000E	WalkDirection	Left	Public, Static, Literal, HasDefault
0x0400000F	WalkDirection	Right	Public, Static, Literal, HasDefault
0x04000010	WalkDirection	UpLeft	Public, Static, Literal, HasDefault
0x04000011	WalkDirection	UpRight	Public, Static, Literal, HasDefault
0x04000012	WalkDirection	DownLeft	Public, Static, Literal, HasDefault
0x04000013	WalkDirection	DownRight	Public, Static, Literal, HasDefault
0x04000014	Log	enabled	Public, Static
0x04000015	ObjectID	Acorn	Public, Static, Literal, HasDefault
0x04000016	ObjectID	Aerinite	Public, Static, Literal, HasDefault
0x04000017	ObjectID	AgedRoe	Public, Static, Literal, HasDefault
0x04000018	ObjectID	Alamite	Public, Static, Literal, HasDefault
0x04000019	ObjectID	Albacore	Public, Static, Literal, HasDefault
0x0400001A	ObjectID	AlgaeSoup	Public, Static, Literal, HasDefault
0x0400001B	ObjectID	Amaranth	Public, Static, Literal, HasDefault
0x0400001C	ObjectID	AmaranthSeeds	Public, Static, Literal, HasDefault
0x0400001D	ObjectID	Amethyst	Public, Static, Literal, HasDefault
0x0400001E	ObjectID	AmethystRing	Public, Static, Literal, HasDefault
0x0400001F	ObjectID	AmphibianFossil	Public, Static, Literal, HasDefault
0x04000020	ObjectID	Anchor	Public, Static, Literal, HasDefault
0x04000021	ObjectID	Anchovy	Public, Static, Literal, HasDefault
0x04000022	ObjectID	AncientDoll	Public, Static, Literal, HasDefault
0x04000023	ObjectID	AncientDrum	Public, Static, Literal, HasDefault
0x04000024	ObjectID	AncientFruit	Public, Static, Literal, HasDefault
0x04000025	ObjectID	AncientSeed	Public, Static, Literal, HasDefault
0x04000026	ObjectID	AncientSeeds	Public, Static, Literal, HasDefault
0x04000027	ObjectID	AncientSword	Public, Static, Literal, HasDefault
0x04000028	ObjectID	Angler	Public, Static, Literal, HasDefault
0x04000029	ObjectID	Apple	Public, Static, Literal, HasDefault
0x0400002A	ObjectID	AppleSapling	Public, Static, Literal, HasDefault
0x0400002B	ObjectID	Apricot	Public, Static, Literal, HasDefault
0x0400002C	ObjectID	ApricotSapling	Public, Static, Literal, HasDefault
0x0400002D	ObjectID	Aquamarine	Public, Static, Literal, HasDefault
0x0400002E	ObjectID	AquamarineRing	Public, Static, Literal, HasDefault
0x0400002F	ObjectID	Arrowhead	Public, Static, Literal, HasDefault
0x04000030	ObjectID	Artichoke	Public, Static, Literal, HasDefault
0x04000031	ObjectID	ArtichokeDip	Public, Static, Literal, HasDefault
0x04000032	ObjectID	ArtichokeSeeds	Public, Static, Literal, HasDefault
0x04000033	ObjectID	ArtifactSpot	Public, Static, Literal, HasDefault
0x04000034	ObjectID	ArtifactTrove	Public, Static, Literal, HasDefault
0x04000035	ObjectID	AutumnsBounty	Public, Static, Literal, HasDefault
0x04000036	ObjectID	Bait	Public, Static, Literal, HasDefault
0x04000037	ObjectID	BakedFish	Public, Static, Literal, HasDefault
0x04000038	ObjectID	BarbedHook	Public, Static, Literal, HasDefault
0x04000039	ObjectID	Baryte	Public, Static, Literal, HasDefault
0x0400003A	ObjectID	Basalt	Public, Static, Literal, HasDefault
0x0400003B	ObjectID	BasicFertilizer	Public, Static, Literal, HasDefault
0x0400003C	ObjectID	BasicRetainingSoil	Public, Static, Literal, HasDefault
0x0400003D	ObjectID	BatteryPack	Public, Static, Literal, HasDefault
0x0400003E	ObjectID	BatWing	Public, Static, Literal, HasDefault
0x0400003F	ObjectID	BeanHotpot	Public, Static, Literal, HasDefault
0x04000040	ObjectID	BeanStarter	Public, Static, Literal, HasDefault
0x04000041	ObjectID	Beer	Public, Static, Literal, HasDefault
0x04000042	ObjectID	Beet	Public, Static, Literal, HasDefault
0x04000043	ObjectID	BeetSeeds	Public, Static, Literal, HasDefault
0x04000044	ObjectID	BerryBasket	Public, Static, Literal, HasDefault
0x04000045	ObjectID	Bixite	Public, Static, Literal, HasDefault
0x04000046	ObjectID	Blackberry	Public, Static, Literal, HasDefault
0x04000047	ObjectID	BlackberryCobbler	Public, Static, Literal, HasDefault
0x04000048	ObjectID	Blobfish	Public, Static, Literal, HasDefault
0x04000049	ObjectID	Blueberry	Public, Static, Literal, HasDefault
0x0400004A	ObjectID	BlueberrySeeds	Public, Static, Literal, HasDefault
0x0400004B	ObjectID	BlueberryTart	Public, Static, Literal, HasDefault
0x0400004C	ObjectID	BlueJazz	Public, Static, Literal, HasDefault
0x0400004D	ObjectID	BlueSlimeEgg	Public, Static, Literal, HasDefault
0x0400004E	ObjectID	BokChoy	Public, Static, Literal, HasDefault
0x0400004F	ObjectID	BokChoySeeds	Public, Static, Literal, HasDefault
0x04000050	ObjectID	Bomb	Public, Static, Literal, HasDefault
0x04000051	ObjectID	BoneFlute	Public, Static, Literal, HasDefault
0x04000052	ObjectID	Bouquet	Public, Static, Literal, HasDefault
0x04000053	ObjectID	Bread	Public, Static, Literal, HasDefault
0x04000054	ObjectID	Bream	Public, Static, Literal, HasDefault
0x04000055	ObjectID	BrickFloor	Public, Static, Literal, HasDefault
0x04000056	ObjectID	BrokenCD	Public, Static, Literal, HasDefault
0x04000057	ObjectID	BrokenGlasses	Public, Static, Literal, HasDefault
0x04000058	ObjectID	Bruschetta	Public, Static, Literal, HasDefault
0x04000059	ObjectID	BugMeat	Public, Static, Literal, HasDefault
0x0400005A	ObjectID	Bullhead	Public, Static, Literal, HasDefault
0x0400005B	ObjectID	BurglarsRing	Public, Static, Literal, HasDefault
0x0400005C	ObjectID	CactusFruit	Public, Static, Literal, HasDefault
0x0400005D	ObjectID	CactusSeeds	Public, Static, Literal, HasDefault
0x0400005E	ObjectID	Calcite	Public, Static, Literal, HasDefault
0x0400005F	ObjectID	Carp	Public, Static, Literal, HasDefault
0x04000060	ObjectID	CarpSurprise	Public, Static, Literal, HasDefault
0x04000061	ObjectID	Catfish	Public, Static, Literal, HasDefault
0x04000062	ObjectID	Cauliflower	Public, Static, Literal, HasDefault
0x04000063	ObjectID	CauliflowerSeeds	Public, Static, Literal, HasDefault
0x04000064	ObjectID	CaveCarrot	Public, Static, Literal, HasDefault
0x04000065	ObjectID	Caviar	Public, Static, Literal, HasDefault
0x04000066	ObjectID	Celestine	Public, Static, Literal, HasDefault
0x04000067	ObjectID	Chanterelle	Public, Static, Literal, HasDefault
0x04000068	ObjectID	Cheese	Public, Static, Literal, HasDefault
0x04000069	ObjectID	CheeseCauliflower	Public, Static, Literal, HasDefault
0x0400006A	ObjectID	Cherry	Public, Static, Literal, HasDefault
0x0400006B	ObjectID	CherryBomb	Public, Static, Literal, HasDefault
0x0400006C	ObjectID	CherrySapling	Public, Static, Literal, HasDefault
0x0400006D	ObjectID	ChewingStick	Public, Static, Literal, HasDefault
0x0400006E	ObjectID	ChickenStatue	Public, Static, Literal, HasDefault
0x0400006F	ObjectID	ChippedAmphora	Public, Static, Literal, HasDefault
0x04000070	ObjectID	ChocolateCake	Public, Static, Literal, HasDefault
0x04000071	ObjectID	Chowder	Public, Static, Literal, HasDefault
0x04000072	ObjectID	Chub	Public, Static, Literal, HasDefault
0x04000073	ObjectID	Clam	Public, Static, Literal, HasDefault
0x04000074	ObjectID	Clay	Public, Static, Literal, HasDefault
0x04000075	ObjectID	Cloth	Public, Static, Literal, HasDefault
0x04000076	ObjectID	Coal	Public, Static, Literal, HasDefault
0x04000077	ObjectID	CobblestonePath	Public, Static, Literal, HasDefault
0x04000078	ObjectID	Cockle	Public, Static, Literal, HasDefault
0x04000079	ObjectID	Coconut	Public, Static, Literal, HasDefault
0x0400007A	ObjectID	Coffee	Public, Static, Literal, HasDefault
