token	declaring_type	method	rva	il_bytes	attributes	impl_attributes
0x06000001	<>f__AnonymousType0`5	get_Id	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000002	<>f__AnonymousType0`5	get_Name	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000003	<>f__AnonymousType0`5	get_Price	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000004	<>f__AnonymousType0`5	get_Trade	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000005	<>f__AnonymousType0`5	get_StockLimit	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000006	<>f__AnonymousType0`5	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000007	<>f__AnonymousType0`5	Equals	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000008	<>f__AnonymousType0`5	GetHashCode	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000009	<>f__AnonymousType0`5	ToString	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x0600000A	<>f__AnonymousType1`2	get_Query	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x0600000B	<>f__AnonymousType1`2	get_Result	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x0600000C	<>f__AnonymousType1`2	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x0600000D	<>f__AnonymousType1`2	Equals	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x0600000E	<>f__AnonymousType1`2	GetHashCode	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x0600000F	<>f__AnonymousType1`2	ToString	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000010	<>f__AnonymousType2`2	get_term	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000011	<>f__AnonymousType2`2	get_score	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000012	<>f__AnonymousType2`2	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000013	<>f__AnonymousType2`2	Equals	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000014	<>f__AnonymousType2`2	GetHashCode	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000015	<>f__AnonymousType2`2	ToString	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x06000016	Log	It	0x2050	1	Public, Static, HideBySig	NoInlining
0x06000017	Log	Exception	0x2050	1	Public, Static, HideBySig	NoInlining
0x06000018	Log	Exception	0x2050	1	Public, Static, HideBySig	NoInlining
0x06000019	Log	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x0600001A	FrameRateCounter	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x0600001B	FrameRateCounter	LoadContent	0x2050	1	Family, Virtual, HideBySig	NoInlining
0x0600001C	FrameRateCounter	UnloadContent	0x2050	1	Family, Virtual, HideBySig	NoInlining
0x0600001D	FrameRateCounter	Update	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x0600001E	FrameRateCounter	Draw	0x2050	1	Public, Virtual, HideBySig	NoInlining
0x0600001F	DontLoadDefaultSetting	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000020	UTF8Marshaler	MarshalManagedToNative	0x2050	1	Public, Final, Virtual, HideBySig, VtableLayoutMask	NoInlining
0x06000021	UTF8Marshaler	MarshalNativeToManaged	0x2050	1	Public, Final, Virtual, HideBySig, VtableLayoutMask	NoInlining
0x06000022	UTF8Marshaler	CleanUpNativeData	0x2050	1	Public, Final, Virtual, HideBySig, VtableLayoutMask	NoInlining
0x06000023	UTF8Marshaler	CleanUpManagedData	0x2050	1	Public, Final, Virtual, HideBySig, VtableLayoutMask	NoInlining
0x06000024	UTF8Marshaler	GetNativeDataSize	0x2050	1	Public, Final, Virtual, HideBySig, VtableLayoutMask	NoInlining
0x06000025	UTF8Marshaler	GetInstance	0x2050	1	Public, Static, HideBySig	NoInlining
0x06000026	UTF8Marshaler	MarshalNativeToString	0x2050	1	Public, Static, HideBySig	NoInlining
0x06000027	UTF8Marshaler	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000028	RailEventCallBackFunction	.ctor	0x0	0	Public, HideBySig, SpecialName, RTSpecialName	11
0x06000029	RailEventCallBackFunction	Invoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x0600002A	RailEventCallBackFunction	BeginInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x0600002B	RailEventCallBackFunction	EndInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x0600002C	RailWarningMessageCallbackFunction	.ctor	0x0	0	Public, HideBySig, SpecialName, RTSpecialName	11
0x0600002D	RailWarningMessageCallbackFunction	Invoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x0600002E	RailWarningMessageCallbackFunction	BeginInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x0600002F	RailWarningMessageCallbackFunction	EndInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000030	RailEventCallBackHandler	.ctor	0x0	0	Public, HideBySig, SpecialName, RTSpecialName	11
0x06000031	RailEventCallBackHandler	Invoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000032	RailEventCallBackHandler	BeginInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000033	RailEventCallBackHandler	EndInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000034	RailCaptureVoiceCallback	.ctor	0x0	0	Public, HideBySig, SpecialName, RTSpecialName	11
0x06000035	RailCaptureVoiceCallback	Invoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000036	RailCaptureVoiceCallback	BeginInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000037	RailCaptureVoiceCallback	EndInvoke	0x0	0	Public, Virtual, HideBySig, VtableLayoutMask	11
0x06000038	MonoPInvokeCallbackAttribute	.ctor	0x2050	1	Public, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000039	ObjToStr	Format	0x2050	1	Public, Static, HideBySig	NoInlining
0x0600003A	ObjToStr	CompareToStringMembers	0x2050	1	Private, Static, HideBySig	NoInlining
0x0600003B	ObjToStr	.cctor	0x2050	1	Private, Static, HideBySig, SpecialName, RTSpecialName	NoInlining
0x0600003C	Ionic.Zlib.DeflateManager	.ctor	0x2050	1	Assembly, HideBySig, SpecialName, RTSpecialName	NoInlining
0x0600003D	Ionic.Zlib.DeflateManager	_InitializeLazyMatch	0x2050	1	Private, HideBySig	NoInlining
0x0600003E	Ionic.Zlib.DeflateManager	_InitializeTreeData	0x2050	1	Private, HideBySig	NoInlining
0x0600003F	Ionic.Zlib.DeflateManager	_InitializeBlocks	0x2050	1	Assembly, HideBySig	NoInlining
0x06000040	Ionic.Zlib.DeflateManager	pqdownheap	0x2050	1	Assembly, HideBySig	NoInlining
0x06000041	Ionic.Zlib.DeflateManager	_IsSmaller	0x2050	1	Assembly, Static, HideBySig	NoInlining
0x06000042	Ionic.Zlib.DeflateManager	scan_tree	0x2050	1	Assembly, HideBySig	NoInlining
0x06000043	Ionic.Zlib.DeflateManager	build_bl_tree	0x2050	1	Assembly, HideBySig	NoInlining
0x06000044	Ionic.Zlib.DeflateManager	send_all_trees	0x2050	1	Assembly, HideBySig	NoInlining
0x06000045	Ionic.Zlib.DeflateManager	send_tree	0x2050	1	Assembly, HideBySig	NoInlining
0x06000046	Ionic.Zlib.DeflateManager	put_bytes	0x2050	1	Private, HideBySig	NoInlining
0x06000047	Ionic.Zlib.DeflateManager	send_code	0x2050	1	Assembly, HideBySig	NoInlining
0x06000048	Ionic.Zlib.DeflateManager	send_bits	0x2050	1	Assembly, HideBySig	NoInlining
0x06000049	Ionic.Zlib.DeflateManager	_tr_align	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004A	Ionic.Zlib.DeflateManager	_tr_tally	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004B	Ionic.Zlib.DeflateManager	send_compressed_block	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004C	Ionic.Zlib.DeflateManager	set_data_type	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004D	Ionic.Zlib.DeflateManager	bi_flush	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004E	Ionic.Zlib.DeflateManager	bi_windup	0x2050	1	Assembly, HideBySig	NoInlining
0x0600004F	Ionic.Zlib.DeflateManager	copy_block	0x2050	1	Assembly, HideBySig	NoInlining
0x06000050	Ionic.Zlib.DeflateManager	flush_block_only	0x2050	1	Assembly, HideBySig	NoInlining
0x06000051	Ionic.Zlib.DeflateManager	DeflateNone	0x2050	1	Assembly, HideBySig	NoInlining
0x06000052	Ionic.Zlib.DeflateManager	_tr_stored_block	0x2050	1	Assembly, HideBySig	NoInlining
0x06000053	Ionic.Zlib.DeflateManager	_tr_flush_block	0x2050	1	Assembly, HideBySig	NoInlining
0x06000054	Ionic.Zlib.DeflateManager	_fillWindow	0x2050	1	Private, HideBySig	NoInlining
0x06000055	Ionic.Zlib.DeflateManager	DeflateFast	0x2050	1	Assembly, HideBySig	NoInlining
0x06000056	Ionic.Zlib.DeflateManager	DeflateSlow	0x2050	1	Assembly, HideBySig	NoInlining
0x06000057	Ionic.Zlib.DeflateManager	longest_match	0x2050	1	Assembly, HideBySig	NoInlining
0x06000058	Ionic.Zlib.DeflateManager	get_WantRfc1950HeaderBytes	0x2050	1	Assembly, HideBySig, SpecialName	NoInlining
0x06000059	Ionic.Zlib.DeflateManager	set_WantRfc1950HeaderBytes	0x2050	1	Assembly, HideBySig, SpecialName	NoInlining
0x0600005A	Ionic.Zlib.DeflateManager	Initialize	0x2050	1	Assembly, HideBySig	NoInlining
0x0600005B	Ionic.Zlib.DeflateManager	Initialize	0x2050	1	Assembly, HideBySig	NoInlining
0x0600005C	Ionic.Zlib.DeflateManager	Initialize	0x2050	1	Assembly, HideBySig	NoInlining
0x0600005D	Ionic.Zlib.DeflateManager	Initialize	0x2050	1	Assembly, HideBySig	NoInlining
0x0600005E	Ionic.Zlib.DeflateManager	Reset	0x2050	1	Assembly, HideBySig	NoInlining
0x0600005F	Ionic.Zlib.DeflateManager	End	0x2050	1	Assembly, HideBySig	NoInlining
0x06000060	Ionic.Zlib.DeflateManager	SetDeflater	0x2050	1	Private, HideBySig	NoInlining
0x06000061	Ionic.Zlib.DeflateManager	SetParams	0x2050	1	Assembly, HideBySig	NoInlining
0x06000062	Ionic.Zlib.DeflateManager	SetDictionary	0x2050	1	Assembly, HideBySig	NoInlining
0x06000063	Ionic.Zlib.DeflateManager	Deflate	0x2050	1	Assembly, HideBySig	NoInlining
0x06000064	Ionic.Zlib.DeflateManager	.cctor	0x2050	1	Private, Static, HideBySig, SpecialName, RTSpecialName	NoInlining
0x06000065	Ionic.Zlib.GZipStream	get_Comment	0x2050	1	Public, HideBySig, SpecialName	NoInlining
0x06000066	Ionic.Zlib.GZipStream	set_Comment	0x2050	1	Public, HideBySig, SpecialName	NoInlining
