token	type	attributes	methods	fields	properties	nested
0x02000001	<Module>	NotPublic	0	0	0	0
0x02000002	<>f__AnonymousType0`5	Sealed, BeforeFieldInit	9	5	5	0
0x02000003	<>f__AnonymousType1`2	Sealed, BeforeFieldInit	6	2	2	0
0x02000004	<>f__AnonymousType2`2	Sealed, BeforeFieldInit	6	2	2	0
0x02000005	WalkDirection	Public, Sealed	0	10	0	0
0x02000006	Log	BeforeFieldInit	4	1	0	0
0x02000007	ObjectID	Public, SequentialLayout, Sealed, BeforeFieldInit	0	587	0	0
0x02000008	BigCraftableID	Public, SequentialLayout, Sealed, BeforeFieldInit	0	147	0	0
0x02000009	FurnitureID	Public, SequentialLayout, Sealed, BeforeFieldInit	0	247	0	0
0x0200000A	MouseCursor	Public, Sealed	0	8	0	0
0x0200000B	TapState	Public, Sealed	0	5	0	0
0x0200000C	DistanceToTarget	Public, Sealed	0	4	0	0
0x0200000D	WeaponControl	Public, Sealed	0	10	0	0
0x0200000E	FrameRateCounter	Public, BeforeFieldInit	5	5	0	0
0x0200000F	DontLoadDefaultSetting	Public, BeforeFieldInit	1	0	0	0
0x02000010	UTF8Marshaler	Public, BeforeFieldInit	8	1	0	0
0x02000011	RailEventCallBackFunction	Public, Sealed	4	0	0	0
0x02000012	RailWarningMessageCallbackFunction	Public, Sealed	4	0	0	0
0x02000013	RailEventCallBackHandler	Public, Sealed	4	0	0	0
0x02000014	RailCaptureVoiceCallback	Public, Sealed	4	0	0	0
0x02000015	MonoPInvokeCallbackAttribute	BeforeFieldInit	1	0	0	0
0x02000016	ObjToStr	Public, Abstract, Sealed, BeforeFieldInit	3	2	0	4
0x02000017	Ionic.Zlib.BlockState	Sealed	0	5	0	0
0x02000018	Ionic.Zlib.DeflateFlavor	Sealed	0	4	0	0
0x02000019	Ionic.Zlib.DeflateManager	Sealed, BeforeFieldInit	41	74	1	2
0x0200001A	Ionic.Zlib.GZipStream	Public, BeforeFieldInit	33	10	12	0
0x0200001B	Ionic.Zlib.InflateBlocks	Sealed, BeforeFieldInit	8	22	0	1
0x0200001C	Ionic.Zlib.InternalInflateConstants	Abstract, Sealed, BeforeFieldInit	1	1	0	0
0x0200001D	Ionic.Zlib.InflateCodes	Sealed, BeforeFieldInit	4	24	0	0
0x0200001E	Ionic.Zlib.InflateManager	Sealed, BeforeFieldInit	12	12	1	1
0x0200001F	Ionic.Zlib.InfTree	Sealed, BeforeFieldInit	7	25	0	0
0x02000020	Ionic.Zlib.Tree	Sealed, BeforeFieldInit	7	13	0	0
0x02000021	Ionic.Zlib.FlushType	Public, Sealed	0	6	0	0
0x02000022	Ionic.Zlib.CompressionLevel	Public, Sealed	0	15	0	0
0x02000023	Ionic.Zlib.CompressionStrategy	Public, Sealed	0	4	0	0
0x02000024	Ionic.Zlib.CompressionMode	Public, Sealed	0	3	0	0
0x02000025	Ionic.Zlib.ZlibException	Public, BeforeFieldInit	2	0	0	0
0x02000026	Ionic.Zlib.SharedUtils	BeforeFieldInit	5	0	0	0
0x02000027	Ionic.Zlib.InternalConstants	Abstract, Sealed, BeforeFieldInit	1	10	0	0
0x02000028	Ionic.Zlib.StaticTree	Sealed	2	10	0	0
0x02000029	Ionic.Zlib.Adler	Public, Sealed, BeforeFieldInit	3	2	0	0
0x0200002A	Ionic.Zlib.ZlibStreamFlavor	Sealed	0	4	0	0
0x0200002B	Ionic.Zlib.ZlibBaseStream	BeforeFieldInit	25	18	9	1
0x0200002C	Ionic.Zlib.ZlibCodec	Public, Sealed, BeforeFieldInit	23	15	1	0
0x0200002D	Ionic.Zlib.ZlibConstants	Public, Abstract, Sealed, BeforeFieldInit	0	10	0	0
0x0200002E	Ionic.Zlib.ZlibStream	Public, BeforeFieldInit	26	2	9	0
0x0200002F	Ionic.Crc.CRC32	Public, BeforeFieldInit	19	6	2	0
0x02000030	Ionic.Crc.CrcCalculatorStream	Public, BeforeFieldInit	24	5	8	0
0x02000031	Sickhead.Engine.Util.MemberInfoExtensions	Public, Abstract, Sealed, BeforeFieldInit	9	0	0	0
0x02000032	rail.RAIL_API_PINVOKE	NotPublic	5191	3	0	3
0x02000033	rail.RailComparableID	Public, BeforeFieldInit	13	2	0	0
0x02000034	rail.IRailAchievementHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x02000035	rail.IRailAntiAddictionHelperImpl	Public, BeforeFieldInit	3	0	0	0
0x02000036	rail.IRailAppsImpl	Public, BeforeFieldInit	4	0	0	0
0x02000037	rail.IRailAssetsImpl	Public, BeforeFieldInit	20	0	0	0
0x02000038	rail.IRailAssetsHelperImpl	Public, BeforeFieldInit	4	0	0	0
0x02000039	rail.IRailBrowserImpl	Public, BeforeFieldInit	12	0	0	0
0x0200003A	rail.IRailBrowserHelperImpl	Public, BeforeFieldInit	9	0	0	0
0x0200003B	rail.IRailBrowserRenderImpl	Public, BeforeFieldInit	24	0	0	0
0x0200003C	rail.IRailDlcHelperImpl	Public, BeforeFieldInit	11	0	0	0
0x0200003D	rail.IRailFactoryImpl	Public, BeforeFieldInit	35	0	0	0
0x0200003E	rail.IRailFileImpl	Public, BeforeFieldInit	13	0	0	0
0x0200003F	rail.IRailFloatingWindowImpl	Public, BeforeFieldInit	9	0	0	0
0x02000040	rail.IRailFriendsImpl	Public, BeforeFieldInit	16	0	0	0
0x02000041	rail.IRailGameImpl	Public, BeforeFieldInit	21	0	0	0
