addr	name	token	type	method	body_bytes	ranges
0x101784eac	SDV_StardewValley_TutorialMessage_get_Message_060031cb	0x060031cb	StardewValley.TutorialMessage	get_Message	16	1
0x101784ed0	SDV_StardewValley_TutorialMessage_set_Message_060031cc	0x060031cc	StardewValley.TutorialMessage	set_Message	64	1
0x101784f10	SDV_StardewValley_TutorialMessage__ctor_060031cd	0x060031cd	StardewValley.TutorialMessage	.ctor	608	1
0x101785170	SDV_StardewValley_TutorialMessage_update_060031ce	0x060031ce	StardewValley.TutorialMessage	update	288	2
0x101785298	SDV_StardewValley_TutorialMessage_receiveRightClick_060031cf	0x060031cf	StardewValley.TutorialMessage	receiveRightClick	44	1
0x10179d4e8	SDV_StardewValley_CloudSync_get_SyncMenu_060032d6	0x060032d6	StardewValley.CloudSync	get_SyncMenu	224	2
0x10179d5d4	SDV_StardewValley_CloudSync_get_IsSyncing_060032d7	0x060032d7	StardewValley.CloudSync	get_IsSyncing	196	2
0x10179d6bc	SDV_StardewValley_CloudSync_get_Progress_060032d8	0x060032d8	StardewValley.CloudSync	get_Progress	124	1
0x10179d74c	SDV_StardewValley_CloudSync_get_IsStopping_060032d9	0x060032d9	StardewValley.CloudSync	get_IsStopping	16	1
0x10179d770	SDV_StardewValley_CloudSync_RequestStop_060032da	0x060032da	StardewValley.CloudSync	RequestStop	184	2
0x10179d84c	SDV_StardewValley_CloudSync_BeginSync_060032db	0x060032db	StardewValley.CloudSync	BeginSync	496	2
0x10179da5c	SDV_StardewValley_CloudSync_Wait_060032dc	0x060032dc	StardewValley.CloudSync	Wait	204	2
0x10179db44	SDV_StardewValley_CloudSync_DeleteSave_060032dd	0x060032dd	StardewValley.CloudSync	DeleteSave	324	2
0x10179dcac	SDV_StardewValley_CloudSync_UploadSave_060032de	0x060032de	StardewValley.CloudSync	UploadSave	324	2
0x10179de14	SDV_StardewValley_CloudSync_ShowConflictBox_060032df	0x060032df	StardewValley.CloudSync	ShowConflictBox	1812	1
