assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
BmFont	0	0x06000001	BmFont.FontFile	get_Info	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bd8	0x947c5ce4	0x1022cef68	0x1022cef68	mapped	0x1022cef68
BmFont	1	0x06000002	BmFont.FontFile	set_Info	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bdc	0x947c5cec	0x1022cef8c	0x1022cef8c	mapped	0x1022cef8c
BmFont	2	0x06000003	BmFont.FontFile	get_Common	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7be0	0x947c5cfb	0x1022cefcc	0x1022cefcc	mapped	0x1022cefcc
BmFont	3	0x06000004	BmFont.FontFile	set_Common	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7be4	0x947c5d03	0x1022ceff0	0x1022ceff0	mapped	0x1022ceff0
BmFont	4	0x06000005	BmFont.FontFile	get_Pages	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7be8	0x947c5d12	0x1022cf030	0x1022cf030	mapped	0x1022cf030
BmFont	5	0x06000006	BmFont.FontFile	set_Pages	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bec	0x947c5d1a	0x1022cf054	0x1022cf054	mapped	0x1022cf054
BmFont	6	0x06000007	BmFont.FontFile	get_Chars	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bf0	0x947c5d29	0x1022cf094	0x1022cf094	mapped	0x1022cf094
BmFont	7	0x06000008	BmFont.FontFile	set_Chars	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bf4	0x947c5d31	0x1022cf0b8	0x1022cf0b8	mapped	0x1022cf0b8
BmFont	8	0x06000009	BmFont.FontFile	get_Kernings	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bf8	0x947c5d40	0x1022cf0f8	0x1022cf0f8	mapped	0x1022cf0f8
BmFont	9	0x0600000a	BmFont.FontFile	set_Kernings	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7bfc	0x947c5d48	0x1022cf11c	0x1022cf11c	mapped	0x1022cf11c
BmFont	10	0x0600000b	BmFont.FontFile	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b7c00	0x947c5d57	0x1022cf15c	0x1022cf15c	mapped	0x1022cf15c
BmFont	11	0x0600000c	BmFont.FontInfo	get_Face	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c04	0x947c5d57	0x1022cf160	0x1022cf160	mapped	0x1022cf160
BmFont	12	0x0600000d	BmFont.FontInfo	set_Face	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c08	0x947c5d5f	0x1022cf184	0x1022cf184	mapped	0x1022cf184
BmFont	13	0x0600000e	BmFont.FontInfo	get_Size	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c0c	0x947c5d6e	0x1022cf1c4	0x1022cf1c4	mapped	0x1022cf1c4
BmFont	14	0x0600000f	BmFont.FontInfo	set_Size	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c10	0x947c5d76	0x1022cf1e8	0x1022cf1e8	mapped	0x1022cf1e8
BmFont	15	0x06000010	BmFont.FontInfo	get_Bold	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c14	0x947c5d7e	0x1022cf20c	0x1022cf20c	mapped	0x1022cf20c
BmFont	16	0x06000011	BmFont.FontInfo	set_Bold	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c18	0x947c5d86	0x1022cf230	0x1022cf230	mapped	0x1022cf230
BmFont	17	0x06000012	BmFont.FontInfo	get_Italic	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c1c	0x947c5d8e	0x1022cf254	0x1022cf254	mapped	0x1022cf254
BmFont	18	0x06000013	BmFont.FontInfo	set_Italic	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c20	0x947c5d96	0x1022cf278	0x1022cf278	mapped	0x1022cf278
BmFont	19	0x06000014	BmFont.FontInfo	get_CharSet	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c24	0x947c5d9e	0x1022cf29c	0x1022cf29c	mapped	0x1022cf29c
BmFont	20	0x06000015	BmFont.FontInfo	set_CharSet	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c28	0x947c5da6	0x1022cf2c0	0x1022cf2c0	mapped	0x1022cf2c0
BmFont	21	0x06000016	BmFont.FontInfo	get_Unicode	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c2c	0x947c5db5	0x1022cf300	0x1022cf300	mapped	0x1022cf300
BmFont	22	0x06000017	BmFont.FontInfo	set_Unicode	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c30	0x947c5dbd	0x1022cf324	0x1022cf324	mapped	0x1022cf324
BmFont	23	0x06000018	BmFont.FontInfo	get_StretchHeight	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c34	0x947c5dc5	0x1022cf348	0x1022cf348	mapped	0x1022cf348
BmFont	24	0x06000019	BmFont.FontInfo	set_StretchHeight	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c38	0x947c5dcd	0x1022cf36c	0x1022cf36c	mapped	0x1022cf36c
BmFont	25	0x0600001a	BmFont.FontInfo	get_Smooth	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c3c	0x947c5dd5	0x1022cf390	0x1022cf390	mapped	0x1022cf390
BmFont	26	0x0600001b	BmFont.FontInfo	set_Smooth	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c40	0x947c5ddd	0x1022cf3b4	0x1022cf3b4	mapped	0x1022cf3b4
BmFont	27	0x0600001c	BmFont.FontInfo	get_SuperSampling	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c44	0x947c5de5	0x1022cf3d8	0x1022cf3d8	mapped	0x1022cf3d8
BmFont	28	0x0600001d	BmFont.FontInfo	set_SuperSampling	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c48	0x947c5ded	0x1022cf3fc	0x1022cf3fc	mapped	0x1022cf3fc
BmFont	29	0x0600001e	BmFont.FontInfo	get_Padding	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c4c	0x947c5df5	0x1022cf420	0x1022cf420	mapped	0x1022cf420
BmFont	30	0x0600001f	BmFont.FontInfo	set_Padding	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c50	0x947c5e3d	0x1022cf544	0x1022cf544	mapped	0x1022cf544
BmFont	31	0x06000020	BmFont.FontInfo	get_Spacing	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c54	0x947c5e9d	0x1022cf6c8	0x1022cf6c8	mapped	0x1022cf6c8
BmFont	32	0x06000021	BmFont.FontInfo	set_Spacing	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c58	0x947c5ec4	0x1022cf768	0x1022cf768	mapped	0x1022cf768
BmFont	33	0x06000022	BmFont.FontInfo	get_OutLine	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c5c	0x947c5f05	0x1022cf870	0x1022cf870	mapped	0x1022cf870
BmFont	34	0x06000023	BmFont.FontInfo	set_OutLine	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b7c60	0x947c5f0d	0x1022cf894	0x1022cf894	mapped	0x1022cf894
BmFont	35	0x06000024	BmFont.FontInfo	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b7c64	0x947c5f15	0x1022cf8b8	0x1022cf8b8	mapped	0x1022cf8b8
