assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
Lidgren.Network	0	0x06000001	Lidgren.Network.INetEncryption	Encrypt	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003bd370	0x94000000	0x1003bd370		absent	0x1003bd370
Lidgren.Network	1	0x06000002	Lidgren.Network.INetEncryption	Decrypt	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003bd374	0x97ffffff	0x1003bd370		absent	0x1003bd370
Lidgren.Network	2	0x06000003	Lidgren.Network.NetAESEncryption	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003bd378	0x947c4f64	0x1022d1108	0x1022d1108	mapped	0x1022d1108
Lidgren.Network	3	0x06000004	Lidgren.Network.NetAESEncryption	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003bd37c	0x947c4f85	0x1022d1190	0x1022d1190	mapped	0x1022d1190
Lidgren.Network	4	0x06000005	Lidgren.Network.NetAESEncryption	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003bd380	0x947c4fac	0x1022d1230	0x1022d1230	mapped	0x1022d1230
Lidgren.Network	5	0x06000006	Lidgren.Network.NetBlockEncryptionBase	get_BlockSize	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003bd384	0x97fffffb	0x1003bd370		absent	0x1003bd370
Lidgren.Network	6	0x06000007	Lidgren.Network.NetBlockEncryptionBase	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003bd388	0x947c4fdf	0x1022d1304	0x1022d1304	mapped	0x1022d1304
Lidgren.Network	7	0x06000008	Lidgren.Network.NetBlockEncryptionBase	Encrypt	0x2050	NoInlining	Public, Virtual, HideBySig	0x1003bd38c	0x947c500d	0x1022d13c0	0x1022d13c0	mapped	0x1022d13c0
Lidgren.Network	8	0x06000009	Lidgren.Network.NetBlockEncryptionBase	Decrypt	0x2050	NoInlining	Public, Virtual, HideBySig	0x1003bd390	0x947c5078	0x1022d1570	0x1022d1570	mapped	0x1022d1570
Lidgren.Network	9	0x0600000a	Lidgren.Network.NetBlockEncryptionBase	EncryptBlock	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003bd394	0x97fffff7	0x1003bd370		absent	0x1003bd370
Lidgren.Network	10	0x0600000b	Lidgren.Network.NetBlockEncryptionBase	DecryptBlock	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003bd398	0x97fffff6	0x1003bd370		absent	0x1003bd370
