assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
Microsoft.Maui.Essentials	0	0x06000001	Microsoft.Maui.Authentication.AuthManager	GetCredentialsAsync	0x2050	NoInlining	Public, HideBySig	0x1003a2f68	0x947ac678	0x102254948	0x102254948	mapped	0x102254948
Microsoft.Maui.Essentials	1	0x06000002	Microsoft.Maui.Authentication.AuthManager	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2f6c	0x947ac685	0x102254980	0x102254980	mapped	0x102254980
Microsoft.Maui.Essentials	2	0x06000003	Microsoft.Maui.Authentication.AuthManager	GetPresentationAnchor	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003a2f70	0x947ac6c9	0x102254a94	0x102254a94	mapped	0x102254a94
Microsoft.Maui.Essentials	3	0x06000004	Microsoft.Maui.Authentication.AuthManager	DidComplete	0x2050	NoInlining	Public, HideBySig	0x1003a2f74	0x947ac6d1	0x102254ab8	0x102254ab8	mapped	0x102254ab8
Microsoft.Maui.Essentials	4	0x06000005	Microsoft.Maui.Authentication.AuthManager	DidComplete	0x2050	NoInlining	Public, HideBySig	0x1003a2f78	0x947ac6fc	0x102254b68	0x102254b68	mapped	0x102254b68
Microsoft.Maui.Essentials	5	0x06000006	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+NativeSFSafariViewControllerDelegate	get_DidFinishHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2f7c	0x947ac72e	0x102254c34	0x102254c34	mapped	0x102254c34
Microsoft.Maui.Essentials	6	0x06000007	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+NativeSFSafariViewControllerDelegate	set_DidFinishHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2f80	0x947ac736	0x102254c58	0x102254c58	mapped	0x102254c58
Microsoft.Maui.Essentials	7	0x06000008	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+NativeSFSafariViewControllerDelegate	DidFinish	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2f84	0x947ac745	0x102254c98	0x102254c98	mapped	0x102254c98
Microsoft.Maui.Essentials	8	0x06000009	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+NativeSFSafariViewControllerDelegate	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2f88	0x947ac75c	0x102254cf8	0x102254cf8	mapped	0x102254cf8
Microsoft.Maui.Essentials	9	0x0600000a	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+ContextProvider	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2f8c	0x947ac769	0x102254d30	0x102254d30	mapped	0x102254d30
Microsoft.Maui.Essentials	10	0x0600000b	Microsoft.Maui.Authentication.WebAuthenticatorImplementation+ContextProvider	GetPresentationAnchor	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003a2f90	0x947ac784	0x102254da0	0x102254da0	mapped	0x102254da0
Microsoft.Maui.Essentials	11	0x0600000c	Microsoft.Maui.Media.MediaPickerImplementation+PhotoPickerDelegate	get_CompletedHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2f94	0x947ac78c	0x102254dc4	0x102254dc4	mapped	0x102254dc4
Microsoft.Maui.Essentials	12	0x0600000d	Microsoft.Maui.Media.MediaPickerImplementation+PhotoPickerDelegate	set_CompletedHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2f98	0x947ac794	0x102254de8	0x102254de8	mapped	0x102254de8
Microsoft.Maui.Essentials	13	0x0600000e	Microsoft.Maui.Media.MediaPickerImplementation+PhotoPickerDelegate	FinishedPickingMedia	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2f9c	0x947ac7a3	0x102254e28	0x102254e28	mapped	0x102254e28
Microsoft.Maui.Essentials	14	0x0600000f	Microsoft.Maui.Media.MediaPickerImplementation+PhotoPickerDelegate	Canceled	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2fa0	0x947ac7ba	0x102254e88	0x102254e88	mapped	0x102254e88
Microsoft.Maui.Essentials	15	0x06000010	Microsoft.Maui.Media.MediaPickerImplementation+PhotoPickerDelegate	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2fa4	0x947ac7d0	0x102254ee4	0x102254ee4	mapped	0x102254ee4
Microsoft.Maui.Essentials	16	0x06000011	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	get_PickHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2fa8	0x947ac7dd	0x102254f1c	0x102254f1c	mapped	0x102254f1c
Microsoft.Maui.Essentials	17	0x06000012	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	set_PickHandler	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a2fac	0x947ac7e5	0x102254f40	0x102254f40	mapped	0x102254f40
Microsoft.Maui.Essentials	18	0x06000013	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	WasCancelled	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2fb0	0x947ac7f4	0x102254f80	0x102254f80	mapped	0x102254f80
Microsoft.Maui.Essentials	19	0x06000014	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	DidPickDocument	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2fb4	0x947ac80a	0x102254fdc	0x102254fdc	mapped	0x102254fdc
Microsoft.Maui.Essentials	20	0x06000015	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	DidPickDocument	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1003a2fb8	0x947ac821	0x10225503c	0x10225503c	mapped	0x10225503c
Microsoft.Maui.Essentials	21	0x06000016	Microsoft.Maui.Storage.FilePickerImplementation+PickerDelegate	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2fbc	0x947ac84c	0x1022550ec	0x1022550ec	mapped	0x1022550ec
Microsoft.Maui.Essentials	22	0x06000017	Microsoft.Maui.Storage.IPreferences	Set	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a2fc0	0x97ffffea	0x1003a2f68		absent	0x1003a2f68
Microsoft.Maui.Essentials	23	0x06000018	Microsoft.Maui.Storage.IPreferences	Get	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a2fc4	0x97ffffe9	0x1003a2f68		absent	0x1003a2f68
Microsoft.Maui.Essentials	24	0x06000019	Microsoft.Maui.Storage.Preferences	get_Default	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x1003a2fc8	0x947ac857	0x102255124	0x102255124	mapped	0x102255124
Microsoft.Maui.Essentials	25	0x0600001a	Microsoft.Maui.Storage.Preferences	CheckIsSupportedType	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003a2fcc	0x947ac875	0x1022551a0	0x1022551a0	mapped	0x1022551a0
Microsoft.Maui.Essentials	26	0x0600001b	Microsoft.Maui.Storage.Preferences	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1003a2fd0	0x947ac909	0x1022553f4	0x1022553f4	mapped	0x1022553f4
Microsoft.Maui.Essentials	27	0x0600001c	Microsoft.Maui.Storage.PreferencesImplementation	Set	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003a2fd4	0x97fff23f	0x10039f8d0	0x10039f8d0	mapped	0x10039f8d0
Microsoft.Maui.Essentials	28	0x0600001d	Microsoft.Maui.Storage.PreferencesImplementation	Get	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003a2fd8	0x97fff40e	0x1003a0010	0x1003a0010	mapped	0x1003a0010
Microsoft.Maui.Essentials	29	0x0600001e	Microsoft.Maui.Storage.PreferencesImplementation	GetUserDefaults	0x2050	NoInlining	Private, Static, HideBySig	0x1003a2fdc	0x947ac953	0x102255528	0x102255528	mapped	0x102255528
Microsoft.Maui.Essentials	30	0x0600001f	Microsoft.Maui.Storage.PreferencesImplementation	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003a2fe0	0x947ac978	0x1022555c0	0x1022555c0	mapped	0x1022555c0
Microsoft.Maui.Essentials	31	0x06000020	Microsoft.Maui.Storage.PreferencesImplementation	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1003a2fe4	0x947ac985	0x1022555f8	0x1022555f8	mapped	0x1022555f8
Microsoft.Maui.Essentials	32	0x06000021	Microsoft.Maui.ApplicationModel.MainThread	get_IsMainThread	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x1003a2fe8	0x947ac9a0	0x102255668	0x102255668	mapped	0x102255668
Microsoft.Maui.Essentials	33	0x06000022	Microsoft.Maui.ApplicationModel.MainThread	BeginInvokeOnMainThread	0x2050	NoInlining	Public, Static, HideBySig	0x1003a2fec	0x947ac9a9	0x102255690	0x102255690	mapped	0x102255690
Microsoft.Maui.Essentials	34	0x06000023	Microsoft.Maui.ApplicationModel.MainThread	InvokeOnMainThreadAsync	0x2050	NoInlining	Public, Static, HideBySig	0x1003a2ff0	0x947ac9c2	0x1022556f8	0x1022556f8	mapped	0x1022556f8
Microsoft.Maui.Essentials	35	0x06000024	Microsoft.Maui.ApplicationModel.MainThread	get_PlatformIsMainThread	0x2050	NoInlining	Private, Static, HideBySig, SpecialName	0x1003a2ff4	0x947aca3d	0x1022558e8	0x1022558e8	mapped	0x1022558e8
Microsoft.Maui.Essentials	36	0x06000025	Microsoft.Maui.ApplicationModel.MainThread	PlatformBeginInvokeOnMainThread	0x2050	NoInlining	Private, Static, HideBySig	0x1003a2ff8	0x947aca4e	0x102255930	0x102255930	mapped	0x102255930
