assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
Microsoft.Maui.Graphics	0	0x06000001	Microsoft.Maui.Graphics.AbstractCanvas`1	set_PlatformStrokeSize	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8c80	0x94000000	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	1	0x06000002	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformSetStrokeDashPattern	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c84	0x97ffffff	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	2	0x06000003	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawLine	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c88	0x97fffffe	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	3	0x06000004	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawArc	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c8c	0x97fffffd	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	4	0x06000005	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawRectangle	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c90	0x97fffffc	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	5	0x06000006	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawRoundedRectangle	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c94	0x97fffffb	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	6	0x06000007	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawEllipse	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c98	0x97fffffa	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	7	0x06000008	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformDrawPath	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8c9c	0x97fffff9	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	8	0x06000009	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformRotate	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8ca0	0x97fffff8	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	9	0x0600000a	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformRotate	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8ca4	0x97fffff7	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	10	0x0600000b	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformScale	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8ca8	0x97fffff6	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	11	0x0600000c	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformTranslate	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8cac	0x97fffff5	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	12	0x0600000d	Microsoft.Maui.Graphics.AbstractCanvas`1	PlatformConcatenateTransform	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003a8cb0	0x97fffff4	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	13	0x0600000e	Microsoft.Maui.Graphics.AbstractCanvas`1	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x1003a8cb4	0x947abe11	0x1022584f8	0x1022584f8	mapped	0x1022584f8
Microsoft.Maui.Graphics	14	0x0600000f	Microsoft.Maui.Graphics.AbstractCanvas`1	get_CurrentState	0x2050	NoInlining	Family, HideBySig, SpecialName	0x1003a8cb8	0x947abe76	0x102258690	0x102258690	mapped	0x102258690
Microsoft.Maui.Graphics	15	0x06000010	Microsoft.Maui.Graphics.AbstractCanvas`1	Dispose	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1003a8cbc	0x947abe81	0x1022586c0	0x1022586c0	mapped	0x1022586c0
Microsoft.Maui.Graphics	16	0x06000011	Microsoft.Maui.Graphics.AbstractCanvas`1	set_LimitStrokeScaling	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a8cc0	0x947abe9b	0x10225872c	0x10225872c	mapped	0x10225872c
Microsoft.Maui.Graphics	17	0x06000012	Microsoft.Maui.Graphics.AbstractCanvas`1	get_LimitStrokeScalingEnabled	0x2050	NoInlining	Family, HideBySig, SpecialName	0x1003a8cc4	0x947abea6	0x10225875c	0x10225875c	mapped	0x10225875c
Microsoft.Maui.Graphics	18	0x06000013	Microsoft.Maui.Graphics.AbstractCanvas`1	set_StrokeLimit	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003a8cc8	0x947abeb1	0x10225878c	0x10225878c	mapped	0x10225878c
Microsoft.Maui.Graphics	19	0x06000014	Microsoft.Maui.Graphics.AbstractCanvas`1	set_FillColor	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8ccc	0x97ffffed	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	20	0x06000015	Microsoft.Maui.Graphics.AbstractCanvas`1	set_FontColor	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8cd0	0x97ffffec	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	21	0x06000016	Microsoft.Maui.Graphics.AbstractCanvas`1	set_Font	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8cd4	0x97ffffeb	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	22	0x06000017	Microsoft.Maui.Graphics.AbstractCanvas`1	set_FontSize	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8cd8	0x97ffffea	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	23	0x06000018	Microsoft.Maui.Graphics.AbstractCanvas`1	set_Alpha	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8cdc	0x97ffffe9	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	24	0x06000019	Microsoft.Maui.Graphics.AbstractCanvas`1	set_Antialias	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8ce0	0x97ffffe8	0x1003a8c80		absent	0x1003a8c80
Microsoft.Maui.Graphics	25	0x0600001a	Microsoft.Maui.Graphics.AbstractCanvas`1	set_BlendMode	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1003a8ce4	0x97ffffe7	0x1003a8c80		absent	0x1003a8c80
