assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
Microsoft.iOS	0	0x06000001	<Module>	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1007e0d98	0x949861d8	0x102df94f8	0x102df94f8	mapped	0x102df94f8
Microsoft.iOS	1	0x06000002	SafariServices.SFSafariViewController	get_ClassHandle	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1007e0d9c	0x949861e1	0x102df9520	0x102df9520	mapped	0x102df9520
Microsoft.iOS	2	0x06000003	SafariServices.SFSafariViewController	.ctor	0x2050	NoInlining	FamORAssem, HideBySig, SpecialName, RTSpecialName	0x1007e0da0	0x949861f1	0x102df9564	0x102df9564	mapped	0x102df9564
Microsoft.iOS	3	0x06000004	SafariServices.SFSafariViewController	Dispose	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x1007e0da4	0x9498620b	0x102df95d0	0x102df95d0	mapped	0x102df95d0
Microsoft.iOS	4	0x06000005	SafariServices.SFSafariViewController	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1007e0da8	0x94986220	0x102df9628	0x102df9628	mapped	0x102df9628
Microsoft.iOS	5	0x06000006	SafariServices.SFSafariViewControllerDelegate	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1007e0dac	0x94986239	0x102df9690	0x102df9690	mapped	0x102df9690
Microsoft.iOS	6	0x06000007	SafariServices.SFSafariViewControllerDelegate	.ctor	0x2050	NoInlining	FamORAssem, HideBySig, SpecialName, RTSpecialName	0x1007e0db0	0x94986260	0x102df9730	0x102df9730	mapped	0x102df9730
Microsoft.iOS	7	0x06000008	SafariServices.SFSafariViewControllerDelegate	DidFinish	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1007e0db4	0x94986274	0x102df9784	0x102df9784	mapped	0x102df9784
Microsoft.iOS	8	0x06000009	LinkPresentation.LPLinkMetadata	get_ClassHandle	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1007e0db8	0x9498628b	0x102df97e4	0x102df97e4	mapped	0x102df97e4
Microsoft.iOS	9	0x0600000a	LinkPresentation.LPLinkMetadata	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1007e0dbc	0x9498629b	0x102df9828	0x102df9828	mapped	0x102df9828
Microsoft.iOS	10	0x0600000b	LinkPresentation.LPLinkMetadata	.ctor	0x2050	NoInlining	FamORAssem, HideBySig, SpecialName, RTSpecialName	0x1007e0dc0	0x949862c2	0x102df98c8	0x102df98c8	mapped	0x102df98c8
Microsoft.iOS	11	0x0600000c	LinkPresentation.LPLinkMetadata	set_Title	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1007e0dc4	0x949862dc	0x102df9934	0x102df9934	mapped	0x102df9934
Microsoft.iOS	12	0x0600000d	LinkPresentation.LPLinkMetadata	set_Url	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1007e0dc8	0x949862f8	0x102df99a8	0x102df99a8	mapped	0x102df99a8
Microsoft.iOS	13	0x0600000e	LinkPresentation.LPLinkMetadata	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1007e0dcc	0x94986311	0x102df9a10	0x102df9a10	mapped	0x102df9a10
Microsoft.iOS	14	0x0600000f	ContactsUI.CNContactPickerDelegate	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1007e0dd0	0x9498632a	0x102df9a78	0x102df9a78	mapped	0x102df9a78
Microsoft.iOS	15	0x06000010	ContactsUI.CNContactPickerDelegate	.ctor	0x2050	NoInlining	FamORAssem, HideBySig, SpecialName, RTSpecialName	0x1007e0dd4	0x94986351	0x102df9b18	0x102df9b18	mapped	0x102df9b18
Microsoft.iOS	16	0x06000011	ContactsUI.CNContactPickerDelegate	ContactPickerDidCancel	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1007e0dd8	0x94986365	0x102df9b6c	0x102df9b6c	mapped	0x102df9b6c
Microsoft.iOS	17	0x06000012	ContactsUI.CNContactPickerDelegate	DidSelectContact	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1007e0ddc	0x9498637c	0x102df9bcc	0x102df9bcc	mapped	0x102df9bcc
Microsoft.iOS	18	0x06000013	ContactsUI.CNContactPickerDelegate	DidSelectContactProperty	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1007e0de0	0x94986393	0x102df9c2c	0x102df9c2c	mapped	0x102df9c2c
Microsoft.iOS	19	0x06000014	ContactsUI.CNContactPickerViewController	get_ClassHandle	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1007e0de4	0x949863aa	0x102df9c8c	0x102df9c8c	mapped	0x102df9c8c
Microsoft.iOS	20	0x06000015	ContactsUI.CNContactPickerViewController	.ctor	0x2050	NoInlining	FamORAssem, HideBySig, SpecialName, RTSpecialName	0x1007e0de8	0x949863ba	0x102df9cd0	0x102df9cd0	mapped	0x102df9cd0
Microsoft.iOS	21	0x06000016	ContactsUI.CNContactPickerViewController	Dispose	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x1007e0dec	0x949863d4	0x102df9d3c	0x102df9d3c	mapped	0x102df9d3c
