assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
MonoGame.Framework	0	0x06000001	RTAudioProcessing.RTAP	adpcm_write_header_samples	0x2050	264	Private, Static, HideBySig	0x1003f2638	0x947c465c	0x102303fa8	0x102303fa8	mapped	0x102303fa8
MonoGame.Framework	1	0x06000002	RTAudioProcessing.RTAP	adpcm_expand_nibble	0x2050	264	Private, Static, HideBySig	0x1003f263c	0x947c46bf	0x102304138	0x102304138	mapped	0x102304138
MonoGame.Framework	2	0x06000003	RTAudioProcessing.RTAP	adpcm_write_payload_samples	0x2050	264	Private, Static, HideBySig	0x1003f2640	0x947c471f	0x1023042bc	0x1023042bc	mapped	0x1023042bc
MonoGame.Framework	3	0x06000004	RTAudioProcessing.RTAP	rtap_river_read_adpcm_helper	0x2050	NoInlining	Private, Static, HideBySig	0x1003f2644	0x947c47fd	0x102304638	0x102304638	mapped	0x102304638
MonoGame.Framework	4	0x06000005	RTAudioProcessing.RTAP	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1003f2648	0x947c4d4d	0x102305b7c	0x102305b7c	mapped	0x102305b7c
MonoGame.Framework	5	0x06000006	RTAudioProcessing.RTAP	rtap_alloc_size_for_spring	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003f264c	0x947c4d98	0x102305cac	0x102305cac	mapped	0x102305cac
MonoGame.Framework	6	0x06000007	RTAudioProcessing.RTAP	rtap_alloc_size_for_river	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003f2650	0x947c4dae	0x102305d08	0x102305d08	mapped	0x102305d08
MonoGame.Framework	7	0x06000008	RTAudioProcessing.RTAP	rtap_spring_init	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003f2654	0x947c4dc4	0x102305d64	0x102305d64	mapped	0x102305d64
MonoGame.Framework	8	0x06000009	RTAudioProcessing.RTAP	rtap_spring_get_length	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003f2658	0x947c4df1	0x102305e1c	0x102305e1c	mapped	0x102305e1c
MonoGame.Framework	9	0x0600000a	RTAudioProcessing.RTAP	rtap_spring_get_duration	0x2050	NoInlining	Assembly, Static, HideBySig	0x1003f265c	0x947c4e3a	0x102305f44	0x102305f44	mapped	0x102305f44
