assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
SkiaSharp	0	0x06000001	SkiaSharp.HashCode	GenerateGlobalSeed	0x2050	NoInlining	Private, Static, HideBySig	0x1003b2bf8	0x947c0724	0x1022b4888	0x1022b4888	mapped	0x1022b4888
SkiaSharp	1	0x06000002	SkiaSharp.HashCode	Initialize	0x2050	264	Private, Static, HideBySig	0x1003b2bfc	0x947c0741	0x1022b4900	0x1022b4900	mapped	0x1022b4900
SkiaSharp	2	0x06000003	SkiaSharp.HashCode	Round	0x2050	264	Private, Static, HideBySig	0x1003b2c00	0x947c077b	0x1022b49ec	0x1022b49ec	mapped	0x1022b49ec
SkiaSharp	3	0x06000004	SkiaSharp.HashCode	QueueRound	0x2050	264	Private, Static, HideBySig	0x1003b2c04	0x947c0793	0x1022b4a50	0x1022b4a50	mapped	0x1022b4a50
SkiaSharp	4	0x06000005	SkiaSharp.HashCode	MixState	0x2050	264	Private, Static, HideBySig	0x1003b2c08	0x947c07ab	0x1022b4ab4	0x1022b4ab4	mapped	0x1022b4ab4
SkiaSharp	5	0x06000006	SkiaSharp.HashCode	RotateLeft	0x2050	264	Private, Static, HideBySig	0x1003b2c0c	0x947c07cd	0x1022b4b40	0x1022b4b40	mapped	0x1022b4b40
SkiaSharp	6	0x06000007	SkiaSharp.HashCode	MixEmptyState	0x2050	NoInlining	Private, Static, HideBySig	0x1003b2c10	0x947c07e0	0x1022b4b90	0x1022b4b90	mapped	0x1022b4b90
SkiaSharp	7	0x06000008	SkiaSharp.HashCode	MixFinal	0x2050	264	Private, Static, HideBySig	0x1003b2c14	0x947c07f3	0x1022b4be0	0x1022b4be0	mapped	0x1022b4be0
SkiaSharp	8	0x06000009	SkiaSharp.HashCode	Add	0x2050	NoInlining	Public, HideBySig	0x1003b2c18	0x947c080a	0x1022b4c40	0x1022b4c40	mapped	0x1022b4c40
SkiaSharp	9	0x0600000a	SkiaSharp.HashCode	Add	0x2050	NoInlining	Private, HideBySig	0x1003b2c1c	0x947c0823	0x1022b4ca8	0x1022b4ca8	mapped	0x1022b4ca8
