assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
StardewValley.GameData	0	0x06000001	StardewValley.GameData.AudioCueData	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10040b228	0x94826b38	0x1024a5f08	0x1024a5f08	mapped	0x1024a5f08
StardewValley.GameData	1	0x06000002	StardewValley.GameData.GenericSpawnItemData	get_Id	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040b22c	0x94826b38	0x1024a5f0c	0x1024a5f0c	mapped	0x1024a5f0c
StardewValley.GameData	2	0x06000003	StardewValley.GameData.GenericSpawnItemData	set_Id	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040b230	0x94826b6b	0x1024a5fdc	0x1024a5fdc	mapped	0x1024a5fdc
StardewValley.GameData	3	0x06000004	StardewValley.GameData.GenericSpawnItemData	get_ItemId	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b234	0x94826b7a	0x1024a601c	0x1024a601c	mapped	0x1024a601c
StardewValley.GameData	4	0x06000005	StardewValley.GameData.GenericSpawnItemData	set_ItemId	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b238	0x94826b82	0x1024a6040	0x1024a6040	mapped	0x1024a6040
StardewValley.GameData	5	0x06000006	StardewValley.GameData.GenericSpawnItemData	get_RandomItemId	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b23c	0x94826b91	0x1024a6080	0x1024a6080	mapped	0x1024a6080
StardewValley.GameData	6	0x06000007	StardewValley.GameData.GenericSpawnItemData	set_RandomItemId	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b240	0x94826b99	0x1024a60a4	0x1024a60a4	mapped	0x1024a60a4
StardewValley.GameData	7	0x06000008	StardewValley.GameData.GenericSpawnItemData	get_MaxItems	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b244	0x94826ba8	0x1024a60e4	0x1024a60e4	mapped	0x1024a60e4
StardewValley.GameData	8	0x06000009	StardewValley.GameData.GenericSpawnItemData	set_MaxItems	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b248	0x94826bb0	0x1024a6108	0x1024a6108	mapped	0x1024a6108
StardewValley.GameData	9	0x0600000a	StardewValley.GameData.GenericSpawnItemData	get_MinStack	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b24c	0x94826bb8	0x1024a612c	0x1024a612c	mapped	0x1024a612c
StardewValley.GameData	10	0x0600000b	StardewValley.GameData.GenericSpawnItemData	set_MinStack	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b250	0x94826bc0	0x1024a6150	0x1024a6150	mapped	0x1024a6150
StardewValley.GameData	11	0x0600000c	StardewValley.GameData.GenericSpawnItemData	get_MaxStack	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b254	0x94826bc8	0x1024a6174	0x1024a6174	mapped	0x1024a6174
StardewValley.GameData	12	0x0600000d	StardewValley.GameData.GenericSpawnItemData	set_MaxStack	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b258	0x94826bd0	0x1024a6198	0x1024a6198	mapped	0x1024a6198
StardewValley.GameData	13	0x0600000e	StardewValley.GameData.GenericSpawnItemData	get_Quality	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b25c	0x94826bd8	0x1024a61bc	0x1024a61bc	mapped	0x1024a61bc
StardewValley.GameData	14	0x0600000f	StardewValley.GameData.GenericSpawnItemData	set_Quality	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b260	0x94826be0	0x1024a61e0	0x1024a61e0	mapped	0x1024a61e0
StardewValley.GameData	15	0x06000010	StardewValley.GameData.GenericSpawnItemData	get_ObjectInternalName	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b264	0x94826be8	0x1024a6204	0x1024a6204	mapped	0x1024a6204
StardewValley.GameData	16	0x06000011	StardewValley.GameData.GenericSpawnItemData	set_ObjectInternalName	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10040b268	0x94826bf0	0x1024a6228	0x1024a6228	mapped	0x1024a6228
