assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Collections.Concurrent	0	0x06000001	System.ThrowHelper	ThrowKeyNullException	0x2050	NoInlining	Assembly, Static, HideBySig	0x100416350	0x9482ceea	0x1024c9ef8	0x1024c9ef8	mapped	0x1024c9ef8
System.Collections.Concurrent	1	0x06000002	System.ThrowHelper	ThrowArgumentNullException	0x2050	NoInlining	Assembly, Static, HideBySig	0x100416354	0x9482ceff	0x1024c9f50	0x1024c9f50	mapped	0x1024c9f50
System.Collections.Concurrent	2	0x06000003	System.ThrowHelper	ThrowArgumentNullException	0x2050	NoInlining	Assembly, Static, HideBySig	0x100416358	0x9482cf0c	0x1024c9f88	0x1024c9f88	mapped	0x1024c9f88
System.Collections.Concurrent	3	0x06000004	System.ThrowHelper	ThrowValueNullException	0x2050	NoInlining	Assembly, Static, HideBySig	0x10041635c	0x9482cf1b	0x1024c9fc8	0x1024c9fc8	mapped	0x1024c9fc8
System.Collections.Concurrent	4	0x06000005	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x100416360	0x9482cf2c	0x1024ca010	0x1024ca010	mapped	0x1024ca010
System.Collections.Concurrent	5	0x06000006	System.Collections.HashHelpers	get_Primes	0x2050	NoInlining	Assembly, Static, HideBySig, SpecialName	0x100416364	0x9482cf58	0x1024ca0c4	0x1024ca0c4	mapped	0x1024ca0c4
System.Collections.Concurrent	6	0x06000007	System.Collections.HashHelpers	IsPrime	0x2050	NoInlining	Public, Static, HideBySig	0x100416368	0x9482cf68	0x1024ca108	0x1024ca108	mapped	0x1024ca108
System.Collections.Concurrent	7	0x06000008	System.Collections.HashHelpers	GetPrime	0x2050	NoInlining	Public, Static, HideBySig	0x10041636c	0x9482cf9f	0x1024ca1e8	0x1024ca1e8	mapped	0x1024ca1e8
System.Collections.Concurrent	8	0x06000009	System.Collections.HashHelpers	GetFastModMultiplier	0x2050	NoInlining	Public, Static, HideBySig	0x100416370	0x9482cff7	0x1024ca34c	0x1024ca34c	mapped	0x1024ca34c
System.Collections.Concurrent	9	0x0600000a	System.Collections.HashHelpers	FastMod	0x2050	264	Public, Static, HideBySig	0x100416374	0x9482d002	0x1024ca37c	0x1024ca37c	mapped	0x1024ca37c
System.Collections.Concurrent	10	0x0600000b	System.Collections.Concurrent.CDSCollectionETWBCLProvider	.ctor	0x2050	NoInlining	Private, HideBySig, SpecialName, RTSpecialName	0x100416378	0x9482d008	0x1024ca398	0x1024ca398	mapped	0x1024ca398
System.Collections.Concurrent	11	0x0600000c	System.Collections.Concurrent.CDSCollectionETWBCLProvider	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10041637c	0x9482d01d	0x1024ca3f0	0x1024ca3f0	mapped	0x1024ca3f0
System.Collections.Concurrent	12	0x0600000d	System.Collections.Concurrent.ConcurrentDictionary`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100416380	0x9482d038	0x1024ca460	0x1024ca460	mapped	0x1024ca460
System.Collections.Concurrent	13	0x0600000e	System.Collections.Concurrent.ConcurrentDictionary`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100416384	0x9482d06a	0x1024ca52c	0x1024ca52c	mapped	0x1024ca52c
System.Collections.Concurrent	14	0x0600000f	System.Collections.Concurrent.ConcurrentDictionary`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100416388	0x9482d098	0x1024ca5e8	0x1024ca5e8	mapped	0x1024ca5e8
System.Collections.Concurrent	15	0x06000010	System.Collections.Concurrent.ConcurrentDictionary`2	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10041638c	0x9482d0cd	0x1024ca6c0	0x1024ca6c0	mapped	0x1024ca6c0
System.Collections.Concurrent	16	0x06000011	System.Collections.Concurrent.ConcurrentDictionary`2	GetHashCode	0x2050	264	Private, HideBySig	0x100416390	0x9482d1d6	0x1024caae8	0x1024caae8	mapped	0x1024caae8
System.Collections.Concurrent	17	0x06000012	System.Collections.Concurrent.ConcurrentDictionary`2	NodeEqualsKey	0x2050	264	Private, Static, HideBySig	0x100416394	0x9482d217	0x1024cabf0	0x1024cabf0	mapped	0x1024cabf0
System.Collections.Concurrent	18	0x06000013	System.Collections.Concurrent.ConcurrentDictionary`2	TryAdd	0x2050	NoInlining	Public, HideBySig	0x100416398	0x9482d24f	0x1024cacd4	0x1024cacd4	mapped	0x1024cacd4
System.Collections.Concurrent	19	0x06000014	System.Collections.Concurrent.ConcurrentDictionary`2	ContainsKey	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10041639c	0x9482d28b	0x1024cadc8	0x1024cadc8	mapped	0x1024cadc8
System.Collections.Concurrent	20	0x06000015	System.Collections.Concurrent.ConcurrentDictionary`2	TryRemove	0x2050	NoInlining	Public, HideBySig	0x1004163a0	0x9482d2b7	0x1024cae7c	0x1024cae7c	mapped	0x1024cae7c
System.Collections.Concurrent	21	0x06000016	System.Collections.Concurrent.ConcurrentDictionary`2	TryRemove	0x2050	NoInlining	Public, HideBySig	0x1004163a4	0x9482d2e7	0x1024caf40	0x1024caf40	mapped	0x1024caf40
System.Collections.Concurrent	22	0x06000017	System.Collections.Concurrent.ConcurrentDictionary`2	TryRemoveInternal	0x2050	NoInlining	Private, HideBySig	0x1004163a8	0x9482d321	0x1024cb02c	0x1024cb02c	mapped	0x1024cb02c
System.Collections.Concurrent	23	0x06000018	System.Collections.Concurrent.ConcurrentDictionary`2	TryGetValue	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1004163ac	0x9482d515	0x1024cb800	0x1024cb800	mapped	0x1024cb800
System.Collections.Concurrent	24	0x06000019	System.Collections.Concurrent.ConcurrentDictionary`2	Clear	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1004163b0	0x9482d5a6	0x1024cba48	0x1024cba48	mapped	0x1024cba48
System.Collections.Concurrent	25	0x0600001a	System.Collections.Concurrent.ConcurrentDictionary`2	System.Collections.Generic.ICollection<System.Collections.Generic.KeyValuePair<TKey,TValue>>.CopyTo	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1004163b4	0x9482d63b	0x1024cbca0	0x1024cbca0	mapped	0x1024cbca0
