assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Collections.NonGeneric	0	0x06000001	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x100416d58	0x9482ee08	0x1024d2578	0x1024d2578	mapped	0x1024d2578
System.Collections.NonGeneric	1	0x06000002	System.Collections.CollectionBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100416d5c	0x9482ee3d	0x1024d2650	0x1024d2650	mapped	0x1024d2650
System.Collections.NonGeneric	2	0x06000003	System.Collections.CollectionBase	get_InnerList	0x2050	NoInlining	Family, HideBySig, SpecialName	0x100416d60	0x9482ee74	0x1024d2730	0x1024d2730	mapped	0x1024d2730
System.Collections.NonGeneric	3	0x06000004	System.Collections.CollectionBase	get_List	0x2050	NoInlining	Family, HideBySig, SpecialName	0x100416d64	0x9482ee7c	0x1024d2754	0x1024d2754	mapped	0x1024d2754
System.Collections.NonGeneric	4	0x06000005	System.Collections.CollectionBase	get_Capacity	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100416d68	0x9482ee7c	0x1024d2758	0x1024d2758	mapped	0x1024d2758
System.Collections.NonGeneric	5	0x06000006	System.Collections.CollectionBase	set_Capacity	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100416d6c	0x9482ee94	0x1024d27bc	0x1024d27bc	mapped	0x1024d27bc
System.Collections.NonGeneric	6	0x06000007	System.Collections.CollectionBase	get_Count	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x100416d70	0x9482eeae	0x1024d2828	0x1024d2828	mapped	0x1024d2828
System.Collections.NonGeneric	7	0x06000008	System.Collections.CollectionBase	Clear	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x100416d74	0x9482eec6	0x1024d288c	0x1024d288c	mapped	0x1024d288c
System.Collections.NonGeneric	8	0x06000009	System.Collections.CollectionBase	RemoveAt	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x100416d78	0x9482eee2	0x1024d2900	0x1024d2900	mapped	0x1024d2900
System.Collections.NonGeneric	9	0x0600000a	System.Collections.CollectionBase	System.Collections.IList.get_IsReadOnly	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x100416d7c	0x9482ef53	0x1024d2ac8	0x1024d2ac8	mapped	0x1024d2ac8
