assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Collections.Specialized	0	0x06000001	System.Collections.Specialized.NameObjectCollectionBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100417248	0x94830508	0x1024d8668	0x1024d8668	mapped	0x1024d8668
System.Collections.Specialized	1	0x06000002	System.Collections.Specialized.NameObjectCollectionBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x10041724c	0x94830523	0x1024d86d8	0x1024d86d8	mapped	0x1024d86d8
System.Collections.Specialized	2	0x06000003	System.Collections.Specialized.NameObjectCollectionBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100417250	0x9483054f	0x1024d878c	0x1024d878c	mapped	0x1024d878c
System.Collections.Specialized	3	0x06000004	System.Collections.Specialized.NameObjectCollectionBase	GetObjectData	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x100417254	0x9483056f	0x1024d8810	0x1024d8810	mapped	0x1024d8810
System.Collections.Specialized	4	0x06000005	System.Collections.Specialized.NameObjectCollectionBase	OnDeserialization	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x100417258	0x94830579	0x1024d883c	0x1024d883c	mapped	0x1024d883c
System.Collections.Specialized	5	0x06000006	System.Collections.Specialized.NameObjectCollectionBase	Reset	0x2050	NoInlining	Private, HideBySig	0x10041725c	0x94830583	0x1024d8868	0x1024d8868	mapped	0x1024d8868
System.Collections.Specialized	6	0x06000007	System.Collections.Specialized.NameObjectCollectionBase	Reset	0x2050	NoInlining	Private, HideBySig	0x100417260	0x948305cf	0x1024d899c	0x1024d899c	mapped	0x1024d899c
System.Collections.Specialized	7	0x06000008	System.Collections.Specialized.NameObjectCollectionBase	FindEntry	0x2050	NoInlining	Private, HideBySig	0x100417264	0x94830610	0x1024d8aa4	0x1024d8aa4	mapped	0x1024d8aa4
System.Collections.Specialized	8	0x06000009	System.Collections.Specialized.NameObjectCollectionBase	get_IsReadOnly	0x2050	NoInlining	Family, HideBySig, SpecialName	0x100417268	0x94830648	0x1024d8b88	0x1024d8b88	mapped	0x1024d8b88
System.Collections.Specialized	9	0x0600000a	System.Collections.Specialized.NameObjectCollectionBase	BaseAdd	0x2050	NoInlining	Family, HideBySig	0x10041726c	0x94830650	0x1024d8bac	0x1024d8bac	mapped	0x1024d8bac
System.Collections.Specialized	10	0x0600000b	System.Collections.Specialized.NameObjectCollectionBase	BaseRemove	0x2050	NoInlining	Family, HideBySig	0x100417270	0x948306b8	0x1024d8d50	0x1024d8d50	mapped	0x1024d8d50
System.Collections.Specialized	11	0x0600000c	System.Collections.Specialized.NameObjectCollectionBase	BaseGet	0x2050	NoInlining	Family, HideBySig	0x100417274	0x94830739	0x1024d8f58	0x1024d8f58	mapped	0x1024d8f58
System.Collections.Specialized	12	0x0600000d	System.Collections.Specialized.NameObjectCollectionBase	BaseSet	0x2050	NoInlining	Family, HideBySig	0x100417278	0x9483074a	0x1024d8fa0	0x1024d8fa0	mapped	0x1024d8fa0
System.Collections.Specialized	13	0x0600000e	System.Collections.Specialized.NameObjectCollectionBase	BaseGetKey	0x2050	NoInlining	Family, HideBySig	0x10041727c	0x9483077e	0x1024d9074	0x1024d9074	mapped	0x1024d9074
System.Collections.Specialized	14	0x0600000f	System.Collections.Specialized.NameObjectCollectionBase	GetEnumerator	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x100417280	0x948307b2	0x1024d9148	0x1024d9148	mapped	0x1024d9148
System.Collections.Specialized	15	0x06000010	System.Collections.Specialized.NameObjectCollectionBase	get_Count	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x100417284	0x948307d0	0x1024d91c4	0x1024d91c4	mapped	0x1024d91c4
System.Collections.Specialized	16	0x06000011	System.Collections.Specialized.NameObjectCollectionBase	System.Collections.ICollection.CopyTo	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x100417288	0x948307e8	0x1024d9228	0x1024d9228	mapped	0x1024d9228
System.Collections.Specialized	17	0x06000012	System.Collections.Specialized.NameObjectCollectionBase	System.Collections.ICollection.get_SyncRoot	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10041728c	0x94830868	0x1024d942c	0x1024d942c	mapped	0x1024d942c
System.Collections.Specialized	18	0x06000013	System.Collections.Specialized.NameObjectCollectionBase	System.Collections.ICollection.get_IsSynchronized	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x100417290	0x94830868	0x1024d9430	0x1024d9430	mapped	0x1024d9430
