assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Collections	0	0x06000001	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042b4c8	0x9482c9c8	0x1024ddbe8	0x1024ddbe8	mapped	0x1024ddbe8
System.Collections	1	0x06000002	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042b4cc	0x9482c9f4	0x1024ddc9c	0x1024ddc9c	mapped	0x1024ddc9c
System.Collections	2	0x06000003	System.Collections.BitArray	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042b4d0	0x9482ca29	0x1024ddd74	0x1024ddd74	mapped	0x1024ddd74
System.Collections	3	0x06000004	System.Collections.BitArray	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042b4d4	0x9482ca39	0x1024dddb8	0x1024dddb8	mapped	0x1024dddb8
System.Collections	4	0x06000005	System.Collections.BitArray	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042b4d8	0x9482ca88	0x1024ddef8	0x1024ddef8	mapped	0x1024ddef8
System.Collections	5	0x06000006	System.Collections.BitArray	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042b4dc	0x9482cb33	0x1024de1a8	0x1024de1a8	mapped	0x1024de1a8
System.Collections	6	0x06000007	System.Collections.BitArray	get_Item	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042b4e0	0x9482cb6d	0x1024de294	0x1024de294	mapped	0x1024de294
System.Collections	7	0x06000008	System.Collections.BitArray	set_Item	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042b4e4	0x9482cbad	0x1024de398	0x1024de398	mapped	0x1024de398
System.Collections	8	0x06000009	System.Collections.BitArray	Get	0x2050	264	Public, HideBySig	0x10042b4e8	0x9482cbff	0x1024de4e4	0x1024de4e4	mapped	0x1024de4e4
System.Collections	9	0x0600000a	System.Collections.BitArray	Set	0x2050	264	Public, HideBySig	0x10042b4ec	0x9482cc3f	0x1024de5e8	0x1024de5e8	mapped	0x1024de5e8
System.Collections	10	0x0600000b	System.Collections.BitArray	get_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042b4f0	0x9482cc91	0x1024de734	0x1024de734	mapped	0x1024de734
System.Collections	11	0x0600000c	System.Collections.BitArray	set_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042b4f4	0x9482cc99	0x1024de758	0x1024de758	mapped	0x1024de758
System.Collections	12	0x0600000d	System.Collections.BitArray	CopyTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10042b4f8	0x9482cd01	0x1024de8fc	0x1024de8fc	mapped	0x1024de8fc
