assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.ComponentModel.Primitives	0	0x06000001	System.ComponentModel.BrowsableAttribute	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cbf8	0x94830cdc	0x1024eff68	0x1024eff68	mapped	0x1024eff68
System.ComponentModel.Primitives	1	0x06000002	System.ComponentModel.BrowsableAttribute	get_Browsable	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042cbfc	0x94830cf4	0x1024effcc	0x1024effcc	mapped	0x1024effcc
System.ComponentModel.Primitives	2	0x06000003	System.ComponentModel.BrowsableAttribute	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cc00	0x94830cfc	0x1024efff0	0x1024efff0	mapped	0x1024efff0
System.ComponentModel.Primitives	3	0x06000004	System.ComponentModel.BrowsableAttribute	GetHashCode	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cc04	0x94830d20	0x1024f0084	0x1024f0084	mapped	0x1024f0084
System.ComponentModel.Primitives	4	0x06000005	System.ComponentModel.BrowsableAttribute	IsDefaultAttribute	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cc08	0x94830d2a	0x1024f00b0	0x1024f00b0	mapped	0x1024f00b0
System.ComponentModel.Primitives	5	0x06000006	System.ComponentModel.BrowsableAttribute	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10042cc0c	0x94830d4d	0x1024f0140	0x1024f0140	mapped	0x1024f0140
System.ComponentModel.Primitives	6	0x06000007	System.ComponentModel.Component	Finalize	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x10042cc10	0x94830d78	0x1024f01f0	0x1024f01f0	mapped	0x1024f01f0
System.ComponentModel.Primitives	7	0x06000008	System.ComponentModel.Component	get_Site	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10042cc14	0x94830d99	0x1024f0278	0x1024f0278	mapped	0x1024f0278
System.ComponentModel.Primitives	8	0x06000009	System.ComponentModel.Component	Dispose	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10042cc18	0x94830da1	0x1024f029c	0x1024f029c	mapped	0x1024f029c
System.ComponentModel.Primitives	9	0x0600000a	System.ComponentModel.Component	Dispose	0x2050	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask	0x10042cc1c	0x94830db9	0x1024f0300	0x1024f0300	mapped	0x1024f0300
System.ComponentModel.Primitives	10	0x0600000b	System.ComponentModel.Component	ToString	0x2050	NoInlining	Public, Virtual, HideBySig	0x10042cc20	0x94830e08	0x1024f0440	0x1024f0440	mapped	0x1024f0440
System.ComponentModel.Primitives	11	0x0600000c	System.ComponentModel.Component	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cc24	0x94830e47	0x1024f0540	0x1024f0540	mapped	0x1024f0540
System.ComponentModel.Primitives	12	0x0600000d	System.ComponentModel.Component	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10042cc28	0x94830e54	0x1024f0578	0x1024f0578	mapped	0x1024f0578
System.ComponentModel.Primitives	13	0x0600000e	System.ComponentModel.ComponentCollection	get_Item	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10042cc2c	0x94830e6f	0x1024f05e8	0x1024f05e8	mapped	0x1024f05e8
System.ComponentModel.Primitives	14	0x0600000f	System.ComponentModel.DesignerAttribute	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cc30	0x94830e80	0x1024f0630	0x1024f0630	mapped	0x1024f0630
System.ComponentModel.Primitives	15	0x06000010	System.ComponentModel.DesignerAttribute	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cc34	0x94830eaf	0x1024f06f0	0x1024f06f0	mapped	0x1024f06f0
