assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.ComponentModel.TypeConverter	0	0x06000001	System.UriTypeConverter	CanConvertFrom	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cec8	0x948312b4	0x1024f1998	0x1024f1998	mapped	0x1024f1998
System.ComponentModel.TypeConverter	1	0x06000002	System.UriTypeConverter	CanConvertTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cecc	0x948312da	0x1024f1a34	0x1024f1a34	mapped	0x1024f1a34
System.ComponentModel.TypeConverter	2	0x06000003	System.UriTypeConverter	ConvertFrom	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042ced0	0x94831300	0x1024f1ad0	0x1024f1ad0	mapped	0x1024f1ad0
System.ComponentModel.TypeConverter	3	0x06000004	System.UriTypeConverter	ConvertTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042ced4	0x9483133f	0x1024f1bd0	0x1024f1bd0	mapped	0x1024f1bd0
System.ComponentModel.TypeConverter	4	0x06000005	System.UriTypeConverter	GetUriKind	0x2050	NoInlining	Private, Static, HideBySig	0x10042ced8	0x948313cd	0x1024f1e0c	0x1024f1e0c	mapped	0x1024f1e0c
System.ComponentModel.TypeConverter	5	0x06000006	System.UriTypeConverter	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cedc	0x948313d8	0x1024f1e3c	0x1024f1e3c	mapped	0x1024f1e3c
System.ComponentModel.TypeConverter	6	0x06000007	System.InvariantComparer	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10042cee0	0x948313d8	0x1024f1e40	0x1024f1e40	mapped	0x1024f1e40
System.ComponentModel.TypeConverter	7	0x06000008	System.InvariantComparer	Compare	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10042cee4	0x94831409	0x1024f1f08	0x1024f1f08	mapped	0x1024f1f08
System.ComponentModel.TypeConverter	8	0x06000009	System.InvariantComparer	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10042cee8	0x94831446	0x1024f2000	0x1024f2000	mapped	0x1024f2000
System.ComponentModel.TypeConverter	9	0x0600000a	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042ceec	0x94831463	0x1024f2078	0x1024f2078	mapped	0x1024f2078
System.ComponentModel.TypeConverter	10	0x0600000b	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042cef0	0x9483148f	0x1024f212c	0x1024f212c	mapped	0x1024f212c
System.ComponentModel.TypeConverter	11	0x0600000c	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042cef4	0x948314c4	0x1024f2204	0x1024f2204	mapped	0x1024f2204
System.ComponentModel.TypeConverter	12	0x0600000d	System.Drawing.SizeFConverter	CanConvertFrom	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cef8	0x94831500	0x1024f22f8	0x1024f22f8	mapped	0x1024f22f8
System.ComponentModel.TypeConverter	13	0x0600000e	System.Drawing.SizeFConverter	CanConvertTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cefc	0x94831520	0x1024f237c	0x1024f237c	mapped	0x1024f237c
System.ComponentModel.TypeConverter	14	0x0600000f	System.Drawing.SizeFConverter	ConvertFrom	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cf00	0x94831540	0x1024f2400	0x1024f2400	mapped	0x1024f2400
System.ComponentModel.TypeConverter	15	0x06000010	System.Drawing.SizeFConverter	ConvertTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cf04	0x948315f2	0x1024f26cc	0x1024f26cc	mapped	0x1024f26cc
System.ComponentModel.TypeConverter	16	0x06000011	System.Drawing.SizeFConverter	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cf08	0x948316bc	0x1024f29f8	0x1024f29f8	mapped	0x1024f29f8
System.ComponentModel.TypeConverter	17	0x06000012	System.ComponentModel.ArrayConverter	ConvertTo	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cf0c	0x948316bc	0x1024f29fc	0x1024f29fc	mapped	0x1024f29fc
System.ComponentModel.TypeConverter	18	0x06000013	System.ComponentModel.ArrayConverter	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042cf10	0x94831700	0x1024f2b10	0x1024f2b10	mapped	0x1024f2b10
System.ComponentModel.TypeConverter	19	0x06000014	System.ComponentModel.BaseNumberConverter	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10042cf14	0x94831700	0x1024f2b14	0x1024f2b14	mapped	0x1024f2b14
System.ComponentModel.TypeConverter	20	0x06000015	System.ComponentModel.BaseNumberConverter	get_AllowHex	0x2050	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride, SpecialName	0x10042cf18	0x94831700	0x1024f2b18	0x1024f2b18	mapped	0x1024f2b18
System.ComponentModel.TypeConverter	21	0x06000016	System.ComponentModel.BaseNumberConverter	get_TargetType	0x0	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride, Abstract, SpecialName	0x10042cf1c	0x97ffffeb	0x10042cec8		absent	0x10042cec8
System.ComponentModel.TypeConverter	22	0x06000017	System.ComponentModel.BaseNumberConverter	FromString	0x0	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride, Abstract	0x10042cf20	0x97ffffea	0x10042cec8		absent	0x10042cec8
System.ComponentModel.TypeConverter	23	0x06000018	System.ComponentModel.BaseNumberConverter	FromString	0x0	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride, Abstract	0x10042cf24	0x97ffffe9	0x10042cec8		absent	0x10042cec8
System.ComponentModel.TypeConverter	24	0x06000019	System.ComponentModel.BaseNumberConverter	ToString	0x0	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride, Abstract	0x10042cf28	0x97ffffe8	0x10042cec8		absent	0x10042cec8
System.ComponentModel.TypeConverter	25	0x0600001a	System.ComponentModel.BaseNumberConverter	CanConvertFrom	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042cf2c	0x948316fd	0x1024f2b20	0x1024f2b20	mapped	0x1024f2b20
