assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Console	0	0x06000001	Interop+Sys	Log	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10042f408	0x94000000	0x10042f408		absent	0x10042f408
System.Console	1	0x06000002	System.Console	get_OutputEncoding	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10042f40c	0x948395db	0x102514b78	0x102514b78	mapped	0x102514b78
System.Console	2	0x06000003	System.Console	get_Out	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10042f410	0x9483963b	0x102514cfc	0x102514cfc	mapped	0x102514cfc
System.Console	3	0x06000004	System.Console	CreateOutputWriter	0x2050	NoInlining	Private, Static, HideBySig	0x10042f414	0x94839655	0x102514d68	0x102514d68	mapped	0x102514d68
System.Console	4	0x06000005	System.Console	WriteLine	0x2050	NoInlining	Public, Static, HideBySig	0x10042f418	0x94839686	0x102514e30	0x102514e30	mapped	0x102514e30
System.Console	5	0x06000006	System.Console	WriteLine	0x2050	NoInlining	Public, Static, HideBySig	0x10042f41c	0x948396a6	0x102514eb4	0x102514eb4	mapped	0x102514eb4
System.Console	6	0x06000007	System.Console	WriteLine	0x2050	NoInlining	Public, Static, HideBySig	0x10042f420	0x948396c6	0x102514f38	0x102514f38	mapped	0x102514f38
System.Console	7	0x06000008	System.Console	WriteLine	0x2050	NoInlining	Public, Static, HideBySig	0x10042f424	0x948396e8	0x102514fc4	0x102514fc4	mapped	0x102514fc4
System.Console	8	0x06000009	System.Console	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10042f428	0x9483970e	0x102515060	0x102515060	mapped	0x102515060
System.Console	9	0x0600000a	System.Console	<get_Out>g__EnsureInitialized|26_0	0x2050	NoInlining	Assembly, Static, HideBySig	0x10042f42c	0x94839729	0x1025150d0	0x1025150d0	mapped	0x1025150d0
System.Console	10	0x0600000b	System.NSLogStream	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10042f430	0x94839770	0x1025151f0	0x1025151f0	mapped	0x1025151f0
System.Console	11	0x0600000c	System.NSLogStream	Print	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x10042f434	0x9483977f	0x102515230	0x102515230	mapped	0x102515230
System.Console	12	0x0600000d	System.ConsolePal	OpenStandardOutput	0x2050	NoInlining	Public, Static, HideBySig	0x10042f438	0x9483978f	0x102515274	0x102515274	mapped	0x102515274
System.Console	13	0x0600000e	System.ConsolePal	get_OutputEncoding	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10042f43c	0x948397b3	0x102515308	0x102515308	mapped	0x102515308
System.Console	14	0x0600000f	System.Text.EncodingExtensions	RemovePreamble	0x2050	NoInlining	Public, Static, HideBySig	0x10042f440	0x948397cf	0x10251537c	0x10251537c	mapped	0x10251537c
System.Console	15	0x06000010	System.Text.ConsoleEncoding	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10042f444	0x94839800	0x102515444	0x102515444	mapped	0x102515444
System.Console	16	0x06000011	System.Text.ConsoleEncoding	GetPreamble	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f448	0x9483981b	0x1025154b4	0x1025154b4	mapped	0x1025154b4
System.Console	17	0x06000012	System.Text.ConsoleEncoding	get_CodePage	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x10042f44c	0x94839837	0x102515528	0x102515528	mapped	0x102515528
System.Console	18	0x06000013	System.Text.ConsoleEncoding	get_EncodingName	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x10042f450	0x9483984f	0x10251558c	0x10251558c	mapped	0x10251558c
System.Console	19	0x06000014	System.Text.ConsoleEncoding	get_WebName	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x10042f454	0x94839867	0x1025155f0	0x1025155f0	mapped	0x1025155f0
System.Console	20	0x06000015	System.Text.ConsoleEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f458	0x9483987f	0x102515654	0x102515654	mapped	0x102515654
System.Console	21	0x06000016	System.Text.ConsoleEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f45c	0x9483989d	0x1025156d0	0x1025156d0	mapped	0x1025156d0
System.Console	22	0x06000017	System.Text.ConsoleEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f460	0x948398bd	0x102515754	0x102515754	mapped	0x102515754
System.Console	23	0x06000018	System.Text.ConsoleEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f464	0x948398d7	0x1025157c0	0x1025157c0	mapped	0x1025157c0
System.Console	24	0x06000019	System.Text.ConsoleEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f468	0x948398fb	0x102515854	0x102515854	mapped	0x102515854
System.Console	25	0x0600001a	System.Text.ConsoleEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f46c	0x94839921	0x1025158f0	0x1025158f0	mapped	0x1025158f0
System.Console	26	0x0600001b	System.Text.ConsoleEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f470	0x9483993b	0x10251595c	0x10251595c	mapped	0x10251595c
System.Console	27	0x0600001c	System.Text.ConsoleEncoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f474	0x94839961	0x1025159f8	0x1025159f8	mapped	0x1025159f8
System.Console	28	0x0600001d	System.Text.ConsoleEncoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f478	0x9483997f	0x102515a74	0x102515a74	mapped	0x102515a74
System.Console	29	0x0600001e	System.Text.ConsoleEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f47c	0x9483999f	0x102515af8	0x102515af8	mapped	0x102515af8
System.Console	30	0x0600001f	System.Text.ConsoleEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f480	0x948399c3	0x102515b8c	0x102515b8c	mapped	0x102515b8c
System.Console	31	0x06000020	System.Text.ConsoleEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f484	0x948399dd	0x102515bf8	0x102515bf8	mapped	0x102515bf8
System.Console	32	0x06000021	System.Text.ConsoleEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f488	0x948399fd	0x102515c7c	0x102515c7c	mapped	0x102515c7c
System.Console	33	0x06000022	System.Text.ConsoleEncoding	GetDecoder	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f48c	0x94839a23	0x102515d18	0x102515d18	mapped	0x102515d18
System.Console	34	0x06000023	System.Text.ConsoleEncoding	GetEncoder	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10042f490	0x94839a3b	0x102515d7c	0x102515d7c	mapped	0x102515d7c
