assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Data.HashFunction.Core	0	0x06000001	System.Data.HashFunction.HashAlgorithmWrapper	get_HashSize	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x1003b61f8	0x947c1758	0x1022bbf58	0x1022bbf58	mapped	0x1022bbf58
System.Data.HashFunction.Core	1	0x06000002	System.Data.HashFunction.HashAlgorithmWrapper	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b61fc	0x947c1764	0x1022bbf8c	0x1022bbf8c	mapped	0x1022bbf8c
System.Data.HashFunction.Core	2	0x06000003	System.Data.HashFunction.HashAlgorithmWrapper	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b6200	0x947c1774	0x1022bbfd0	0x1022bbfd0	mapped	0x1022bbfd0
System.Data.HashFunction.Core	3	0x06000004	System.Data.HashFunction.HashAlgorithmWrapper	Finalize	0x2050	NoInlining	Family, Virtual, HideBySig	0x1003b6204	0x947c17a5	0x1022bc098	0x1022bc098	mapped	0x1022bc098
System.Data.HashFunction.Core	4	0x06000005	System.Data.HashFunction.HashAlgorithmWrapper	Dispose	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b6208	0x947c17c6	0x1022bc120	0x1022bc120	mapped	0x1022bc120
System.Data.HashFunction.Core	5	0x06000006	System.Data.HashFunction.HashAlgorithmWrapper	Dispose	0x2050	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask	0x1003b620c	0x947c17dc	0x1022bc17c	0x1022bc17c	mapped	0x1022bc17c
System.Data.HashFunction.Core	6	0x06000007	System.Data.HashFunction.HashAlgorithmWrapper	ComputeHash	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b6210	0x947c1813	0x1022bc25c	0x1022bc25c	mapped	0x1022bc25c
System.Data.HashFunction.Core	7	0x06000008	System.Data.HashFunction.HashAlgorithmWrapper	ComputeHash	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b6214	0x947c184c	0x1022bc344	0x1022bc344	mapped	0x1022bc344
System.Data.HashFunction.Core	8	0x06000009	System.Data.HashFunction.HashAlgorithmWrapper`1	get_HashSize	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x1003b6218	0x947c1885	0x1022bc42c	0x1022bc42c	mapped	0x1022bc42c
System.Data.HashFunction.Core	9	0x0600000a	System.Data.HashFunction.HashAlgorithmWrapper`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b621c	0x947c1894	0x1022bc46c	0x1022bc46c	mapped	0x1022bc46c
System.Data.HashFunction.Core	10	0x0600000b	System.Data.HashFunction.HashAlgorithmWrapper`1	Finalize	0x2050	NoInlining	Family, Virtual, HideBySig	0x1003b6220	0x947c18cf	0x1022bc55c	0x1022bc55c	mapped	0x1022bc55c
System.Data.HashFunction.Core	11	0x0600000c	System.Data.HashFunction.HashAlgorithmWrapper`1	Dispose	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b6224	0x947c1906	0x1022bc63c	0x1022bc63c	mapped	0x1022bc63c
System.Data.HashFunction.Core	12	0x0600000d	System.Data.HashFunction.HashAlgorithmWrapper`1	Dispose	0x2050	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask	0x1003b6228	0x947c1934	0x1022bc6f8	0x1022bc6f8	mapped	0x1022bc6f8
System.Data.HashFunction.Core	13	0x0600000e	System.Data.HashFunction.HashAlgorithmWrapper`1	ComputeHash	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b622c	0x947c196a	0x1022bc7d4	0x1022bc7d4	mapped	0x1022bc7d4
System.Data.HashFunction.Core	14	0x0600000f	System.Data.HashFunction.HashAlgorithmWrapper`1	ComputeHash	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1003b6230	0x947c19a4	0x1022bc8c0	0x1022bc8c0	mapped	0x1022bc8c0
System.Data.HashFunction.Core	15	0x06000010	System.Data.HashFunction.HashFunctionBase	get_HashSize	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x1003b6234	0x947c19de	0x1022bc9ac	0x1022bc9ac	mapped	0x1022bc9ac
System.Data.HashFunction.Core	16	0x06000011	System.Data.HashFunction.HashFunctionBase	get_RequiresSeekableStream	0x2050	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x1003b6238	0x947c19e6	0x1022bc9d0	0x1022bc9d0	mapped	0x1022bc9d0
System.Data.HashFunction.Core	17	0x06000012	System.Data.HashFunction.HashFunctionBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x1003b623c	0x947c19e7	0x1022bc9d8	0x1022bc9d8	mapped	0x1022bc9d8
System.Data.HashFunction.Core	18	0x06000013	System.Data.HashFunction.HashFunctionBase	ComputeHash	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1003b6240	0x947c19ef	0x1022bc9fc	0x1022bc9fc	mapped	0x1022bc9fc
System.Data.HashFunction.Core	19	0x06000014	System.Data.HashFunction.HashFunctionBase	ComputeHash	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1003b6244	0x947c1a17	0x1022bcaa0	0x1022bcaa0	mapped	0x1022bcaa0
System.Data.HashFunction.Core	20	0x06000015	System.Data.HashFunction.HashFunctionBase	ComputeHashInternal	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003b6248	0x97ffffec	0x1003b61f8		absent	0x1003b61f8
System.Data.HashFunction.Core	21	0x06000016	System.Data.HashFunction.HashFunctionAsyncBase	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x1003b624c	0x947c1ab0	0x1022bcd0c	0x1022bcd0c	mapped	0x1022bcd0c
System.Data.HashFunction.Core	22	0x06000017	System.Data.HashFunction.HashFunctionAsyncBase	ComputeHashAsync	0x2050	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask	0x1003b6250	0x947c1ab8	0x1022bcd30	0x1022bcd30	mapped	0x1022bcd30
System.Data.HashFunction.Core	23	0x06000018	System.Data.HashFunction.HashFunctionAsyncBase	ComputeHashAsyncInternal	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x1003b6254	0x97ffffe9	0x1003b61f8		absent	0x1003b61f8
System.Data.HashFunction.Core	24	0x06000019	System.Data.HashFunction.IHashFunction_Extensions	ComputeHash	0x2050	NoInlining	Public, Static, HideBySig	0x1003b6258	0x947c1af7	0x1022bce34	0x1022bce34	mapped	0x1022bce34
System.Data.HashFunction.Core	25	0x0600001a	System.Data.HashFunction.IHashFunction_Extensions	ComputeHash	0x2050	NoInlining	Public, Static, HideBySig	0x1003b625c	0x947c1b22	0x1022bcee4	0x1022bcee4	mapped	0x1022bcee4
System.Data.HashFunction.Core	26	0x0600001b	System.Data.HashFunction.IHashFunction_Extensions	ComputeHash	0x2050	NoInlining	Public, Static, HideBySig	0x1003b6260	0x947c1b4b	0x1022bcf8c	0x1022bcf8c	mapped	0x1022bcf8c
