assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Data.HashFunction.xxHash	0	0x06000001	System.Data.HashFunction.xxHash	get_InitVal	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b77b8	0x947c4760	0x1022c9538	0x1022c9538	mapped	0x1022c9538
System.Data.HashFunction.xxHash	1	0x06000002	System.Data.HashFunction.xxHash	set_InitVal	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1003b77bc	0x947c4768	0x1022c955c	0x1022c955c	mapped	0x1022c955c
System.Data.HashFunction.xxHash	2	0x06000003	System.Data.HashFunction.xxHash	get_ValidHashSizes	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x1003b77c0	0x947c4770	0x1022c9580	0x1022c9580	mapped	0x1022c9580
System.Data.HashFunction.xxHash	3	0x06000004	System.Data.HashFunction.xxHash	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b77c4	0x947c4780	0x1022c95c4	0x1022c95c4	mapped	0x1022c95c4
System.Data.HashFunction.xxHash	4	0x06000005	System.Data.HashFunction.xxHash	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b77c8	0x947c4799	0x1022c962c	0x1022c962c	mapped	0x1022c962c
System.Data.HashFunction.xxHash	5	0x06000006	System.Data.HashFunction.xxHash	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b77cc	0x947c47b4	0x1022c969c	0x1022c969c	mapped	0x1022c969c
System.Data.HashFunction.xxHash	6	0x06000007	System.Data.HashFunction.xxHash	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1003b77d0	0x947c47cf	0x1022c970c	0x1022c970c	mapped	0x1022c970c
System.Data.HashFunction.xxHash	7	0x06000008	System.Data.HashFunction.xxHash	ComputeHashInternal	0x2050	NoInlining	Family, Virtual, HideBySig	0x1003b77d4	0x947c4810	0x1022c9814	0x1022c9814	mapped	0x1022c9814
System.Data.HashFunction.xxHash	8	0x06000009	System.Data.HashFunction.xxHash	ComputeHashAsyncInternal	0x2050	NoInlining	Family, Virtual, HideBySig	0x1003b77d8	0x947c4ba2	0x1022ca660	0x1022ca660	mapped	0x1022ca660
System.Data.HashFunction.xxHash	9	0x0600000a	System.Data.HashFunction.xxHash	PostProcess	0x2050	264	Private, Static, HideBySig	0x1003b77dc	0x947c4be1	0x1022ca760	0x1022ca760	mapped	0x1022ca760
