assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Diagnostics.DiagnosticSource	0	0x06000001	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x100432418	0x948395fc	0x102517c08	0x102517c08	mapped	0x102517c08
System.Diagnostics.DiagnosticSource	1	0x06000002	System.Diagnostics.DiagNode`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10043241c	0x94839628	0x102517cbc	0x102517cbc	mapped	0x102517cbc
System.Diagnostics.DiagnosticSource	2	0x06000003	System.Diagnostics.DiagLinkedList`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100432420	0x9483963a	0x102517d08	0x102517d08	mapped	0x102517d08
System.Diagnostics.DiagnosticSource	3	0x06000004	System.Diagnostics.DiagLinkedList`1	get_First	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100432424	0x9483963d	0x102517d18	0x102517d18	mapped	0x102517d18
System.Diagnostics.DiagnosticSource	4	0x06000005	System.Diagnostics.DiagLinkedList`1	Clear	0x2050	NoInlining	Public, HideBySig	0x100432428	0x94839648	0x102517d48	0x102517d48	mapped	0x102517d48
System.Diagnostics.DiagnosticSource	5	0x06000006	System.Diagnostics.DiagLinkedList`1	GetEnumerator	0x2050	NoInlining	Public, HideBySig	0x10043242c	0x94839681	0x102517e30	0x102517e30	mapped	0x102517e30
System.Diagnostics.DiagnosticSource	6	0x06000007	System.Diagnostics.DiagLinkedList`1	System.Collections.Generic.IEnumerable<T>.GetEnumerator	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x100432430	0x948396b0	0x102517ef0	0x102517ef0	mapped	0x102517ef0
System.Diagnostics.DiagnosticSource	7	0x06000008	System.Diagnostics.DiagLinkedList`1	System.Collections.IEnumerable.GetEnumerator	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x100432434	0x948396e8	0x102517fd4	0x102517fd4	mapped	0x102517fd4
System.Diagnostics.DiagnosticSource	8	0x06000009	System.Diagnostics.DiagEnumerator`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100432438	0x94839720	0x1025180b8	0x1025180b8	mapped	0x1025180b8
System.Diagnostics.DiagnosticSource	9	0x0600000a	System.Diagnostics.DiagEnumerator`1	get_Current	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x10043243c	0x9483975c	0x1025181ac	0x1025181ac	mapped	0x1025181ac
System.Diagnostics.DiagnosticSource	10	0x0600000b	System.Diagnostics.DiagEnumerator`1	System.Collections.IEnumerator.get_Current	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x100432440	0x9483976b	0x1025181ec	0x1025181ec	mapped	0x1025181ec
System.Diagnostics.DiagnosticSource	11	0x0600000c	System.Diagnostics.DiagEnumerator`1	MoveNext	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x100432444	0x94839791	0x102518288	0x102518288	mapped	0x102518288
System.Diagnostics.DiagnosticSource	12	0x0600000d	System.Diagnostics.DiagEnumerator`1	Reset	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x100432448	0x948397df	0x1025183c4	0x1025183c4	mapped	0x1025183c4
System.Diagnostics.DiagnosticSource	13	0x0600000e	System.Diagnostics.DiagEnumerator`1	Dispose	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10043244c	0x948397eb	0x1025183f8	0x1025183f8	mapped	0x1025183f8
System.Diagnostics.DiagnosticSource	14	0x0600000f	System.Diagnostics.DiagEnumerator`1	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x100432450	0x948397ee	0x102518408	0x102518408	mapped	0x102518408
