assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Drawing.Primitives	0	0x06000001	System.Drawing.PointF	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100433f08	0x9483bf44	0x102523c18	0x102523c18	mapped	0x102523c18
System.Drawing.Primitives	1	0x06000002	System.Drawing.PointF	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100433f0c	0x9483bf4c	0x102523c3c	0x102523c3c	mapped	0x102523c3c
System.Drawing.Primitives	2	0x06000003	System.Drawing.PointF	ToVector2	0x2050	NoInlining	Public, HideBySig	0x100433f10	0x9483bf54	0x102523c60	0x102523c60	mapped	0x102523c60
System.Drawing.Primitives	3	0x06000004	System.Drawing.PointF	get_X	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100433f14	0x9483bf5d	0x102523c88	0x102523c88	mapped	0x102523c88
System.Drawing.Primitives	4	0x06000005	System.Drawing.PointF	get_Y	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100433f18	0x9483bf65	0x102523cac	0x102523cac	mapped	0x102523cac
System.Drawing.Primitives	5	0x06000006	System.Drawing.PointF	op_Explicit	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f1c	0x9483bf6d	0x102523cd0	0x102523cd0	mapped	0x102523cd0
System.Drawing.Primitives	6	0x06000007	System.Drawing.PointF	op_Explicit	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f20	0x9483bf6d	0x102523cd4	0x102523cd4	mapped	0x102523cd4
System.Drawing.Primitives	7	0x06000008	System.Drawing.PointF	op_Addition	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f24	0x9483bf6d	0x102523cd8	0x102523cd8	mapped	0x102523cd8
System.Drawing.Primitives	8	0x06000009	System.Drawing.PointF	op_Subtraction	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f28	0x9483bf7b	0x102523d14	0x102523d14	mapped	0x102523d14
System.Drawing.Primitives	9	0x0600000a	System.Drawing.PointF	op_Equality	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f2c	0x9483bf89	0x102523d50	0x102523d50	mapped	0x102523d50
System.Drawing.Primitives	10	0x0600000b	System.Drawing.PointF	op_Inequality	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100433f30	0x9483bf8d	0x102523d64	0x102523d64	mapped	0x102523d64
System.Drawing.Primitives	11	0x0600000c	System.Drawing.PointF	Add	0x2050	NoInlining	Public, Static, HideBySig	0x100433f34	0x9483bf9c	0x102523da4	0x102523da4	mapped	0x102523da4
System.Drawing.Primitives	12	0x0600000d	System.Drawing.PointF	Subtract	0x2050	NoInlining	Public, Static, HideBySig	0x100433f38	0x9483bf9e	0x102523db0	0x102523db0	mapped	0x102523db0
System.Drawing.Primitives	13	0x0600000e	System.Drawing.PointF	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100433f3c	0x9483bfa0	0x102523dbc	0x102523dbc	mapped	0x102523dbc
System.Drawing.Primitives	14	0x0600000f	System.Drawing.PointF	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x100433f40	0x9483bfd3	0x102523e8c	0x102523e8c	mapped	0x102523e8c
System.Drawing.Primitives	15	0x06000010	System.Drawing.PointF	GetHashCode	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100433f44	0x9483bfed	0x102523ef8	0x102523ef8	mapped	0x102523ef8
System.Drawing.Primitives	16	0x06000011	System.Drawing.PointF	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100433f48	0x9483c015	0x102523f9c	0x102523f9c	mapped	0x102523f9c
System.Drawing.Primitives	17	0x06000012	System.Drawing.RectangleF	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100433f4c	0x9483c0aa	0x1025241f4	0x1025241f4	mapped	0x1025241f4
System.Drawing.Primitives	18	0x06000013	System.Drawing.RectangleF	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100433f50	0x9483c0b5	0x102524224	0x102524224	mapped	0x102524224
System.Drawing.Primitives	19	0x06000014	System.Drawing.RectangleF	ToVector4	0x2050	NoInlining	Public, HideBySig	0x100433f54	0x9483c0c0	0x102524254	0x102524254	mapped	0x102524254
