assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Formats.Asn1	0	0x06000001	System.LocalAppContextSwitches	GetCachedSwitchValue	0x2050	264	Assembly, Static, HideBySig	0x1004348a8	0x9483c400	0x1025258a8	0x1025258a8	mapped	0x1025258a8
System.Formats.Asn1	1	0x06000002	System.LocalAppContextSwitches	GetCachedSwitchValueInternal	0x2050	NoInlining	Private, Static, HideBySig	0x1004348ac	0x9483c41c	0x10252591c	0x10252591c	mapped	0x10252591c
System.Formats.Asn1	2	0x06000003	System.LocalAppContextSwitches	GetSwitchDefaultValue	0x2050	NoInlining	Private, Static, HideBySig	0x1004348b0	0x9483c451	0x1025259f4	0x1025259f4	mapped	0x1025259f4
System.Formats.Asn1	3	0x06000004	System.LocalAppContextSwitches	get_AllowAnySizeOid	0x2050	264	Public, Static, HideBySig, SpecialName	0x1004348b4	0x9483c47b	0x102525aa0	0x102525aa0	mapped	0x102525aa0
System.Formats.Asn1	4	0x06000005	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004348b8	0x9483c49f	0x102525b34	0x102525b34	mapped	0x102525b34
System.Formats.Asn1	5	0x06000006	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004348bc	0x9483c4cb	0x102525be8	0x102525be8	mapped	0x102525be8
System.Formats.Asn1	6	0x06000007	System.Formats.Asn1.Asn1Tag	get_TagClass	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004348c0	0x9483c4ef	0x102525c7c	0x102525c7c	mapped	0x102525c7c
System.Formats.Asn1	7	0x06000008	System.Formats.Asn1.Asn1Tag	get_IsConstructed	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004348c4	0x9483c4f8	0x102525ca4	0x102525ca4	mapped	0x102525ca4
System.Formats.Asn1	8	0x06000009	System.Formats.Asn1.Asn1Tag	get_TagValue	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004348c8	0x9483c501	0x102525ccc	0x102525ccc	mapped	0x102525ccc
System.Formats.Asn1	9	0x0600000a	System.Formats.Asn1.Asn1Tag	.ctor	0x2050	NoInlining	Private, HideBySig, SpecialName, RTSpecialName	0x1004348cc	0x9483c509	0x102525cf0	0x102525cf0	mapped	0x102525cf0
System.Formats.Asn1	10	0x0600000b	System.Formats.Asn1.Asn1Tag	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004348d0	0x9483c524	0x102525d60	0x102525d60	mapped	0x102525d60
System.Formats.Asn1	11	0x0600000c	System.Formats.Asn1.Asn1Tag	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004348d4	0x9483c557	0x102525e30	0x102525e30	mapped	0x102525e30
System.Formats.Asn1	12	0x0600000d	System.Formats.Asn1.Asn1Tag	AsConstructed	0x2050	NoInlining	Public, HideBySig	0x1004348d8	0x9483c593	0x102525f24	0x102525f24	mapped	0x102525f24
System.Formats.Asn1	13	0x0600000e	System.Formats.Asn1.Asn1Tag	AsPrimitive	0x2050	NoInlining	Public, HideBySig	0x1004348dc	0x9483c59f	0x102525f58	0x102525f58	mapped	0x102525f58
System.Formats.Asn1	14	0x0600000f	System.Formats.Asn1.Asn1Tag	TryDecode	0x2050	NoInlining	Public, Static, HideBySig	0x1004348e0	0x9483c5aa	0x102525f88	0x102525f88	mapped	0x102525f88
System.Formats.Asn1	15	0x06000010	System.Formats.Asn1.Asn1Tag	Decode	0x2050	NoInlining	Public, Static, HideBySig	0x1004348e4	0x9483c60a	0x10252610c	0x10252610c	mapped	0x10252610c
System.Formats.Asn1	16	0x06000011	System.Formats.Asn1.Asn1Tag	CalculateEncodedSize	0x2050	NoInlining	Public, HideBySig	0x1004348e8	0x9483c63e	0x1025261e0	0x1025261e0	mapped	0x1025261e0
System.Formats.Asn1	17	0x06000012	System.Formats.Asn1.Asn1Tag	TryEncode	0x2050	NoInlining	Public, HideBySig	0x1004348ec	0x9483c65e	0x102526264	0x102526264	mapped	0x102526264
System.Formats.Asn1	18	0x06000013	System.Formats.Asn1.Asn1Tag	Encode	0x2050	NoInlining	Public, HideBySig	0x1004348f0	0x9483c6c4	0x102526400	0x102526400	mapped	0x102526400
System.Formats.Asn1	19	0x06000014	System.Formats.Asn1.Asn1Tag	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1004348f4	0x9483c6ee	0x1025264ac	0x1025264ac	mapped	0x1025264ac
System.Formats.Asn1	20	0x06000015	System.Formats.Asn1.Asn1Tag	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004348f8	0x9483c6ff	0x1025264f4	0x1025264f4	mapped	0x1025264f4
System.Formats.Asn1	21	0x06000016	System.Formats.Asn1.Asn1Tag	GetHashCode	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004348fc	0x9483c732	0x1025265c4	0x1025265c4	mapped	0x1025265c4
System.Formats.Asn1	22	0x06000017	System.Formats.Asn1.Asn1Tag	op_Equality	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100434900	0x9483c73c	0x1025265f0	0x1025265f0	mapped	0x1025265f0
System.Formats.Asn1	23	0x06000018	System.Formats.Asn1.Asn1Tag	op_Inequality	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100434904	0x9483c759	0x102526668	0x102526668	mapped	0x102526668
System.Formats.Asn1	24	0x06000019	System.Formats.Asn1.Asn1Tag	HasSameClassAndValue	0x2050	NoInlining	Public, HideBySig	0x100434908	0x9483c776	0x1025266e0	0x1025266e0	mapped	0x1025266e0
System.Formats.Asn1	25	0x0600001a	System.Formats.Asn1.Asn1Tag	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043490c	0x9483c789	0x102526730	0x102526730	mapped	0x102526730
System.Formats.Asn1	26	0x0600001b	System.Formats.Asn1.Asn1Tag	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x100434910	0x9483c7f4	0x1025268e0	0x1025268e0	mapped	0x1025268e0
System.Formats.Asn1	27	0x0600001c	System.Formats.Asn1.AsnCharacterStringEncodings	GetEncoding	0x2050	NoInlining	Assembly, Static, HideBySig	0x100434914	0x9483c845	0x102526a28	0x102526a28	mapped	0x102526a28
System.Formats.Asn1	28	0x0600001d	System.Formats.Asn1.AsnCharacterStringEncodings	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x100434918	0x9483c894	0x102526b68	0x102526b68	mapped	0x102526b68
System.Formats.Asn1	29	0x0600001e	System.Formats.Asn1.SpanBasedEncoding	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x10043491c	0x9483c8f3	0x102526ce8	0x102526ce8	mapped	0x102526ce8
System.Formats.Asn1	30	0x0600001f	System.Formats.Asn1.SpanBasedEncoding	GetBytes	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x100434920	0x97ffffe2	0x1004348a8		absent	0x1004348a8
System.Formats.Asn1	31	0x06000020	System.Formats.Asn1.SpanBasedEncoding	GetChars	0x0	NoInlining	Family, Virtual, HideBySig, VtableLayoutMask, Abstract	0x100434924	0x97ffffe1	0x1004348a8		absent	0x1004348a8
System.Formats.Asn1	32	0x06000021	System.Formats.Asn1.SpanBasedEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434928	0x9483c91d	0x102526d9c	0x102526d9c	mapped	0x102526d9c
System.Formats.Asn1	33	0x06000022	System.Formats.Asn1.SpanBasedEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043492c	0x9483c947	0x102526e48	0x102526e48	mapped	0x102526e48
System.Formats.Asn1	34	0x06000023	System.Formats.Asn1.SpanBasedEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434930	0x9483c96f	0x102526eec	0x102526eec	mapped	0x102526eec
System.Formats.Asn1	35	0x06000024	System.Formats.Asn1.SpanBasedEncoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434934	0x9483c991	0x102526f78	0x102526f78	mapped	0x102526f78
System.Formats.Asn1	36	0x06000025	System.Formats.Asn1.SpanBasedEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434938	0x9483c9af	0x102526ff4	0x102526ff4	mapped	0x102526ff4
System.Formats.Asn1	37	0x06000026	System.Formats.Asn1.SpanBasedEncoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043493c	0x9483c9f4	0x10252710c	0x10252710c	mapped	0x10252710c
System.Formats.Asn1	38	0x06000027	System.Formats.Asn1.SpanBasedEncoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434940	0x9483ca24	0x1025271d0	0x1025271d0	mapped	0x1025271d0
System.Formats.Asn1	39	0x06000028	System.Formats.Asn1.SpanBasedEncoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434944	0x9483ca4e	0x10252727c	0x10252727c	mapped	0x10252727c
System.Formats.Asn1	40	0x06000029	System.Formats.Asn1.SpanBasedEncoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434948	0x9483ca76	0x102527320	0x102527320	mapped	0x102527320
System.Formats.Asn1	41	0x0600002a	System.Formats.Asn1.SpanBasedEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043494c	0x9483ca94	0x10252739c	0x10252739c	mapped	0x10252739c
System.Formats.Asn1	42	0x0600002b	System.Formats.Asn1.SpanBasedEncoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434950	0x9483cad9	0x1025274b4	0x1025274b4	mapped	0x1025274b4
System.Formats.Asn1	43	0x0600002c	System.Formats.Asn1.IA5Encoding	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x100434954	0x9483cb09	0x102527578	0x102527578	mapped	0x102527578
System.Formats.Asn1	44	0x0600002d	System.Formats.Asn1.VisibleStringEncoding	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x100434958	0x9483cb18	0x1025275b8	0x1025275b8	mapped	0x1025275b8
System.Formats.Asn1	45	0x0600002e	System.Formats.Asn1.NumericStringEncoding	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10043495c	0x9483cb27	0x1025275f8	0x1025275f8	mapped	0x1025275f8
System.Formats.Asn1	46	0x0600002f	System.Formats.Asn1.PrintableStringEncoding	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x100434960	0x9483cb41	0x102527664	0x102527664	mapped	0x102527664
System.Formats.Asn1	47	0x06000030	System.Formats.Asn1.RestrictedAsciiStringEncoding	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100434964	0x9483cb5b	0x1025276d0	0x1025276d0	mapped	0x1025276d0
System.Formats.Asn1	48	0x06000031	System.Formats.Asn1.RestrictedAsciiStringEncoding	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100434968	0x9483cb97	0x1025277c4	0x1025277c4	mapped	0x1025277c4
System.Formats.Asn1	49	0x06000032	System.Formats.Asn1.RestrictedAsciiStringEncoding	GetMaxByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043496c	0x9483cbf3	0x102527938	0x102527938	mapped	0x102527938
System.Formats.Asn1	50	0x06000033	System.Formats.Asn1.RestrictedAsciiStringEncoding	GetMaxCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434970	0x9483cbf4	0x102527940	0x102527940	mapped	0x102527940
System.Formats.Asn1	51	0x06000034	System.Formats.Asn1.RestrictedAsciiStringEncoding	GetBytes	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x100434974	0x9483cbf5	0x102527948	0x102527948	mapped	0x102527948
System.Formats.Asn1	52	0x06000035	System.Formats.Asn1.RestrictedAsciiStringEncoding	GetChars	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x100434978	0x9483cc53	0x102527ac4	0x102527ac4	mapped	0x102527ac4
System.Formats.Asn1	53	0x06000036	System.Formats.Asn1.BMPEncoding	GetBytes	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x10043497c	0x9483ccc3	0x102527c88	0x102527c88	mapped	0x102527c88
System.Formats.Asn1	54	0x06000037	System.Formats.Asn1.BMPEncoding	GetChars	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x100434980	0x9483cd26	0x102527e18	0x102527e18	mapped	0x102527e18
System.Formats.Asn1	55	0x06000038	System.Formats.Asn1.BMPEncoding	GetMaxByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434984	0x9483cdc6	0x10252809c	0x10252809c	mapped	0x10252809c
System.Formats.Asn1	56	0x06000039	System.Formats.Asn1.BMPEncoding	GetMaxCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434988	0x9483cdd4	0x1025280d8	0x1025280d8	mapped	0x1025280d8
System.Formats.Asn1	57	0x0600003a	System.Formats.Asn1.BMPEncoding	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10043498c	0x9483cdd7	0x1025280e8	0x1025280e8	mapped	0x1025280e8
System.Formats.Asn1	58	0x0600003b	System.Formats.Asn1.T61Encoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434990	0x9483cde4	0x102528120	0x102528120	mapped	0x102528120
System.Formats.Asn1	59	0x0600003c	System.Formats.Asn1.T61Encoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434994	0x9483ce0c	0x1025281c4	0x1025281c4	mapped	0x1025281c4
System.Formats.Asn1	60	0x0600003d	System.Formats.Asn1.T61Encoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100434998	0x9483ce30	0x102528258	0x102528258	mapped	0x102528258
System.Formats.Asn1	61	0x0600003e	System.Formats.Asn1.T61Encoding	GetByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10043499c	0x9483ce52	0x1025282e4	0x1025282e4	mapped	0x1025282e4
System.Formats.Asn1	62	0x0600003f	System.Formats.Asn1.T61Encoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349a0	0x9483ce76	0x102528378	0x102528378	mapped	0x102528378
System.Formats.Asn1	63	0x06000040	System.Formats.Asn1.T61Encoding	GetBytes	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349a4	0x9483cea4	0x102528434	0x102528434	mapped	0x102528434
System.Formats.Asn1	64	0x06000041	System.Formats.Asn1.T61Encoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349a8	0x9483cece	0x1025284e0	0x1025284e0	mapped	0x1025284e0
System.Formats.Asn1	65	0x06000042	System.Formats.Asn1.T61Encoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349ac	0x9483cf0f	0x1025285e8	0x1025285e8	mapped	0x1025285e8
System.Formats.Asn1	66	0x06000043	System.Formats.Asn1.T61Encoding	GetCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349b0	0x9483cf4e	0x1025286e8	0x1025286e8	mapped	0x1025286e8
System.Formats.Asn1	67	0x06000044	System.Formats.Asn1.T61Encoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349b4	0x9483cf8f	0x1025287f0	0x1025287f0	mapped	0x1025287f0
System.Formats.Asn1	68	0x06000045	System.Formats.Asn1.T61Encoding	GetChars	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349b8	0x9483cfd6	0x102528910	0x102528910	mapped	0x102528910
System.Formats.Asn1	69	0x06000046	System.Formats.Asn1.T61Encoding	GetMaxByteCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349bc	0x9483d01b	0x102528a28	0x102528a28	mapped	0x102528a28
System.Formats.Asn1	70	0x06000047	System.Formats.Asn1.T61Encoding	GetMaxCharCount	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004349c0	0x9483d03d	0x102528ab4	0x102528ab4	mapped	0x102528ab4
