assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.IO.Compression.Brotli	0	0x06000001	Interop+Brotli	BrotliDecoderCreateInstance	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dc0	0x94842f02	0x1025459c8	0x1025459c8	mapped	0x1025459c8
System.IO.Compression.Brotli	1	0x06000002	Interop+Brotli	BrotliDecoderDecompressStream	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dc4	0x97fff1d3	0x100436510	0x100436510	mapped	0x100436510
System.IO.Compression.Brotli	2	0x06000003	Interop+Brotli	BrotliDecoderDestroyInstance	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439dc8	0x97fffffe	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	3	0x06000004	Interop+Brotli	BrotliDecoderIsFinished	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dcc	0x94842f49	0x102545af0	0x102545af0	mapped	0x102545af0
System.IO.Compression.Brotli	4	0x06000005	Interop+Brotli	BrotliEncoderCreateInstance	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dd0	0x94842f82	0x102545bd8	0x102545bd8	mapped	0x102545bd8
System.IO.Compression.Brotli	5	0x06000006	Interop+Brotli	BrotliEncoderSetParameter	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dd4	0x94842fcb	0x102545d00	0x102545d00	mapped	0x102545d00
System.IO.Compression.Brotli	6	0x06000007	Interop+Brotli	BrotliEncoderCompressStream	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439dd8	0x97fff252	0x100436720	0x100436720	mapped	0x100436720
System.IO.Compression.Brotli	7	0x06000008	Interop+Brotli	BrotliEncoderHasMoreOutput	0x2050	NoInlining	Assembly, Static, HideBySig	0x100439ddc	0x94843009	0x102545e00	0x102545e00	mapped	0x102545e00
System.IO.Compression.Brotli	8	0x06000009	Interop+Brotli	BrotliEncoderDestroyInstance	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439de0	0x97fffff8	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	9	0x0600000a	Interop+Brotli	<BrotliDecoderCreateInstance>g____PInvoke|0_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439de4	0x97fffff7	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	10	0x0600000b	Interop+Brotli	<BrotliDecoderDecompressStream>g____PInvoke|1_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439de8	0x97fffff6	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	11	0x0600000c	Interop+Brotli	<BrotliDecoderIsFinished>g____PInvoke|4_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439dec	0x97fffff5	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	12	0x0600000d	Interop+Brotli	<BrotliEncoderCreateInstance>g____PInvoke|5_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439df0	0x97fffff4	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	13	0x0600000e	Interop+Brotli	<BrotliEncoderSetParameter>g____PInvoke|6_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439df4	0x97fffff3	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	14	0x0600000f	Interop+Brotli	<BrotliEncoderCompressStream>g____PInvoke|7_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439df8	0x97fffff2	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	15	0x06000010	Interop+Brotli	<BrotliEncoderHasMoreOutput>g____PInvoke|8_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100439dfc	0x97fffff1	0x100439dc0		absent	0x100439dc0
System.IO.Compression.Brotli	16	0x06000011	Microsoft.Win32.SafeHandles.SafeBrotliEncoderHandle	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100439e00	0x9484303a	0x102545ee8	0x102545ee8	mapped	0x102545ee8
System.IO.Compression.Brotli	17	0x06000012	Microsoft.Win32.SafeHandles.SafeBrotliEncoderHandle	ReleaseHandle	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x100439e04	0x94843049	0x102545f28	0x102545f28	mapped	0x102545f28
System.IO.Compression.Brotli	18	0x06000013	Microsoft.Win32.SafeHandles.SafeBrotliEncoderHandle	get_IsInvalid	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x100439e08	0x9484305d	0x102545f7c	0x102545f7c	mapped	0x102545f7c
System.IO.Compression.Brotli	19	0x06000014	Microsoft.Win32.SafeHandles.SafeBrotliDecoderHandle	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100439e0c	0x94843067	0x102545fa8	0x102545fa8	mapped	0x102545fa8
