assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.IO.Compression	0	0x06000001	Interop+ZLib	DeflateInit2_	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9e0	0x94000000	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	1	0x06000002	Interop+ZLib	Deflate	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9e4	0x97ffffff	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	2	0x06000003	Interop+ZLib	DeflateEnd	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9e8	0x97fffffe	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	3	0x06000004	Interop+ZLib	InflateInit2_	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9ec	0x97fffffd	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	4	0x06000005	Interop+ZLib	Inflate	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9f0	0x97fffffc	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	5	0x06000006	Interop+ZLib	InflateEnd	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10043f9f4	0x97fffffb	0x10043f9e0		absent	0x10043f9e0
System.IO.Compression	6	0x06000007	System.IO.Compression.Deflater	get_SyncLock	0x2050	NoInlining	Private, HideBySig, SpecialName	0x10043f9f8	0x948442cc	0x102550528	0x102550528	mapped	0x102550528
System.IO.Compression	7	0x06000008	System.IO.Compression.Deflater	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10043f9fc	0x948442cc	0x10255052c	0x10255052c	mapped	0x10255052c
System.IO.Compression	8	0x06000009	System.IO.Compression.Deflater	Finalize	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x10043fa00	0x9484439d	0x102550874	0x102550874	mapped	0x102550874
System.IO.Compression	9	0x0600000a	System.IO.Compression.Deflater	Dispose	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10043fa04	0x948443b6	0x1025508dc	0x1025508dc	mapped	0x1025508dc
System.IO.Compression	10	0x0600000b	System.IO.Compression.Deflater	Dispose	0x2050	NoInlining	Private, HideBySig	0x10043fa08	0x948443c6	0x102550920	0x102550920	mapped	0x102550920
System.IO.Compression	11	0x0600000c	System.IO.Compression.Deflater	NeedsInput	0x2050	NoInlining	Public, HideBySig	0x10043fa0c	0x948443e6	0x1025509a4	0x1025509a4	mapped	0x1025509a4
System.IO.Compression	12	0x0600000d	System.IO.Compression.Deflater	SetInput	0x2050	NoInlining	Assembly, HideBySig	0x10043fa10	0x948443fa	0x1025509f8	0x1025509f8	mapped	0x1025509f8
System.IO.Compression	13	0x0600000e	System.IO.Compression.Deflater	SetInput	0x2050	NoInlining	Assembly, HideBySig	0x10043fa14	0x94844455	0x102550b68	0x102550b68	mapped	0x102550b68
System.IO.Compression	14	0x0600000f	System.IO.Compression.Deflater	GetDeflateOutput	0x2050	NoInlining	Assembly, HideBySig	0x10043fa18	0x94844492	0x102550c60	0x102550c60	mapped	0x102550c60
System.IO.Compression	15	0x06000010	System.IO.Compression.Deflater	ReadDeflateOutput	0x2050	NoInlining	Private, HideBySig	0x10043fa1c	0x948444d5	0x102550d70	0x102550d70	mapped	0x102550d70
System.IO.Compression	16	0x06000011	System.IO.Compression.Deflater	Finish	0x2050	NoInlining	Assembly, HideBySig	0x10043fa20	0x9484452d	0x102550ed4	0x102550ed4	mapped	0x102550ed4
System.IO.Compression	17	0x06000012	System.IO.Compression.Deflater	Flush	0x2050	NoInlining	Assembly, HideBySig	0x10043fa24	0x94844543	0x102550f30	0x102550f30	mapped	0x102550f30
System.IO.Compression	18	0x06000013	System.IO.Compression.Deflater	DeallocateInputBufferHandle	0x2050	NoInlining	Private, HideBySig	0x10043fa28	0x94844559	0x102550f8c	0x102550f8c	mapped	0x102550f8c
System.IO.Compression	19	0x06000014	System.IO.Compression.Deflater	Deflate	0x2050	NoInlining	Private, HideBySig	0x10043fa2c	0x948445a0	0x1025510ac	0x1025510ac	mapped	0x1025510ac
System.IO.Compression	20	0x06000015	System.IO.Compression.DeflateStream	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10043fa30	0x94844635	0x102551304	0x102551304	mapped	0x102551304
System.IO.Compression	21	0x06000016	System.IO.Compression.DeflateStream	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10043fa34	0x94844654	0x102551384	0x102551384	mapped	0x102551384
