assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Linq.Expressions	0	0x06000001	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10044b9d0	0x9484627a	0x1025643b8	0x1025643b8	mapped	0x1025643b8
System.Linq.Expressions	1	0x06000002	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10044b9d4	0x948462a6	0x10256446c	0x10256446c	mapped	0x10256446c
System.Linq.Expressions	2	0x06000003	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10044b9d8	0x948462db	0x102564544	0x102564544	mapped	0x102564544
System.Linq.Expressions	3	0x06000004	System.Runtime.CompilerServices.ReadOnlyCollectionBuilder`1	GetEnumerator	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x10044b9dc	0x94846317	0x102564638	0x102564638	mapped	0x102564638
System.Linq.Expressions	4	0x06000005	System.Runtime.CompilerServices.ReadOnlyCollectionBuilder`1	System.Collections.IEnumerable.GetEnumerator	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x10044b9e0	0x9484632a	0x102564688	0x102564688	mapped	0x102564688
System.Linq.Expressions	5	0x06000006	System.Runtime.CompilerServices.ReadOnlyCollectionBuilder`1	ToReadOnlyCollection	0x2050	NoInlining	Public, HideBySig	0x10044b9e4	0x9484633d	0x1025646d8	0x1025646d8	mapped	0x1025646d8
System.Linq.Expressions	6	0x06000007	System.Runtime.CompilerServices.TrueReadOnlyCollection`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10044b9e8	0x94846350	0x102564728	0x102564728	mapped	0x102564728
System.Linq.Expressions	7	0x06000008	System.Linq.Expressions.ArrayBuilderExtensions	ToReadOnly	0x2050	NoInlining	Public, Static, HideBySig	0x10044b9ec	0x9484637a	0x1025647d4	0x1025647d4	mapped	0x1025647d4
System.Linq.Expressions	8	0x06000009	System.Linq.Expressions.ConstantCheck	AnalyzeTypeIs	0x2050	NoInlining	Assembly, Static, HideBySig	0x10044b9f0	0x948463ab	0x10256489c	0x10256489c	mapped	0x10256489c
System.Linq.Expressions	9	0x0600000a	System.Linq.Expressions.ConstantCheck	AnalyzeTypeIs	0x2050	NoInlining	Private, Static, HideBySig	0x10044b9f4	0x948463ba	0x1025648dc	0x1025648dc	mapped	0x1025648dc
System.Linq.Expressions	10	0x0600000b	System.Linq.Expressions.CachedReflectionInfo	get_String_op_Equality_String_String	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10044b9f8	0x94846412	0x102564a40	0x102564a40	mapped	0x102564a40
System.Linq.Expressions	11	0x0600000c	System.Linq.Expressions.CachedReflectionInfo	get_Math_Pow_Double_Double	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10044b9fc	0x94846448	0x102564b1c	0x102564b1c	mapped	0x102564b1c
System.Linq.Expressions	12	0x0600000d	System.Linq.Expressions.BinaryExpression	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x10044ba00	0x9484647f	0x102564bfc	0x102564bfc	mapped	0x102564bfc
System.Linq.Expressions	13	0x0600000e	System.Linq.Expressions.BinaryExpression	get_CanReduce	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x10044ba04	0x94846493	0x102564c50	0x102564c50	mapped	0x102564c50
System.Linq.Expressions	14	0x0600000f	System.Linq.Expressions.BinaryExpression	IsOpAssignment	0x2050	NoInlining	Private, Static, HideBySig	0x10044ba08	0x948464ab	0x102564cb4	0x102564cb4	mapped	0x102564cb4
System.Linq.Expressions	15	0x06000010	System.Linq.Expressions.BinaryExpression	get_Right	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba0c	0x948464ae	0x102564cc4	0x102564cc4	mapped	0x102564cc4
System.Linq.Expressions	16	0x06000011	System.Linq.Expressions.BinaryExpression	get_Left	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba10	0x948464b6	0x102564ce8	0x102564ce8	mapped	0x102564ce8
System.Linq.Expressions	17	0x06000012	System.Linq.Expressions.BinaryExpression	get_Method	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba14	0x948464be	0x102564d0c	0x102564d0c	mapped	0x102564d0c
System.Linq.Expressions	18	0x06000013	System.Linq.Expressions.BinaryExpression	GetMethod	0x2050	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride	0x10044ba18	0x948464d3	0x102564d64	0x102564d64	mapped	0x102564d64
System.Linq.Expressions	19	0x06000014	System.Linq.Expressions.BinaryExpression	Update	0x2050	NoInlining	Public, HideBySig	0x10044ba1c	0x948464d4	0x102564d6c	0x102564d6c	mapped	0x102564d6c
System.Linq.Expressions	20	0x06000015	System.Linq.Expressions.BinaryExpression	Reduce	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10044ba20	0x94846522	0x102564ea8	0x102564ea8	mapped	0x102564ea8
System.Linq.Expressions	21	0x06000016	System.Linq.Expressions.BinaryExpression	GetBinaryOpFromAssignmentOp	0x2050	NoInlining	Private, Static, HideBySig	0x10044ba24	0x9484656c	0x102564fd4	0x102564fd4	mapped	0x102564fd4
System.Linq.Expressions	22	0x06000017	System.Linq.Expressions.BinaryExpression	ReduceVariable	0x2050	NoInlining	Private, HideBySig	0x10044ba28	0x94846582	0x102565030	0x102565030	mapped	0x102565030
System.Linq.Expressions	23	0x06000018	System.Linq.Expressions.BinaryExpression	ReduceMember	0x2050	NoInlining	Private, HideBySig	0x10044ba2c	0x948465b2	0x1025650f4	0x1025650f4	mapped	0x1025650f4
System.Linq.Expressions	24	0x06000019	System.Linq.Expressions.BinaryExpression	ReduceIndex	0x2050	NoInlining	Private, HideBySig	0x10044ba30	0x9484668d	0x102565464	0x102565464	mapped	0x102565464
System.Linq.Expressions	25	0x0600001a	System.Linq.Expressions.BinaryExpression	get_Conversion	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba34	0x9484678b	0x102565860	0x102565860	mapped	0x102565860
System.Linq.Expressions	26	0x0600001b	System.Linq.Expressions.BinaryExpression	GetConversion	0x2050	NoInlining	Assembly, Virtual, HideBySig, VtableLayoutMask, CheckAccessOnOverride	0x10044ba38	0x948467a0	0x1025658b8	0x1025658b8	mapped	0x1025658b8
System.Linq.Expressions	27	0x0600001c	System.Linq.Expressions.BinaryExpression	get_IsLifted	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba3c	0x948467a1	0x1025658c0	0x1025658c0	mapped	0x1025658c0
System.Linq.Expressions	28	0x0600001d	System.Linq.Expressions.BinaryExpression	get_IsLiftedToNull	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10044ba40	0x948467f1	0x102565a04	0x102565a04	mapped	0x102565a04
