assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Linq	0	0x06000001	System.Collections.Generic.LargeArrayBuilder`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10046b878	0x9485f7ac	0x1025e9728	0x1025e9728	mapped	0x1025e9728
System.Linq	1	0x06000002	System.Collections.Generic.LargeArrayBuilder`1	AddRange	0x2050	NoInlining	Public, HideBySig	0x10046b87c	0x9485f7b0	0x1025e973c	0x1025e973c	mapped	0x1025e973c
System.Linq	2	0x06000003	System.Collections.Generic.LargeArrayBuilder`1	ToArray	0x2050	NoInlining	Public, HideBySig	0x10046b880	0x9485f820	0x1025e9900	0x1025e9900	mapped	0x1025e9900
System.Linq	3	0x06000004	System.Collections.Generic.ArrayBuilder`1	get_Capacity	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10046b884	0x9485f84c	0x1025e99b4	0x1025e99b4	mapped	0x1025e99b4
System.Linq	4	0x06000005	System.Collections.Generic.ArrayBuilder`1	Add	0x2050	NoInlining	Public, HideBySig	0x10046b888	0x9485f85b	0x1025e99f4	0x1025e99f4	mapped	0x1025e99f4
System.Linq	5	0x06000006	System.Collections.Generic.ArrayBuilder`1	ToArray	0x2050	NoInlining	Public, HideBySig	0x10046b88c	0x9485f896	0x1025e9ae4	0x1025e9ae4	mapped	0x1025e9ae4
System.Linq	6	0x06000007	System.Collections.Generic.ArrayBuilder`1	UncheckedAdd	0x2050	NoInlining	Public, HideBySig	0x10046b890	0x9485f8d9	0x1025e9bf4	0x1025e9bf4	mapped	0x1025e9bf4
System.Linq	7	0x06000008	System.Collections.Generic.ArrayBuilder`1	EnsureCapacity	0x2050	NoInlining	Private, HideBySig	0x10046b894	0x9485f8f9	0x1025e9c78	0x1025e9c78	mapped	0x1025e9c78
System.Linq	8	0x06000009	System.Collections.Generic.EnumerableHelpers	ToArray	0x2050	NoInlining	Assembly, Static, HideBySig	0x10046b898	0x9485f943	0x1025e9da4	0x1025e9da4	mapped	0x1025e9da4
System.Linq	9	0x0600000a	System.Collections.Generic.EnumerableHelpers	ToArray	0x2050	NoInlining	Assembly, Static, HideBySig	0x10046b89c	0x9485fa36	0x1025ea174	0x1025ea174	mapped	0x1025ea174
System.Linq	10	0x0600000b	System.Linq.Enumerable	Empty	0x2050	NoInlining	Public, Static, HideBySig	0x10046b8a0	0x9485fa8f	0x1025ea2dc	0x1025ea2dc	mapped	0x1025ea2dc
System.Linq	11	0x0600000c	System.Linq.Enumerable	GetEmptyIfEmpty	0x2050	NoInlining	Private, Static, HideBySig	0x10046b8a4	0x9485fab6	0x1025ea37c	0x1025ea37c	mapped	0x1025ea37c
System.Linq	12	0x0600000d	System.Linq.Enumerable	SkipIterator	0x2050	NoInlining	Private, Static, HideBySig	0x10046b8a8	0x9485faea	0x1025ea450	0x1025ea450	mapped	0x1025ea450
System.Linq	13	0x0600000e	System.Linq.Enumerable	TakeIterator	0x2050	NoInlining	Private, Static, HideBySig	0x10046b8ac	0x9485fb22	0x1025ea534	0x1025ea534	mapped	0x1025ea534
System.Linq	14	0x0600000f	System.Linq.Enumerable	Aggregate	0x2050	NoInlining	Public, Static, HideBySig	0x10046b8b0	0x9485fb5a	0x1025ea618	0x1025ea618	mapped	0x1025ea618
