assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.Http	0	0x06000001	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Private, Static, HideBySig	0x1004b19e0	0x94854b06	0x1026045f8	0x1026045f8	mapped	0x1026045f8
System.Net.Http	1	0x06000002	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b19e4	0x94854b59	0x102604748	0x102604748	mapped	0x102604748
System.Net.Http	2	0x06000003	Interop+CoreFoundation	CFRelease	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b19e8	0x97fffffe	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	3	0x06000004	Interop+CoreFoundation	_CFArrayGetCount	0x2050	NoInlining	Private, Static, HideBySig	0x1004b19ec	0x94854b68	0x10260478c	0x10260478c	mapped	0x10260478c
System.Net.Http	4	0x06000005	Interop+CoreFoundation	CFArrayGetValueAtIndex	0x2050	NoInlining	Private, Static, HideBySig	0x1004b19f0	0x94854ba1	0x102604874	0x102604874	mapped	0x102604874
System.Net.Http	5	0x06000006	Interop+CoreFoundation	CFArrayGetCount	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b19f4	0x94854bdc	0x102604964	0x102604964	mapped	0x102604964
System.Net.Http	6	0x06000007	Interop+CoreFoundation	CFArrayGetValueAtIndex	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b19f8	0x94854be9	0x10260499c	0x10260499c	mapped	0x10260499c
System.Net.Http	7	0x06000008	Interop+CoreFoundation	CFDataGetBytePtr	0x2050	NoInlining	Private, Static, HideBySig	0x1004b19fc	0x94854bf8	0x1026049dc	0x1026049dc	mapped	0x1026049dc
System.Net.Http	8	0x06000009	Interop+CoreFoundation	CFDataGetLength	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a00	0x94854c31	0x102604ac4	0x102604ac4	mapped	0x102604ac4
System.Net.Http	9	0x0600000a	Interop+CoreFoundation	CFDictionaryGetValue	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a04	0x94854c6a	0x102604bac	0x102604bac	mapped	0x102604bac
System.Net.Http	10	0x0600000b	Interop+CoreFoundation	CFNetworkCopySystemProxySettings	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a08	0x94854ca5	0x102604c9c	0x102604c9c	mapped	0x102604c9c
System.Net.Http	11	0x0600000c	Interop+CoreFoundation	CFNetworkCopyProxiesForURL	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a0c	0x94854ce4	0x102604d9c	0x102604d9c	mapped	0x102604d9c
System.Net.Http	12	0x0600000d	Interop+CoreFoundation	CFNetworkExecuteProxyAutoConfigurationURL	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a10	0x97fef370	0x10046e7d0	0x10046e7d0	mapped	0x10046e7d0
System.Net.Http	13	0x0600000e	Interop+CoreFoundation	CFNetworkExecuteProxyAutoConfigurationScript	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a14	0x97fef3d3	0x10046e960	0x10046e960	mapped	0x10046e960
System.Net.Http	14	0x0600000f	Interop+CoreFoundation	CFURLCreateWithString	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a18	0x94854d3f	0x102604f14	0x102604f14	mapped	0x102604f14
System.Net.Http	15	0x06000010	Interop+CoreFoundation	CFURLCreateWithString	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a1c	0x94854d94	0x10260506c	0x10260506c	mapped	0x10260506c
System.Net.Http	16	0x06000011	Interop+CoreFoundation	CFStringGetCStringPtr	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a20	0x94854dd4	0x102605170	0x102605170	mapped	0x102605170
System.Net.Http	17	0x06000012	Interop+CoreFoundation	CFStringCreateExternalRepresentation	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a24	0x94854e0f	0x102605260	0x102605260	mapped	0x102605260
System.Net.Http	18	0x06000013	Interop+CoreFoundation	CFStringToString	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004b1a28	0x97fef432	0x10046eaf0	0x10046eaf0	mapped	0x10046eaf0
System.Net.Http	19	0x06000014	Interop+CoreFoundation	CFNumberGetValue	0x0	136	Private, Static, HideBySig, PinvokeImpl	0x1004b1a2c	0x97ffffed	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	20	0x06000015	Interop+CoreFoundation	<CFStringCreateWithCString>g____PInvoke|2_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a30	0x97ffffec	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	21	0x06000016	Interop+CoreFoundation	<_CFArrayGetCount>g____PInvoke|12_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a34	0x97ffffeb	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	22	0x06000017	Interop+CoreFoundation	<CFArrayGetValueAtIndex>g____PInvoke|13_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a38	0x97ffffea	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	23	0x06000018	Interop+CoreFoundation	<CFDataGetBytePtr>g____PInvoke|16_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a3c	0x97ffffe9	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	24	0x06000019	Interop+CoreFoundation	<CFDataGetLength>g____PInvoke|17_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a40	0x97ffffe8	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	25	0x0600001a	Interop+CoreFoundation	<CFDictionaryGetValue>g____PInvoke|21_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a44	0x97ffffe7	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	26	0x0600001b	Interop+CoreFoundation	<CFNetworkCopySystemProxySettings>g____PInvoke|22_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a48	0x97ffffe6	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	27	0x0600001c	Interop+CoreFoundation	<CFNetworkCopyProxiesForURL>g____PInvoke|23_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a4c	0x97ffffe5	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	28	0x0600001d	Interop+CoreFoundation	<CFNetworkExecuteProxyAutoConfigurationURL>g____PInvoke|25_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a50	0x97ffffe4	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	29	0x0600001e	Interop+CoreFoundation	<CFNetworkExecuteProxyAutoConfigurationScript>g____PInvoke|26_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a54	0x97ffffe3	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	30	0x0600001f	Interop+CoreFoundation	<CFURLCreateWithString>g____PInvoke|29_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a58	0x97ffffe2	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	31	0x06000020	Interop+CoreFoundation	<CFStringGetCStringPtr>g____PInvoke|31_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a5c	0x97ffffe1	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	32	0x06000021	Interop+CoreFoundation	<CFStringCreateExternalRepresentation>g____PInvoke|32_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004b1a60	0x97ffffe0	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	33	0x06000022	Interop+CoreFoundation+CFProxyAutoConfigurationResultCallback	.ctor	0x0	11	Public, HideBySig, SpecialName, RTSpecialName	0x1004b1a64	0x97ffffdf	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	34	0x06000023	Interop+CoreFoundation+CFProxyAutoConfigurationResultCallback	Invoke	0x0	11	Public, Virtual, HideBySig, VtableLayoutMask	0x1004b1a68	0x97ffffde	0x1004b19e0		absent	0x1004b19e0
System.Net.Http	35	0x06000024	Interop+CoreFoundation+CFProxy	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1004b1a6c	0x94854e55	0x1026053c0	0x1026053c0	mapped	0x1026053c0
System.Net.Http	36	0x06000025	Interop+CoreFoundation+CFProxy	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004b1a70	0x94854ecd	0x1026055a4	0x1026055a4	mapped	0x1026055a4
System.Net.Http	37	0x06000026	Interop+CoreFoundation+CFProxy	LoadSymbol	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a74	0x94854eeb	0x102605620	0x102605620	mapped	0x102605620
System.Net.Http	38	0x06000027	Interop+CoreFoundation+CFProxy	LoadCFStringSymbol	0x2050	NoInlining	Private, Static, HideBySig	0x1004b1a78	0x94854f07	0x102605694	0x102605694	mapped	0x102605694
System.Net.Http	39	0x06000028	Interop+CoreFoundation+CFProxy	GetString	0x2050	NoInlining	Private, HideBySig	0x1004b1a7c	0x94854f4c	0x1026057ac	0x1026057ac	mapped	0x1026057ac
System.Net.Http	40	0x06000029	Interop+CoreFoundation+CFProxy	get_ProxyType	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004b1a80	0x94854f97	0x1026058dc	0x1026058dc	mapped	0x1026058dc
