assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.NameResolution	0	0x06000001	Interop+Sys	Close	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c2cc8	0x9488a50c	0x1026ec0f8	0x1026ec0f8	mapped	0x1026ec0f8
System.Net.NameResolution	1	0x06000002	Interop+Sys	GetHostName	0x2050	NoInlining	Private, Static, HideBySig	0x1004c2ccc	0x9488a51f	0x1026ec148	0x1026ec148	mapped	0x1026ec148
System.Net.NameResolution	2	0x06000003	Interop+Sys	GetHostName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c2cd0	0x9488a534	0x1026ec1a0	0x1026ec1a0	mapped	0x1026ec1a0
System.Net.NameResolution	3	0x06000004	Interop+Sys	GetNameInfo	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2cd4	0x97fffffd	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	4	0x06000005	Interop+Sys	GetHostEntryForName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c2cd8	0x9488a5a9	0x1026ec37c	0x1026ec37c	mapped	0x1026ec37c
System.Net.NameResolution	5	0x06000006	Interop+Sys	FreeHostEntry	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2cdc	0x97fffffb	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	6	0x06000007	Interop+Sys	Socket	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2ce0	0x97fffffa	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	7	0x06000008	Interop+Sys	<Close>g____PInvoke|6_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2ce4	0x97fffff9	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	8	0x06000009	Interop+Sys	<GetHostName>g____PInvoke|7_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2ce8	0x97fffff8	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	9	0x0600000a	Interop+Sys	<GetHostEntryForName>g____PInvoke|15_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c2cec	0x97fffff7	0x1004c2cc8		absent	0x1004c2cc8
System.Net.NameResolution	10	0x0600000b	Interop+Sys+IPAddress	get_IsIPv6	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004c2cf0	0x9488a5db	0x1026ec45c	0x1026ec45c	mapped	0x1026ec45c
System.Net.NameResolution	11	0x0600000c	Interop+Sys+IPAddress	GetHashCode	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004c2cf4	0x9488a5e5	0x1026ec488	0x1026ec488	mapped	0x1026ec488
System.Net.NameResolution	12	0x0600000d	Interop+Sys+IPAddress	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004c2cf8	0x9488a604	0x1026ec508	0x1026ec508	mapped	0x1026ec508
System.Net.NameResolution	13	0x0600000e	Interop+Sys+IPAddress	Equals	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1004c2cfc	0x9488a63d	0x1026ec5f0	0x1026ec5f0	mapped	0x1026ec5f0
System.Net.NameResolution	14	0x0600000f	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c2d00	0x9488a66b	0x1026ec6ac	0x1026ec6ac	mapped	0x1026ec6ac
System.Net.NameResolution	15	0x06000010	System.Net.Dns	GetHostName	0x2050	NoInlining	Public, Static, HideBySig	0x1004c2d04	0x97fff7e7	0x1004c0ca0	0x1004c0ca0	mapped	0x1004c0ca0
