assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.NetworkInformation	0	0x06000001	Interop+Sys	EnumerateInterfaceAddresses	0x0	136	Public, Static, HideBySig, PinvokeImpl	0x1004c58c8	0x94000000	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	1	0x06000002	Interop+Sys	EnumerateGatewayAddressesForInterface	0x0	136	Public, Static, HideBySig, PinvokeImpl	0x1004c58cc	0x97ffffff	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	2	0x06000003	Interop+Sys	GetNativeIPInterfaceStatistics	0x2050	NoInlining	Public, Static, HideBySig	0x1004c58d0	0x97fff83c	0x1004c39c0	0x1004c39c0	mapped	0x1004c39c0
System.Net.NetworkInformation	3	0x06000004	Interop+Sys	<GetNativeIPInterfaceStatistics>g____PInvoke|29_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58d4	0x97fffffd	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	4	0x06000005	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Private, Static, HideBySig	0x1004c58d8	0x9488b428	0x1026f2978	0x1026f2978	mapped	0x1026f2978
System.Net.NetworkInformation	5	0x06000006	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c58dc	0x9488b47b	0x1026f2ac8	0x1026f2ac8	mapped	0x1026f2ac8
System.Net.NetworkInformation	6	0x06000007	Interop+CoreFoundation	CFArrayCreate	0x2050	NoInlining	Private, Static, HideBySig	0x1004c58e0	0x9488b48b	0x1026f2b0c	0x1026f2b0c	mapped	0x1026f2b0c
System.Net.NetworkInformation	7	0x06000008	Interop+CoreFoundation	CFArrayCreate	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004c58e4	0x9488b4d6	0x1026f2c3c	0x1026f2c3c	mapped	0x1026f2c3c
System.Net.NetworkInformation	8	0x06000009	Interop+CoreFoundation	CFRelease	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58e8	0x97fffff8	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	9	0x0600000a	Interop+CoreFoundation	<CFStringCreateWithCString>g____PInvoke|2_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58ec	0x97fffff7	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	10	0x0600000b	Interop+CoreFoundation	<CFArrayCreate>g____PInvoke|7_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58f0	0x97fffff6	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	11	0x0600000c	Interop+RunLoop	CFRunLoopRun	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58f4	0x97fffff5	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	12	0x0600000d	Interop+RunLoop	CFRunLoopStop	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58f8	0x97fffff4	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	13	0x0600000e	Interop+RunLoop	CFRunLoopGetCurrent	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c58fc	0x97fffff3	0x1004c58c8		absent	0x1004c58c8
System.Net.NetworkInformation	14	0x0600000f	Interop+RunLoop	CFRunLoopAddSource	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004c5900	0x97fffff2	0x1004c58c8		absent	0x1004c58c8
