assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.Primitives	0	0x06000001	Interop+ErrorInfo	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1004cc478	0x9488bc04	0x1026fb488	0x1026fb488	mapped	0x1026fb488
System.Net.Primitives	1	0x06000002	Interop+ErrorInfo	get_Error	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1004cc47c	0x9488bc0e	0x1026fb4b4	0x1026fb4b4	mapped	0x1026fb4b4
System.Net.Primitives	2	0x06000003	Interop+ErrorInfo	get_RawErrno	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1004cc480	0x9488bc16	0x1026fb4d8	0x1026fb4d8	mapped	0x1026fb4d8
System.Net.Primitives	3	0x06000004	Interop+ErrorInfo	GetErrorMessage	0x2050	NoInlining	Assembly, HideBySig	0x1004cc484	0x9488bc2d	0x1026fb538	0x1026fb538	mapped	0x1026fb538
System.Net.Primitives	4	0x06000005	Interop+ErrorInfo	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004cc488	0x9488bc43	0x1026fb594	0x1026fb594	mapped	0x1026fb594
System.Net.Primitives	5	0x06000006	Interop+Sys	StrError	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc48c	0x9488bce7	0x1026fb828	0x1026fb828	mapped	0x1026fb828
System.Net.Primitives	6	0x06000007	Interop+Sys	ConvertErrorPalToPlatform	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc490	0x97fffffa	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	7	0x06000008	Interop+Sys	StrErrorR	0x0	136	Private, Static, HideBySig, PinvokeImpl	0x1004cc494	0x97fffff9	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	8	0x06000009	Interop+Sys	GetSocketAddressSizes	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc498	0x97fffff8	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	9	0x0600000a	Interop+Sys	GetAddressFamily	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc49c	0x97fffff7	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	10	0x0600000b	Interop+Sys	SetAddressFamily	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4a0	0x97fffff6	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	11	0x0600000c	Interop+Sys	GetPort	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4a4	0x97fffff5	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	12	0x0600000d	Interop+Sys	SetPort	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4a8	0x97fffff4	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	13	0x0600000e	Interop+Sys	GetIPv4Address	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4ac	0x97fffff3	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	14	0x0600000f	Interop+Sys	SetIPv4Address	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4b0	0x97fffff2	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	15	0x06000010	Interop+Sys	GetIPv6Address	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4b4	0x97fffff1	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	16	0x06000011	Interop+Sys	SetIPv6Address	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4b8	0x97fffff0	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	17	0x06000012	Interop+Sys	GetDomainName	0x0	136	Private, Static, HideBySig, PinvokeImpl	0x1004cc4bc	0x97ffffef	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	18	0x06000013	Interop+Sys	GetDomainName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4c0	0x9488bcf0	0x1026fb880	0x1026fb880	mapped	0x1026fb880
System.Net.Primitives	19	0x06000014	Interop+Sys	InterfaceNameToIndex	0x2050	NoInlining	Public, Static, HideBySig	0x1004cc4c4	0x9488bd5f	0x1026fba40	0x1026fba40	mapped	0x1026fba40
System.Net.Primitives	20	0x06000015	Interop+Sys	<InterfaceNameToIndex>g____PInvoke|33_0	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004cc4c8	0x97ffffec	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	21	0x06000016	InteropErrorExtensions	Info	0x2050	NoInlining	Public, Static, HideBySig	0x1004cc4cc	0x9488bd96	0x1026fbb24	0x1026fbb24	mapped	0x1026fbb24
System.Net.Primitives	22	0x06000017	System.IPv4AddressHelper	ParseHostNumber	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4d0	0x9488bd97	0x1026fbb2c	0x1026fbb2c	mapped	0x1026fbb2c
System.Net.Primitives	23	0x06000018	System.IPv4AddressHelper	IsValid	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4d4	0x9488be61	0x1026fbe58	0x1026fbe58	mapped	0x1026fbe58
System.Net.Primitives	24	0x06000019	System.IPv4AddressHelper	IsValidCanonical	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4d8	0x9488be82	0x1026fbee0	0x1026fbee0	mapped	0x1026fbee0
System.Net.Primitives	25	0x0600001a	System.IPv4AddressHelper	ParseNonCanonical	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4dc	0x9488bf1c	0x1026fc14c	0x1026fc14c	mapped	0x1026fc14c
System.Net.Primitives	26	0x0600001b	System.IPv6AddressHelper	FindCompressionRange	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4e0	0x9488c06a	0x1026fc688	0x1026fc688	mapped	0x1026fc688
System.Net.Primitives	27	0x0600001c	System.IPv6AddressHelper	ShouldHaveIpv4Embedded	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4e4	0x9488c0aa	0x1026fc78c	0x1026fc78c	mapped	0x1026fc78c
System.Net.Primitives	28	0x0600001d	System.IPv6AddressHelper	IsValidStrict	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4e8	0x9488c125	0x1026fc97c	0x1026fc97c	mapped	0x1026fc97c
System.Net.Primitives	29	0x0600001e	System.IPv6AddressHelper	Parse	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4ec	0x9488c281	0x1026fcef0	0x1026fcef0	mapped	0x1026fcef0
System.Net.Primitives	30	0x0600001f	System.StringExtensions	SubstringTrim	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4f0	0x9488c45a	0x1026fd658	0x1026fd658	mapped	0x1026fd658
System.Net.Primitives	31	0x06000020	System.HexConverter	ToCharLower	0x2050	264	Public, Static, HideBySig	0x1004cc4f4	0x9488c4c5	0x1026fd808	0x1026fd808	mapped	0x1026fd808
System.Net.Primitives	32	0x06000021	System.NotImplemented	get_ByDesign	0x2050	NoInlining	Assembly, Static, HideBySig, SpecialName	0x1004cc4f8	0x9488c4cb	0x1026fd824	0x1026fd824	mapped	0x1026fd824
System.Net.Primitives	33	0x06000022	System.NotImplemented	ByDesignWithMessage	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc4fc	0x9488c4e5	0x1026fd890	0x1026fd890	mapped	0x1026fd890
System.Net.Primitives	34	0x06000023	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc500	0x9488c503	0x1026fd90c	0x1026fd90c	mapped	0x1026fd90c
System.Net.Primitives	35	0x06000024	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004cc504	0x9488c52f	0x1026fd9c0	0x1026fd9c0	mapped	0x1026fd9c0
System.Net.Primitives	36	0x06000025	System.Text.StringBuilderCache	Acquire	0x2050	NoInlining	Public, Static, HideBySig	0x1004cc508	0x9488c564	0x1026fda98	0x1026fda98	mapped	0x1026fda98
System.Net.Primitives	37	0x06000026	System.Text.StringBuilderCache	Release	0x2050	NoInlining	Public, Static, HideBySig	0x1004cc50c	0x9488c5a9	0x1026fdbb0	0x1026fdbb0	mapped	0x1026fdbb0
System.Net.Primitives	38	0x06000027	System.Text.StringBuilderCache	GetStringAndRelease	0x2050	NoInlining	Public, Static, HideBySig	0x1004cc510	0x9488c5da	0x1026fdc78	0x1026fdc78	mapped	0x1026fdc78
System.Net.Primitives	39	0x06000028	System.Security.Authentication.ExtendedProtection.ChannelBinding	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x1004cc514	0x9488c612	0x1026fdd5c	0x1026fdd5c	mapped	0x1026fdd5c
System.Net.Primitives	40	0x06000029	System.Security.Authentication.ExtendedProtection.ChannelBinding	get_Size	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x1004cc518	0x97ffffd8	0x1004cc478		absent	0x1004cc478
System.Net.Primitives	41	0x0600002a	System.Net.Cookie	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004cc51c	0x9488c61f	0x1026fdd98	0x1026fdd98	mapped	0x1026fdd98
System.Net.Primitives	42	0x0600002b	System.Net.Cookie	get_Comment	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc520	0x9488c679	0x1026fdf04	0x1026fdf04	mapped	0x1026fdf04
System.Net.Primitives	43	0x0600002c	System.Net.Cookie	set_Comment	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc524	0x9488c681	0x1026fdf28	0x1026fdf28	mapped	0x1026fdf28
System.Net.Primitives	44	0x0600002d	System.Net.Cookie	set_CommentUri	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc528	0x9488c6a4	0x1026fdfb8	0x1026fdfb8	mapped	0x1026fdfb8
System.Net.Primitives	45	0x0600002e	System.Net.Cookie	set_HttpOnly	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc52c	0x9488c6b3	0x1026fdff8	0x1026fdff8	mapped	0x1026fdff8
System.Net.Primitives	46	0x0600002f	System.Net.Cookie	set_Discard	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc530	0x9488c6bb	0x1026fe01c	0x1026fe01c	mapped	0x1026fe01c
System.Net.Primitives	47	0x06000030	System.Net.Cookie	get_Domain	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1004cc534	0x9488c6c3	0x1026fe040	0x1026fe040	mapped	0x1026fe040
