assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.Requests	0	0x06000001	System.NotImplemented	ByDesignWithMessage	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004d5820	0x94890396	0x102716678	0x102716678	mapped	0x102716678
System.Net.Requests	1	0x06000002	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004d5824	0x948903b4	0x1027166f4	0x1027166f4	mapped	0x1027166f4
System.Net.Requests	2	0x06000003	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004d5828	0x948903e0	0x1027167a8	0x1027167a8	mapped	0x1027167a8
System.Net.Requests	3	0x06000004	System.Net.FileWebRequest	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1004d582c	0x94890415	0x102716880	0x102716880	mapped	0x102716880
System.Net.Requests	4	0x06000005	System.Net.FileWebRequest	System.Runtime.Serialization.ISerializable.GetObjectData	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1004d5830	0x94890468	0x1027169d0	0x1027169d0	mapped	0x1027169d0
System.Net.Requests	5	0x06000006	System.Net.FileWebRequest	GetObjectData	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x1004d5834	0x94890485	0x102716a48	0x102716a48	mapped	0x102716a48
System.Net.Requests	6	0x06000007	System.Net.FileWebRequest	get_Aborted	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1004d5838	0x9489048f	0x102716a74	0x102716a74	mapped	0x102716a74
System.Net.Requests	7	0x06000008	System.Net.FileWebRequest	set_ContentLength	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d583c	0x94890499	0x102716aa0	0x102716aa0	mapped	0x102716aa0
System.Net.Requests	8	0x06000009	System.Net.FileWebRequest	set_ContentType	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5840	0x948904bc	0x102716b30	0x102716b30	mapped	0x102716b30
System.Net.Requests	9	0x0600000a	System.Net.FileWebRequest	get_Credentials	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5844	0x948904e2	0x102716bcc	0x102716bcc	mapped	0x102716bcc
System.Net.Requests	10	0x0600000b	System.Net.FileWebRequest	get_Headers	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5848	0x948904ea	0x102716bf0	0x102716bf0	mapped	0x102716bf0
System.Net.Requests	11	0x0600000c	System.Net.FileWebRequest	get_Method	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d584c	0x948904f2	0x102716c14	0x102716c14	mapped	0x102716c14
System.Net.Requests	12	0x0600000d	System.Net.FileWebRequest	set_Method	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5850	0x948904fa	0x102716c38	0x102716c38	mapped	0x102716c38
System.Net.Requests	13	0x0600000e	System.Net.FileWebRequest	get_PreAuthenticate	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5854	0x94890522	0x102716cdc	0x102716cdc	mapped	0x102716cdc
System.Net.Requests	14	0x0600000f	System.Net.FileWebRequest	get_Timeout	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d5858	0x9489052a	0x102716d00	0x102716d00	mapped	0x102716d00
System.Net.Requests	15	0x06000010	System.Net.FileWebRequest	get_RequestUri	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x1004d585c	0x94890532	0x102716d24	0x102716d24	mapped	0x102716d24
System.Net.Requests	16	0x06000011	System.Net.FileWebRequest	CreateRequestAbortedException	0x2050	NoInlining	Private, Static, HideBySig	0x1004d5860	0x9489053a	0x102716d48	0x102716d48	mapped	0x102716d48
System.Net.Requests	17	0x06000012	System.Net.FileWebRequest	CheckAndMarkAsyncGetRequestStreamPending	0x2050	NoInlining	Private, HideBySig	0x1004d5864	0x94890564	0x102716df4	0x102716df4	mapped	0x102716df4
System.Net.Requests	18	0x06000013	System.Net.FileWebRequest	CreateWriteStream	0x2050	NoInlining	Private, HideBySig	0x1004d5868	0x948905d7	0x102716fc4	0x102716fc4	mapped	0x102716fc4
System.Net.Requests	19	0x06000014	System.Net.FileWebRequest	BeginGetRequestStream	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d586c	0x9489062e	0x102717124	0x102717124	mapped	0x102717124
System.Net.Requests	20	0x06000015	System.Net.FileWebRequest	CheckAndMarkAsyncGetResponsePending	0x2050	NoInlining	Private, HideBySig	0x1004d5870	0x94890696	0x1027172c8	0x1027172c8	mapped	0x1027172c8
System.Net.Requests	21	0x06000016	System.Net.FileWebRequest	CreateResponse	0x2050	NoInlining	Private, HideBySig	0x1004d5874	0x948906d5	0x1027173c8	0x1027173c8	mapped	0x1027173c8
System.Net.Requests	22	0x06000017	System.Net.FileWebRequest	BeginGetResponse	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d5878	0x94890793	0x1027176c4	0x1027176c4	mapped	0x1027176c4
System.Net.Requests	23	0x06000018	System.Net.FileWebRequest	EndGetRequestStream	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d587c	0x948907fb	0x102717868	0x102717868	mapped	0x102717868
System.Net.Requests	24	0x06000019	System.Net.FileWebRequest	EndGetResponse	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d5880	0x9489081c	0x1027178f0	0x1027178f0	mapped	0x1027178f0
System.Net.Requests	25	0x0600001a	System.Net.FileWebRequest	GetRequestStream	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d5884	0x9489083d	0x102717978	0x102717978	mapped	0x102717978
System.Net.Requests	26	0x0600001b	System.Net.FileWebRequest	GetResponse	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d5888	0x948908a8	0x102717b28	0x102717b28	mapped	0x102717b28
System.Net.Requests	27	0x0600001c	System.Net.FileWebRequest	UnblockReader	0x2050	NoInlining	Assembly, HideBySig	0x1004d588c	0x94890915	0x102717ce0	0x102717ce0	mapped	0x102717ce0
System.Net.Requests	28	0x0600001d	System.Net.FileWebRequest+<>c	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1004d5890	0x94890953	0x102717ddc	0x102717ddc	mapped	0x102717ddc
System.Net.Requests	29	0x0600001e	System.Net.FileWebRequest+<>c	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004d5894	0x9489096e	0x102717e4c	0x102717e4c	mapped	0x102717e4c
System.Net.Requests	30	0x0600001f	System.Net.FileWebRequest+<>c	<BeginGetRequestStream>b__55_0	0x2050	NoInlining	Assembly, HideBySig	0x1004d5898	0x9489097b	0x102717e84	0x102717e84	mapped	0x102717e84
System.Net.Requests	31	0x06000020	System.Net.FileWebRequest+<>c	<BeginGetResponse>b__59_0	0x2050	NoInlining	Assembly, HideBySig	0x1004d589c	0x948909a3	0x102717f28	0x102717f28	mapped	0x102717f28
System.Net.Requests	32	0x06000021	System.Net.FileWebRequestCreator	Create	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1004d58a0	0x948909cb	0x102717fcc	0x102717fcc	mapped	0x102717fcc
System.Net.Requests	33	0x06000022	System.Net.FileWebRequestCreator	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004d58a4	0x948909e9	0x102718048	0x102718048	mapped	0x102718048
System.Net.Requests	34	0x06000023	System.Net.WebFileStream	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004d58a8	0x948909e9	0x10271804c	0x10271804c	mapped	0x10271804c
System.Net.Requests	35	0x06000024	System.Net.WebFileStream	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1004d58ac	0x94890a10	0x1027180ec	0x1027180ec	mapped	0x1027180ec
System.Net.Requests	36	0x06000025	System.Net.WebFileStream	Dispose	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x1004d58b0	0x94890a3d	0x1027181a4	0x1027181a4	mapped	0x1027181a4
System.Net.Requests	37	0x06000026	System.Net.WebFileStream	Read	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58b4	0x94890a6a	0x10271825c	0x10271825c	mapped	0x10271825c
System.Net.Requests	38	0x06000027	System.Net.WebFileStream	Write	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58b8	0x94890a8c	0x1027182e8	0x1027182e8	mapped	0x1027182e8
System.Net.Requests	39	0x06000028	System.Net.WebFileStream	BeginRead	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58bc	0x94890aac	0x10271836c	0x10271836c	mapped	0x10271836c
System.Net.Requests	40	0x06000029	System.Net.WebFileStream	EndRead	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58c0	0x94890ad4	0x102718410	0x102718410	mapped	0x102718410
System.Net.Requests	41	0x0600002a	System.Net.WebFileStream	BeginWrite	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58c4	0x94890aee	0x10271847c	0x10271847c	mapped	0x10271847c
System.Net.Requests	42	0x0600002b	System.Net.WebFileStream	EndWrite	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58c8	0x94890b16	0x102718520	0x102718520	mapped	0x102718520
System.Net.Requests	43	0x0600002c	System.Net.WebFileStream	ReadAsync	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58cc	0x94890b2e	0x102718584	0x102718584	mapped	0x102718584
System.Net.Requests	44	0x0600002d	System.Net.WebFileStream	WriteAsync	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58d0	0x94890b54	0x102718620	0x102718620	mapped	0x102718620
System.Net.Requests	45	0x0600002e	System.Net.WebFileStream	CopyToAsync	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1004d58d4	0x94890b7a	0x1027186bc	0x1027186bc	mapped	0x1027186bc
System.Net.Requests	46	0x0600002f	System.Net.WebFileStream	CheckAborted	0x2050	NoInlining	Private, HideBySig	0x1004d58d8	0x94890b9c	0x102718748	0x102718748	mapped	0x102718748
System.Net.Requests	47	0x06000030	System.Net.FileWebResponse	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1004d58dc	0x94890bd8	0x10271883c	0x10271883c	mapped	0x10271883c
System.Net.Requests	48	0x06000031	System.Net.FileWebResponse	System.Runtime.Serialization.ISerializable.GetObjectData	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1004d58e0	0x94890c6d	0x102718a94	0x102718a94	mapped	0x102718a94
System.Net.Requests	49	0x06000032	System.Net.FileWebResponse	GetObjectData	0x2050	NoInlining	Family, Final, Virtual, HideBySig	0x1004d58e4	0x94890c77	0x102718ac0	0x102718ac0	mapped	0x102718ac0
System.Net.Requests	50	0x06000033	System.Net.FileWebResponse	CheckDisposed	0x2050	NoInlining	Private, HideBySig	0x1004d58e8	0x94890c81	0x102718aec	0x102718aec	mapped	0x102718aec
