assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.Security	0	0x06000001	Interop+NetSecurityNative	ReleaseGssBuffer	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1004ff1f0	0x94000000	0x1004ff1f0		absent	0x1004ff1f0
System.Net.Security	1	0x06000002	Interop+NetSecurityNative	DisplayMinorStatus	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff1f4	0x9488e7a9	0x102739098	0x102739098	mapped	0x102739098
System.Net.Security	2	0x06000003	Interop+NetSecurityNative	DisplayMajorStatus	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff1f8	0x9488e7c7	0x102739114	0x102739114	mapped	0x102739114
System.Net.Security	3	0x06000004	Interop+NetSecurityNative	ImportUserName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff1fc	0x97ff674d	0x1004d8f30	0x1004d8f30	mapped	0x1004d8f30
System.Net.Security	4	0x06000005	Interop+NetSecurityNative	ImportPrincipalName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff200	0x97ff67f4	0x1004d91d0	0x1004d91d0	mapped	0x1004d91d0
System.Net.Security	5	0x06000006	Interop+NetSecurityNative	ReleaseName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff204	0x9488e7e3	0x102739190	0x102739190	mapped	0x102739190
System.Net.Security	6	0x06000007	Interop+NetSecurityNative	InitiateCredSpNego	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff208	0x97ff689a	0x1004d9470	0x1004d9470	mapped	0x1004d9470
System.Net.Security	7	0x06000008	Interop+NetSecurityNative	InitiateCredWithPassword	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff20c	0x97ff6915	0x1004d9660	0x1004d9660	mapped	0x1004d9660
System.Net.Security	8	0x06000009	Interop+NetSecurityNative	ReleaseCred	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff210	0x9488e7fb	0x1027391fc	0x1027391fc	mapped	0x1027391fc
System.Net.Security	9	0x0600000a	Interop+NetSecurityNative	InitSecContext	0x2050	NoInlining	Private, Static, HideBySig	0x1004ff214	0x97ff69d7	0x1004d9970	0x1004d9970	mapped	0x1004d9970
System.Net.Security	10	0x0600000b	Interop+NetSecurityNative	InitSecContext	0x2050	NoInlining	Private, Static, HideBySig	0x1004ff218	0x97ff6b06	0x1004d9e30	0x1004d9e30	mapped	0x1004d9e30
System.Net.Security	11	0x0600000c	Interop+NetSecurityNative	InitSecContext	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff21c	0x9488e813	0x102739268	0x102739268	mapped	0x102739268
System.Net.Security	12	0x0600000d	Interop+NetSecurityNative	InitSecContext	0x2050	NoInlining	Assembly, Static, HideBySig	0x1004ff220	0x9488e84a	0x102739348	0x102739348	mapped	0x102739348
