assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.Sockets	0	0x06000001	Interop+ErrorInfo	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x100513498	0x9489c020	0x102783518	0x102783518	mapped	0x102783518
System.Net.Sockets	1	0x06000002	Interop+ErrorInfo	get_Error	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x10051349c	0x9489c02a	0x102783544	0x102783544	mapped	0x102783544
System.Net.Sockets	2	0x06000003	Interop+ErrorInfo	get_RawErrno	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1005134a0	0x9489c032	0x102783568	0x102783568	mapped	0x102783568
System.Net.Sockets	3	0x06000004	Interop+ErrorInfo	GetErrorMessage	0x2050	NoInlining	Assembly, HideBySig	0x1005134a4	0x9489c049	0x1027835c8	0x1027835c8	mapped	0x1027835c8
System.Net.Sockets	4	0x06000005	Interop+ErrorInfo	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005134a8	0x9489c05f	0x102783624	0x102783624	mapped	0x102783624
System.Net.Sockets	5	0x06000006	Interop+Sys	GetLastError	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134ac	0x9489c103	0x1027838b8	0x1027838b8	mapped	0x1027838b8
System.Net.Sockets	6	0x06000007	Interop+Sys	StrError	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134b0	0x9489c10d	0x1027838e4	0x1027838e4	mapped	0x1027838e4
System.Net.Sockets	7	0x06000008	Interop+Sys	ConvertErrorPlatformToPal	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134b4	0x97fffff9	0x100513498		absent	0x100513498
System.Net.Sockets	8	0x06000009	Interop+Sys	ConvertErrorPalToPlatform	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134b8	0x97fffff8	0x100513498		absent	0x100513498
System.Net.Sockets	9	0x0600000a	Interop+Sys	StrErrorR	0x0	136	Private, Static, HideBySig, PinvokeImpl	0x1005134bc	0x97fffff7	0x100513498		absent	0x100513498
System.Net.Sockets	10	0x0600000b	Interop+Sys	Accept	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134c0	0x9489c11f	0x10278393c	0x10278393c	mapped	0x10278393c
System.Net.Sockets	11	0x0600000c	Interop+Sys	Bind	0x2050	NoInlining	Private, Static, HideBySig	0x1005134c4	0x97ffc99f	0x100505b40	0x100505b40	mapped	0x100505b40
System.Net.Sockets	12	0x0600000d	Interop+Sys	Bind	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134c8	0x9489c15f	0x102783a44	0x102783a44	mapped	0x102783a44
System.Net.Sockets	13	0x0600000e	Interop+Sys	Close	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134cc	0x9489c175	0x102783aa0	0x102783aa0	mapped	0x102783aa0
System.Net.Sockets	14	0x0600000f	Interop+Sys	Connect	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134d0	0x9489c188	0x102783af0	0x102783af0	mapped	0x102783af0
System.Net.Sockets	15	0x06000010	Interop+Sys	Disconnect	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134d4	0x97fffff1	0x100513498		absent	0x100513498
System.Net.Sockets	16	0x06000011	Interop+Sys	GetBytesAvailable	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134d8	0x9489c1c6	0x102783bf0	0x102783bf0	mapped	0x102783bf0
System.Net.Sockets	17	0x06000012	Interop+Sys	GetAtOutOfBandMark	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134dc	0x9489c201	0x102783ce0	0x102783ce0	mapped	0x102783ce0
System.Net.Sockets	18	0x06000013	Interop+Sys	GetDomainSocketSizes	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134e0	0x97ffffee	0x100513498		absent	0x100513498
System.Net.Sockets	19	0x06000014	Interop+Sys	GetMaximumAddressSize	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134e4	0x97ffffed	0x100513498		absent	0x100513498
System.Net.Sockets	20	0x06000015	Interop+Sys	GetPeerName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134e8	0x9489c23a	0x102783dd0	0x102783dd0	mapped	0x102783dd0
System.Net.Sockets	21	0x06000016	Interop+Sys	GetSocketErrorOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134ec	0x9489c279	0x102783ed0	0x102783ed0	mapped	0x102783ed0
System.Net.Sockets	22	0x06000017	Interop+Sys	GetSocketType	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134f0	0x97ffc9f0	0x100505cb0	0x100505cb0	mapped	0x100505cb0
System.Net.Sockets	23	0x06000018	Interop+Sys	GetSockName	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134f4	0x9489c2b3	0x102783fc0	0x102783fc0	mapped	0x102783fc0
System.Net.Sockets	24	0x06000019	Interop+Sys	GetSockOpt	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005134f8	0x9489c2f2	0x1027840c0	0x1027840c0	mapped	0x1027840c0
System.Net.Sockets	25	0x0600001a	Interop+Sys	GetSockOpt	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x1005134fc	0x97ffffe7	0x100513498		absent	0x100513498
System.Net.Sockets	26	0x0600001b	Interop+Sys	GetLingerOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513500	0x9489c336	0x1027841d8	0x1027841d8	mapped	0x1027841d8
System.Net.Sockets	27	0x0600001c	Interop+Sys	SetLingerOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513504	0x9489c371	0x1027842c8	0x1027842c8	mapped	0x1027842c8
System.Net.Sockets	28	0x0600001d	Interop+Sys	SetLingerOption	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100513508	0x97ffffe4	0x100513498		absent	0x100513498
System.Net.Sockets	29	0x0600001e	Interop+Sys	SetSendTimeout	0x2050	NoInlining	Assembly, Static, HideBySig	0x10051350c	0x9489c3ab	0x1027843b8	0x1027843b8	mapped	0x1027843b8
System.Net.Sockets	30	0x0600001f	Interop+Sys	SetReceiveTimeout	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513510	0x9489c3e6	0x1027844a8	0x1027844a8	mapped	0x1027844a8
System.Net.Sockets	31	0x06000020	Interop+Sys	FStat	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513514	0x97ffca6f	0x100505ed0	0x100505ed0	mapped	0x100505ed0
System.Net.Sockets	32	0x06000021	Interop+Sys	Listen	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513518	0x9489c420	0x102784598	0x102784598	mapped	0x102784598
System.Net.Sockets	33	0x06000022	Interop+Sys	GetIPv4MulticastOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x10051351c	0x9489c45b	0x102784688	0x102784688	mapped	0x102784688
System.Net.Sockets	34	0x06000023	Interop+Sys	SetIPv4MulticastOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513520	0x9489c49a	0x102784788	0x102784788	mapped	0x102784788
System.Net.Sockets	35	0x06000024	Interop+Sys	GetIPv6MulticastOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513524	0x9489c4d9	0x102784888	0x102784888	mapped	0x102784888
System.Net.Sockets	36	0x06000025	Interop+Sys	SetIPv6MulticastOption	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513528	0x9489c518	0x102784988	0x102784988	mapped	0x102784988
System.Net.Sockets	37	0x06000026	Interop+Sys	Poll	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10051352c	0x97ffffdb	0x100513498		absent	0x100513498
System.Net.Sockets	38	0x06000027	Interop+Sys	Poll	0x2050	NoInlining	Assembly, Static, HideBySig	0x100513530	0x9489c556	0x102784a88	0x102784a88	mapped	0x102784a88
System.Net.Sockets	39	0x06000028	Interop+Sys	PlatformSupportsDualModeIPv4PacketInfo	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x100513534	0x97ffffd9	0x100513498		absent	0x100513498
