assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Net.WebHeaderCollection	0	0x06000001	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005182c8	0x948a8db0	0x1027bb988	0x1027bb988	mapped	0x1027bb988
System.Net.WebHeaderCollection	1	0x06000002	System.Net.WebHeaderCollection	get_HeaderInfo	0x2050	NoInlining	Private, Static, HideBySig, SpecialName	0x1005182cc	0x948a8ddc	0x1027bba3c	0x1027bba3c	mapped	0x1027bba3c
System.Net.WebHeaderCollection	2	0x06000003	System.Net.WebHeaderCollection	get_InnerCollection	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005182d0	0x948a8dfa	0x1027bbab8	0x1027bbab8	mapped	0x1027bbab8
System.Net.WebHeaderCollection	3	0x06000004	System.Net.WebHeaderCollection	Set	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182d4	0x948a8e2b	0x1027bbb80	0x1027bbb80	mapped	0x1027bbb80
System.Net.WebHeaderCollection	4	0x06000005	System.Net.WebHeaderCollection	GetObjectData	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182d8	0x948a8e5d	0x1027bbc4c	0x1027bbc4c	mapped	0x1027bbc4c
System.Net.WebHeaderCollection	5	0x06000006	System.Net.WebHeaderCollection	System.Runtime.Serialization.ISerializable.GetObjectData	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1005182dc	0x948a8e67	0x1027bbc78	0x1027bbc78	mapped	0x1027bbc78
System.Net.WebHeaderCollection	6	0x06000007	System.Net.WebHeaderCollection	OnDeserialization	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182e0	0x948a8e71	0x1027bbca4	0x1027bbca4	mapped	0x1027bbca4
System.Net.WebHeaderCollection	7	0x06000008	System.Net.WebHeaderCollection	GetValues	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182e4	0x948a8e71	0x1027bbca8	0x1027bbca8	mapped	0x1027bbca8
System.Net.WebHeaderCollection	8	0x06000009	System.Net.WebHeaderCollection	Get	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182e8	0x948a8eec	0x1027bbe98	0x1027bbe98	mapped	0x1027bbe98
System.Net.WebHeaderCollection	9	0x0600000a	System.Net.WebHeaderCollection	Add	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182ec	0x948a8f04	0x1027bbefc	0x1027bbefc	mapped	0x1027bbefc
System.Net.WebHeaderCollection	10	0x0600000b	System.Net.WebHeaderCollection	Remove	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182f0	0x948a8f38	0x1027bbfd0	0x1027bbfd0	mapped	0x1027bbfd0
System.Net.WebHeaderCollection	11	0x0600000c	System.Net.WebHeaderCollection	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005182f4	0x948a8f5f	0x1027bc070	0x1027bc070	mapped	0x1027bc070
