assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Private.CoreLib	0	0x06000001	Interop	CallStringMethod	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a928	0x948e959c	0x102b0ff98	0x102b0ff98	mapped	0x102b0ff98
System.Private.CoreLib	1	0x06000002	Interop	ThrowExceptionForIoErrno	0x2050	NoInlining	Private, Static, HideBySig	0x10076a92c	0x948e9622	0x102b101b4	0x102b101b4	mapped	0x102b101b4
System.Private.CoreLib	2	0x06000003	Interop	CheckIo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a930	0x948e9632	0x102b101f8	0x102b101f8	mapped	0x102b101f8
System.Private.CoreLib	3	0x06000004	Interop	CheckIo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a934	0x948e9648	0x102b10254	0x102b10254	mapped	0x102b10254
System.Private.CoreLib	4	0x06000005	Interop	CheckIo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a938	0x948e965f	0x102b102b4	0x102b102b4	mapped	0x102b102b4
System.Private.CoreLib	5	0x06000006	Interop	CheckIo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a93c	0x948e9676	0x102b10314	0x102b10314	mapped	0x102b10314
System.Private.CoreLib	6	0x06000007	Interop	GetExceptionForIoErrno	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a940	0x948e968d	0x102b10374	0x102b10374	mapped	0x102b10374
System.Private.CoreLib	7	0x06000008	Interop	GetIOException	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a944	0x948e97e0	0x102b108c4	0x102b108c4	mapped	0x102b108c4
System.Private.CoreLib	8	0x06000009	Interop	GetRandomBytes	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a948	0x948e9824	0x102b109d8	0x102b109d8	mapped	0x102b109d8
System.Private.CoreLib	9	0x0600000a	Interop	GetCryptographicallySecureRandomBytes	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a94c	0x948e9833	0x102b10a18	0x102b10a18	mapped	0x102b10a18
System.Private.CoreLib	10	0x0600000b	Interop	<GetExceptionForIoErrno>g__ParentDirectoryExists|18_0	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a950	0x948e9848	0x102b10a70	0x102b10a70	mapped	0x102b10a70
System.Private.CoreLib	11	0x0600000c	Interop+Globalization	GetCalendars	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a954	0x948e9857	0x102b10ab0	0x102b10ab0	mapped	0x102b10ab0
System.Private.CoreLib	12	0x0600000d	Interop+Globalization	GetCalendarInfo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a958	0x948e986e	0x102b10b10	0x102b10b10	mapped	0x102b10b10
System.Private.CoreLib	13	0x0600000e	Interop+Globalization	EnumCalendarInfo	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a95c	0x948e9889	0x102b10b80	0x102b10b80	mapped	0x102b10b80
System.Private.CoreLib	14	0x0600000f	Interop+Globalization	EnumCalendarInfo	0x2050	NoInlining	Private, Static, HideBySig	0x10076a960	0x948e98a6	0x102b10bf8	0x102b10bf8	mapped	0x102b10bf8
System.Private.CoreLib	15	0x06000010	Interop+Globalization	GetLatestJapaneseEra	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a964	0x97fffff1	0x10076a928		absent	0x10076a928
System.Private.CoreLib	16	0x06000011	Interop+Globalization	GetJapaneseEraStartDate	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a968	0x948e98c2	0x102b10c70	0x102b10c70	mapped	0x102b10c70
System.Private.CoreLib	17	0x06000012	Interop+Globalization	GetCalendarInfoNative	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a96c	0x948e98d9	0x102b10cd0	0x102b10cd0	mapped	0x102b10cd0
System.Private.CoreLib	18	0x06000013	Interop+Globalization	ChangeCase	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a970	0x948e9921	0x102b10df4	0x102b10df4	mapped	0x102b10df4
System.Private.CoreLib	19	0x06000014	Interop+Globalization	ChangeCaseInvariant	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a974	0x948e993b	0x102b10e60	0x102b10e60	mapped	0x102b10e60
System.Private.CoreLib	20	0x06000015	Interop+Globalization	ChangeCaseTurkish	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a978	0x948e9955	0x102b10ecc	0x102b10ecc	mapped	0x102b10ecc
System.Private.CoreLib	21	0x06000016	Interop+Globalization	InitOrdinalCasingPage	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a97c	0x97ffffeb	0x10076a928		absent	0x10076a928
System.Private.CoreLib	22	0x06000017	Interop+Globalization	ChangeCaseNative	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a980	0x948e996e	0x102b10f38	0x102b10f38	mapped	0x102b10f38
System.Private.CoreLib	23	0x06000018	Interop+Globalization	ChangeCaseInvariantNative	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a984	0x948e9990	0x102b10fc4	0x102b10fc4	mapped	0x102b10fc4
System.Private.CoreLib	24	0x06000019	Interop+Globalization	GetSortHandle	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a988	0x97f955a2	0x1005c0010	0x1005c0010	mapped	0x1005c0010
System.Private.CoreLib	25	0x0600001a	Interop+Globalization	CloseSortHandle	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a98c	0x97ffffe7	0x10076a928		absent	0x10076a928
System.Private.CoreLib	26	0x0600001b	Interop+Globalization	CompareString	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a990	0x97ffffe6	0x10076a928		absent	0x10076a928
System.Private.CoreLib	27	0x0600001c	Interop+Globalization	IndexOf	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a994	0x97ffffe5	0x10076a928		absent	0x10076a928
System.Private.CoreLib	28	0x0600001d	Interop+Globalization	LastIndexOf	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a998	0x97ffffe4	0x10076a928		absent	0x10076a928
System.Private.CoreLib	29	0x0600001e	Interop+Globalization	StartsWith	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a99c	0x948e99a5	0x102b11030	0x102b11030	mapped	0x102b11030
System.Private.CoreLib	30	0x0600001f	Interop+Globalization	EndsWith	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a9a0	0x948e99c6	0x102b110b8	0x102b110b8	mapped	0x102b110b8
System.Private.CoreLib	31	0x06000020	Interop+Globalization	GetSortKey	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10076a9a4	0x97ffffe1	0x10076a928		absent	0x10076a928
System.Private.CoreLib	32	0x06000021	Interop+Globalization	CompareStringNative	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a9a8	0x948e99e6	0x102b11140	0x102b11140	mapped	0x102b11140
System.Private.CoreLib	33	0x06000022	Interop+Globalization	EndsWithNative	0x2050	NoInlining	Assembly, Static, HideBySig	0x10076a9ac	0x948e9a07	0x102b111c8	0x102b111c8	mapped	0x102b111c8
