assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Private.Uri	0	0x06000001	System.HexConverter	ToCharsBuffer	0x2050	264	Public, Static, HideBySig	0x100519150	0x948aa00a	0x1027c1178	0x1027c1178	mapped	0x1027c1178
System.Private.Uri	1	0x06000002	System.HexConverter	FromChar	0x2050	264	Public, Static, HideBySig	0x100519154	0x948aa034	0x1027c1224	0x1027c1224	mapped	0x1027c1224
System.Private.Uri	2	0x06000003	System.HexConverter	get_CharToHexLookup	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x100519158	0x948aa05f	0x1027c12d4	0x1027c12d4	mapped	0x1027c12d4
System.Private.Uri	3	0x06000004	System.DomainNameHelper	ParseCanonicalName	0x2050	NoInlining	Assembly, Static, HideBySig	0x10051915c	0x948aa075	0x1027c1330	0x1027c1330	mapped	0x1027c1330
System.Private.Uri	4	0x06000005	System.DomainNameHelper	IsValid	0x2050	NoInlining	Public, Static, HideBySig	0x100519160	0x948aa118	0x1027c15c0	0x1027c15c0	mapped	0x1027c15c0
System.Private.Uri	5	0x06000006	System.DomainNameHelper	IdnEquivalent	0x2050	NoInlining	Public, Static, HideBySig	0x100519164	0x948aa256	0x1027c1abc	0x1027c1abc	mapped	0x1027c1abc
System.Private.Uri	6	0x06000007	System.DomainNameHelper	TryGetUnicodeEquivalent	0x2050	NoInlining	Public, Static, HideBySig	0x100519168	0x948aa2dc	0x1027c1cd8	0x1027c1cd8	mapped	0x1027c1cd8
System.Private.Uri	7	0x06000008	System.DomainNameHelper	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x10051916c	0x948aa606	0x1027c2984	0x1027c2984	mapped	0x1027c2984
System.Private.Uri	8	0x06000009	System.IPv4AddressHelper	ParseCanonicalName	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519170	0x948aa645	0x1027c2a84	0x1027c2a84	mapped	0x1027c2a84
System.Private.Uri	9	0x0600000a	System.IPv4AddressHelper	Parse	0x2050	NoInlining	Private, Static, HideBySig	0x100519174	0x948aa6bd	0x1027c2c68	0x1027c2c68	mapped	0x1027c2c68
System.Private.Uri	10	0x0600000b	System.IPv4AddressHelper	ParseHostNumber	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519178	0x948aa6f6	0x1027c2d50	0x1027c2d50	mapped	0x1027c2d50
System.Private.Uri	11	0x0600000c	System.IPv4AddressHelper	IsValid	0x2050	NoInlining	Assembly, Static, HideBySig	0x10051917c	0x948aa7c0	0x1027c307c	0x1027c307c	mapped	0x1027c307c
System.Private.Uri	12	0x0600000d	System.IPv4AddressHelper	IsValidCanonical	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519180	0x948aa7e1	0x1027c3104	0x1027c3104	mapped	0x1027c3104
System.Private.Uri	13	0x0600000e	System.IPv4AddressHelper	ParseNonCanonical	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519184	0x948aa87b	0x1027c3370	0x1027c3370	mapped	0x1027c3370
System.Private.Uri	14	0x0600000f	System.IPv6AddressHelper	ParseCanonicalName	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519188	0x948aa9c9	0x1027c38ac	0x1027c38ac	mapped	0x1027c38ac
System.Private.Uri	15	0x06000010	System.IPv6AddressHelper	IsLoopback	0x2050	NoInlining	Private, Static, HideBySig	0x10051918c	0x948aaaf9	0x1027c3d70	0x1027c3d70	mapped	0x1027c3d70
System.Private.Uri	16	0x06000011	System.IPv6AddressHelper	InternalIsValid	0x2050	NoInlining	Private, Static, HideBySig	0x100519190	0x948aab84	0x1027c3fa0	0x1027c3fa0	mapped	0x1027c3fa0
System.Private.Uri	17	0x06000012	System.IPv6AddressHelper	IsValid	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519194	0x948aaca4	0x1027c4424	0x1027c4424	mapped	0x1027c4424
System.Private.Uri	18	0x06000013	System.IPv6AddressHelper	FindCompressionRange	0x2050	NoInlining	Assembly, Static, HideBySig	0x100519198	0x948aacb8	0x1027c4478	0x1027c4478	mapped	0x1027c4478
System.Private.Uri	19	0x06000014	System.IPv6AddressHelper	ShouldHaveIpv4Embedded	0x2050	NoInlining	Assembly, Static, HideBySig	0x10051919c	0x948aacf8	0x1027c457c	0x1027c457c	mapped	0x1027c457c
System.Private.Uri	20	0x06000015	System.IPv6AddressHelper	Parse	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191a0	0x948aad73	0x1027c476c	0x1027c476c	mapped	0x1027c476c
System.Private.Uri	21	0x06000016	System.IriHelper	CheckIriUnicodeRange	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191a4	0x948aaf4c	0x1027c4ed4	0x1027c4ed4	mapped	0x1027c4ed4
System.Private.Uri	22	0x06000017	System.IriHelper	CheckIriUnicodeRange	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191a8	0x948aaf62	0x1027c4f30	0x1027c4f30	mapped	0x1027c4f30
System.Private.Uri	23	0x06000018	System.IriHelper	CheckIriUnicodeRange	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191ac	0x948aaf98	0x1027c500c	0x1027c500c	mapped	0x1027c500c
System.Private.Uri	24	0x06000019	System.IriHelper	IsInInclusiveRange	0x2050	264	Public, Static, HideBySig	0x1005191b0	0x948aafbb	0x1027c509c	0x1027c509c	mapped	0x1027c509c
System.Private.Uri	25	0x0600001a	System.IriHelper	CheckIsReserved	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191b4	0x948aafbf	0x1027c50b0	0x1027c50b0	mapped	0x1027c50b0
System.Private.Uri	26	0x0600001b	System.IriHelper	EscapeUnescapeIri	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191b8	0x948aafe7	0x1027c5154	0x1027c5154	mapped	0x1027c5154
System.Private.Uri	27	0x0600001c	System.PercentEncodingHelper	UnescapePercentEncodedUTF8Sequence	0x2050	NoInlining	Public, Static, HideBySig	0x1005191bc	0x948ab175	0x1027c5790	0x1027c5790	mapped	0x1027c5790
System.Private.Uri	28	0x0600001d	System.UncNameHelper	ParseCanonicalName	0x2050	NoInlining	Public, Static, HideBySig	0x1005191c0	0x948ab276	0x1027c5b98	0x1027c5b98	mapped	0x1027c5b98
System.Private.Uri	29	0x0600001e	System.UncNameHelper	IsValid	0x2050	NoInlining	Public, Static, HideBySig	0x1005191c4	0x948ab28b	0x1027c5bf0	0x1027c5bf0	mapped	0x1027c5bf0
System.Private.Uri	30	0x0600001f	System.Uri	InterlockedSetFlags	0x2050	NoInlining	Private, HideBySig	0x1005191c8	0x948ab357	0x1027c5f24	0x1027c5f24	mapped	0x1027c5f24
System.Private.Uri	31	0x06000020	System.Uri	get_IsImplicitFile	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191cc	0x948ab39f	0x1027c6048	0x1027c6048	mapped	0x1027c6048
System.Private.Uri	32	0x06000021	System.Uri	get_IsUncOrDosPath	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191d0	0x948ab3a8	0x1027c6070	0x1027c6070	mapped	0x1027c6070
System.Private.Uri	33	0x06000022	System.Uri	get_IsDosPath	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191d4	0x948ab3b2	0x1027c609c	0x1027c609c	mapped	0x1027c609c
System.Private.Uri	34	0x06000023	System.Uri	get_IsUncPath	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191d8	0x948ab3bb	0x1027c60c4	0x1027c60c4	mapped	0x1027c60c4
System.Private.Uri	35	0x06000024	System.Uri	get_IsUnixPath	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191dc	0x948ab3c4	0x1027c60ec	0x1027c60ec	mapped	0x1027c60ec
System.Private.Uri	36	0x06000025	System.Uri	get_HostType	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191e0	0x948ab3cd	0x1027c6114	0x1027c6114	mapped	0x1027c6114
System.Private.Uri	37	0x06000026	System.Uri	get_Syntax	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191e4	0x948ab3d6	0x1027c613c	0x1027c613c	mapped	0x1027c613c
System.Private.Uri	38	0x06000027	System.Uri	get_IsNotAbsoluteUri	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191e8	0x948ab3de	0x1027c6160	0x1027c6160	mapped	0x1027c6160
System.Private.Uri	39	0x06000028	System.Uri	get_IriParsing	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191ec	0x948ab3e8	0x1027c618c	0x1027c618c	mapped	0x1027c618c
System.Private.Uri	40	0x06000029	System.Uri	IriParsingStatic	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005191f0	0x948ab3f6	0x1027c61c8	0x1027c61c8	mapped	0x1027c61c8
System.Private.Uri	41	0x0600002a	System.Uri	get_DisablePathAndQueryCanonicalization	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1005191f4	0x948ab409	0x1027c6218	0x1027c6218	mapped	0x1027c6218
System.Private.Uri	42	0x0600002b	System.Uri	get_UserDrivenParsing	0x2050	NoInlining	Assembly, HideBySig, SpecialName	0x1005191f8	0x948ab412	0x1027c6240	0x1027c6240	mapped	0x1027c6240
System.Private.Uri	43	0x0600002c	System.Uri	get_SecuredPathIndex	0x2050	NoInlining	Private, HideBySig, SpecialName	0x1005191fc	0x948ab41b	0x1027c6268	0x1027c6268	mapped	0x1027c6268
System.Private.Uri	44	0x0600002d	System.Uri	NotAny	0x2050	NoInlining	Private, HideBySig	0x100519200	0x948ab446	0x1027c6318	0x1027c6318	mapped	0x1027c6318
System.Private.Uri	45	0x0600002e	System.Uri	InFact	0x2050	NoInlining	Private, HideBySig	0x100519204	0x948ab450	0x1027c6344	0x1027c6344	mapped	0x1027c6344
System.Private.Uri	46	0x0600002f	System.Uri	StaticNotAny	0x2050	NoInlining	Private, Static, HideBySig	0x100519208	0x948ab45a	0x1027c6370	0x1027c6370	mapped	0x1027c6370
System.Private.Uri	47	0x06000030	System.Uri	StaticInFact	0x2050	NoInlining	Private, Static, HideBySig	0x10051920c	0x948ab46d	0x1027c63c0	0x1027c63c0	mapped	0x1027c63c0
System.Private.Uri	48	0x06000031	System.Uri	EnsureUriInfo	0x2050	NoInlining	Private, HideBySig	0x100519210	0x948ab480	0x1027c6410	0x1027c6410	mapped	0x1027c6410
System.Private.Uri	49	0x06000032	System.Uri	EnsureParseRemaining	0x2050	NoInlining	Private, HideBySig	0x100519214	0x948ab496	0x1027c646c	0x1027c646c	mapped	0x1027c646c
System.Private.Uri	50	0x06000033	System.Uri	EnsureHostString	0x2050	NoInlining	Private, HideBySig	0x100519218	0x948ab4ab	0x1027c64c4	0x1027c64c4	mapped	0x1027c64c4
System.Private.Uri	51	0x06000034	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10051921c	0x948ab4c9	0x1027c6540	0x1027c6540	mapped	0x1027c6540
System.Private.Uri	52	0x06000035	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100519220	0x948ab4ed	0x1027c65d4	0x1027c65d4	mapped	0x1027c65d4
System.Private.Uri	53	0x06000036	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100519224	0x948ab514	0x1027c6674	0x1027c6674	mapped	0x1027c6674
System.Private.Uri	54	0x06000037	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100519228	0x948ab549	0x1027c674c	0x1027c674c	mapped	0x1027c674c
System.Private.Uri	55	0x06000038	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10051922c	0x948ab570	0x1027c67ec	0x1027c67ec	mapped	0x1027c67ec
System.Private.Uri	56	0x06000039	System.Uri	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100519230	0x948ab594	0x1027c6880	0x1027c6880	mapped	0x1027c6880
System.Private.Uri	57	0x0600003a	System.Uri	System.Runtime.Serialization.ISerializable.GetObjectData	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x100519234	0x948ab5c8	0x1027c6954	0x1027c6954	mapped	0x1027c6954
System.Private.Uri	58	0x0600003b	System.Uri	GetObjectData	0x2050	NoInlining	Family, HideBySig	0x100519238	0x948ab5d7	0x1027c6994	0x1027c6994	mapped	0x1027c6994
