assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Private.Xml	0	0x06000001	MS.Internal.Xml.XPath.AbsoluteQuery	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100534cf0	0x948aa25a	0x1027dd658	0x1027dd658	mapped	0x1027dd658
System.Private.Xml	1	0x06000002	MS.Internal.Xml.XPath.AbsoluteQuery	.ctor	0x2050	NoInlining	Private, HideBySig, SpecialName, RTSpecialName	0x100534cf4	0x948aa262	0x1027dd67c	0x1027dd67c	mapped	0x1027dd67c
System.Private.Xml	2	0x06000003	MS.Internal.Xml.XPath.AbsoluteQuery	Evaluate	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100534cf8	0x948aa279	0x1027dd6dc	0x1027dd6dc	mapped	0x1027dd6dc
System.Private.Xml	3	0x06000004	MS.Internal.Xml.XPath.AbsoluteQuery	Clone	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100534cfc	0x948aa2aa	0x1027dd7a4	0x1027dd7a4	mapped	0x1027dd7a4
System.Private.Xml	4	0x06000005	MS.Internal.Xml.XPath.AstNode	get_Type	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x100534d00	0x97fffffc	0x100534cf0		absent	0x100534cf0
System.Private.Xml	5	0x06000006	MS.Internal.Xml.XPath.AstNode	get_ReturnType	0x0	NoInlining	Public, Virtual, HideBySig, VtableLayoutMask, Abstract, SpecialName	0x100534d04	0x97fffffb	0x100534cf0		absent	0x100534cf0
System.Private.Xml	6	0x06000007	MS.Internal.Xml.XPath.AstNode	.ctor	0x2050	NoInlining	Family, HideBySig, SpecialName, RTSpecialName	0x100534d08	0x948aa2d4	0x1027dd858	0x1027dd858	mapped	0x1027dd858
System.Private.Xml	7	0x06000008	MS.Internal.Xml.XPath.AttributeQuery	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100534d0c	0x948aa2d4	0x1027dd85c	0x1027dd85c	mapped	0x1027dd85c
System.Private.Xml	8	0x06000009	MS.Internal.Xml.XPath.AttributeQuery	.ctor	0x2050	NoInlining	Private, HideBySig, SpecialName, RTSpecialName	0x100534d10	0x948aa2ed	0x1027dd8c4	0x1027dd8c4	mapped	0x1027dd8c4
System.Private.Xml	9	0x0600000a	MS.Internal.Xml.XPath.AttributeQuery	Reset	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100534d14	0x948aa308	0x1027dd934	0x1027dd934	mapped	0x1027dd934
System.Private.Xml	10	0x0600000b	MS.Internal.Xml.XPath.AttributeQuery	Advance	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100534d18	0x948aa31c	0x1027dd988	0x1027dd988	mapped	0x1027dd988
System.Private.Xml	11	0x0600000c	MS.Internal.Xml.XPath.AttributeQuery	Clone	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x100534d1c	0x948aa371	0x1027ddae0	0x1027ddae0	mapped	0x1027ddae0
System.Private.Xml	12	0x0600000d	MS.Internal.Xml.XPath.Axis	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100534d20	0x948aa38f	0x1027ddb5c	0x1027ddb5c	mapped	0x1027ddb5c
System.Private.Xml	13	0x0600000e	MS.Internal.Xml.XPath.Axis	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x100534d24	0x948aa3c9	0x1027ddc48	0x1027ddc48	mapped	0x1027ddc48
System.Private.Xml	14	0x0600000f	MS.Internal.Xml.XPath.Axis	get_Type	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x100534d28	0x948aa3f4	0x1027ddcf8	0x1027ddcf8	mapped	0x1027ddcf8
System.Private.Xml	15	0x06000010	MS.Internal.Xml.XPath.Axis	get_ReturnType	0x2050	NoInlining	Public, Final, Virtual, HideBySig, SpecialName	0x100534d2c	0x948aa3f5	0x1027ddd00	0x1027ddd00	mapped	0x1027ddd00
System.Private.Xml	16	0x06000011	MS.Internal.Xml.XPath.Axis	get_Input	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d30	0x948aa3f6	0x1027ddd08	0x1027ddd08	mapped	0x1027ddd08
System.Private.Xml	17	0x06000012	MS.Internal.Xml.XPath.Axis	set_Input	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d34	0x948aa3fe	0x1027ddd2c	0x1027ddd2c	mapped	0x1027ddd2c
System.Private.Xml	18	0x06000013	MS.Internal.Xml.XPath.Axis	get_Prefix	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d38	0x948aa40d	0x1027ddd6c	0x1027ddd6c	mapped	0x1027ddd6c
System.Private.Xml	19	0x06000014	MS.Internal.Xml.XPath.Axis	get_Name	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d3c	0x948aa415	0x1027ddd90	0x1027ddd90	mapped	0x1027ddd90
System.Private.Xml	20	0x06000015	MS.Internal.Xml.XPath.Axis	get_NodeType	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d40	0x948aa41d	0x1027dddb4	0x1027dddb4	mapped	0x1027dddb4
System.Private.Xml	21	0x06000016	MS.Internal.Xml.XPath.Axis	get_TypeOfAxis	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d44	0x948aa425	0x1027dddd8	0x1027dddd8	mapped	0x1027dddd8
System.Private.Xml	22	0x06000017	MS.Internal.Xml.XPath.Axis	get_AbbrAxis	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d48	0x948aa42d	0x1027dddfc	0x1027dddfc	mapped	0x1027dddfc
System.Private.Xml	23	0x06000018	MS.Internal.Xml.XPath.Axis	get_Urn	0x2050	NoInlining	Public, HideBySig, SpecialName	0x100534d4c	0x948aa435	0x1027dde20	0x1027dde20	mapped	0x1027dde20
