assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Runtime.Numerics	0	0x06000001	System.ThrowHelper	ThrowOverflowException	0x2050	NoInlining	Assembly, Static, HideBySig	0x10055ef00	0x94914b3e	0x1029b1bf8	0x1029b1bf8	mapped	0x1029b1bf8
System.Runtime.Numerics	1	0x06000002	System.ThrowHelper	ThrowNotSupportedException	0x2050	NoInlining	Assembly, Static, HideBySig	0x10055ef04	0x94914b48	0x1029b1c24	0x1029b1c24	mapped	0x1029b1c24
System.Runtime.Numerics	2	0x06000003	System.ThrowHelper	ThrowValueArgumentOutOfRange_NeedNonNegNumException	0x2050	NoInlining	Assembly, Static, HideBySig	0x10055ef08	0x94914b52	0x1029b1c50	0x1029b1c50	mapped	0x1029b1c50
System.Runtime.Numerics	3	0x06000004	System.HexConverter	FromChar	0x2050	264	Public, Static, HideBySig	0x10055ef0c	0x94914b68	0x1029b1cac	0x1029b1cac	mapped	0x1029b1cac
System.Runtime.Numerics	4	0x06000005	System.HexConverter	get_CharToHexLookup	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x10055ef10	0x94914b93	0x1029b1d5c	0x1029b1d5c	mapped	0x1029b1d5c
System.Runtime.Numerics	5	0x06000006	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x10055ef14	0x94914ba9	0x1029b1db8	0x1029b1db8	mapped	0x1029b1db8
System.Runtime.Numerics	6	0x06000007	System.Text.ValueStringBuilder	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10055ef18	0x94914bde	0x1029b1e90	0x1029b1e90	mapped	0x1029b1e90
System.Runtime.Numerics	7	0x06000008	System.Text.ValueStringBuilder	get_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10055ef1c	0x94914be8	0x1029b1ebc	0x1029b1ebc	mapped	0x1029b1ebc
System.Runtime.Numerics	8	0x06000009	System.Text.ValueStringBuilder	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x10055ef20	0x94914bf0	0x1029b1ee0	0x1029b1ee0	mapped	0x1029b1ee0
System.Runtime.Numerics	9	0x0600000a	System.Text.ValueStringBuilder	TryCopyTo	0x2050	NoInlining	Public, HideBySig	0x10055ef24	0x94914c3a	0x1029b200c	0x1029b200c	mapped	0x1029b200c
System.Runtime.Numerics	10	0x0600000b	System.Text.ValueStringBuilder	Insert	0x2050	NoInlining	Public, HideBySig	0x10055ef28	0x94914cb1	0x1029b21ec	0x1029b21ec	mapped	0x1029b21ec
System.Runtime.Numerics	11	0x0600000c	System.Text.ValueStringBuilder	Append	0x2050	264	Public, HideBySig	0x10055ef2c	0x94914d0f	0x1029b2368	0x1029b2368	mapped	0x1029b2368
System.Runtime.Numerics	12	0x0600000d	System.Text.ValueStringBuilder	Append	0x2050	264	Public, HideBySig	0x10055ef30	0x94914d32	0x1029b23f8	0x1029b23f8	mapped	0x1029b23f8
System.Runtime.Numerics	13	0x0600000e	System.Text.ValueStringBuilder	AppendSlow	0x2050	NoInlining	Private, HideBySig	0x10055ef34	0x94914d60	0x1029b24b4	0x1029b24b4	mapped	0x1029b24b4
