assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Security.Cryptography	0	0x06000001	Interop+CoreFoundation	CFStringCreateWithBytes	0x2050	NoInlining	Private, Static, HideBySig	0x10057bd10	0x94915da2	0x1029d3398	0x1029d3398	mapped	0x1029d3398
System.Security.Cryptography	1	0x06000002	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Private, Static, HideBySig	0x10057bd14	0x94915df2	0x1029d34dc	0x1029d34dc	mapped	0x1029d34dc
System.Security.Cryptography	2	0x06000003	Interop+CoreFoundation	CFStringCreateWithCString	0x2050	NoInlining	Assembly, Static, HideBySig	0x10057bd18	0x94915e45	0x1029d362c	0x1029d362c	mapped	0x1029d362c
System.Security.Cryptography	3	0x06000004	Interop+CoreFoundation	CFStringCreateFromSpan	0x2050	NoInlining	Assembly, Static, HideBySig	0x10057bd1c	0x94915e60	0x1029d369c	0x1029d369c	mapped	0x1029d369c
System.Security.Cryptography	4	0x06000005	Interop+CoreFoundation	CFArrayCreate	0x2050	NoInlining	Private, Static, HideBySig	0x10057bd20	0x94915e7f	0x1029d371c	0x1029d371c	mapped	0x1029d371c
System.Security.Cryptography	5	0x06000006	Interop+CoreFoundation	CFArrayCreate	0x2050	NoInlining	Assembly, Static, HideBySig	0x10057bd24	0x94915eca	0x1029d384c	0x1029d384c	mapped	0x1029d384c
System.Security.Cryptography	6	0x06000007	Interop+CoreFoundation	CFArrayCreate	0x2050	NoInlining	Assembly, Static, HideBySig	0x10057bd28	0x94915eed	0x1029d38dc	0x1029d38dc	mapped	0x1029d38dc
System.Security.Cryptography	7	0x06000008	Interop+CoreFoundation	CFRelease	0x0	136	Assembly, Static, HideBySig, PinvokeImpl	0x10057bd2c	0x97fffff9	0x10057bd10		absent	0x10057bd10
System.Security.Cryptography	8	0x06000009	Interop+CoreFoundation	_CFArrayGetCount	0x2050	NoInlining	Private, Static, HideBySig	0x10057bd30	0x94915f08	0x1029d3950	0x1029d3950	mapped	0x1029d3950
System.Security.Cryptography	9	0x0600000a	Interop+CoreFoundation	CFArrayGetValueAtIndex	0x2050	NoInlining	Private, Static, HideBySig	0x10057bd34	0x94915f41	0x1029d3a38	0x1029d3a38	mapped	0x1029d3a38
