assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Text.RegularExpressions	0	0x06000001	System.HexConverter	FromChar	0x2050	264	Public, Static, HideBySig	0x1005aaf98	0x94931ce0	0x102a72318	0x102a72318	mapped	0x102a72318
System.Text.RegularExpressions	1	0x06000002	System.HexConverter	get_CharToHexLookup	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x1005aaf9c	0x94931d0b	0x102a723c8	0x102a723c8	mapped	0x102a723c8
System.Text.RegularExpressions	2	0x06000003	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005aafa0	0x94931d21	0x102a72424	0x102a72424	mapped	0x102a72424
System.Text.RegularExpressions	3	0x06000004	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005aafa4	0x94931d4d	0x102a724d8	0x102a724d8	mapped	0x102a724d8
System.Text.RegularExpressions	4	0x06000005	System.SR	Format	0x2050	NoInlining	Assembly, Static, HideBySig	0x1005aafa8	0x94931d82	0x102a725b0	0x102a725b0	mapped	0x102a725b0
System.Text.RegularExpressions	5	0x06000006	System.Threading.StackHelper	TryEnsureSufficientExecutionStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafac	0x94931dbe	0x102a726a4	0x102a726a4	mapped	0x102a726a4
System.Text.RegularExpressions	6	0x06000007	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafb0	0x94931dc7	0x102a726cc	0x102a726cc	mapped	0x102a726cc
System.Text.RegularExpressions	7	0x06000008	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafb4	0x94931e7c	0x102a729a4	0x102a729a4	mapped	0x102a729a4
System.Text.RegularExpressions	8	0x06000009	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafb8	0x94931f37	0x102a72c94	0x102a72c94	mapped	0x102a72c94
System.Text.RegularExpressions	9	0x0600000a	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafbc	0x94931ffa	0x102a72fa4	0x102a72fa4	mapped	0x102a72fa4
System.Text.RegularExpressions	10	0x0600000b	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafc0	0x949320a2	0x102a73248	0x102a73248	mapped	0x102a73248
System.Text.RegularExpressions	11	0x0600000c	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafc4	0x94932152	0x102a7350c	0x102a7350c	mapped	0x102a7350c
System.Text.RegularExpressions	12	0x0600000d	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafc8	0x94932208	0x102a737e8	0x102a737e8	mapped	0x102a737e8
System.Text.RegularExpressions	13	0x0600000e	System.Threading.StackHelper	CallOnEmptyStack	0x2050	NoInlining	Public, Static, HideBySig	0x1005aafcc	0x949322c6	0x102a73ae4	0x102a73ae4	mapped	0x102a73ae4
System.Text.RegularExpressions	14	0x0600000f	System.Threading.StackHelper+<>c__10`4	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005aafd0	0x9493238a	0x102a73df8	0x102a73df8	mapped	0x102a73df8
System.Text.RegularExpressions	15	0x06000010	System.Threading.StackHelper+<>c__10`4	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005aafd4	0x949323b7	0x102a73eb0	0x102a73eb0	mapped	0x102a73eb0
System.Text.RegularExpressions	16	0x06000011	System.Threading.StackHelper+<>c__10`4	<CallOnEmptyStack>b__10_1	0x2050	NoInlining	Assembly, HideBySig	0x1005aafd8	0x949323c8	0x102a73ef8	0x102a73ef8	mapped	0x102a73ef8
System.Text.RegularExpressions	17	0x06000012	System.Threading.StackHelper+<>c__11`5	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005aafdc	0x949323fa	0x102a73fc4	0x102a73fc4	mapped	0x102a73fc4
System.Text.RegularExpressions	18	0x06000013	System.Threading.StackHelper+<>c__11`5	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005aafe0	0x94932427	0x102a7407c	0x102a7407c	mapped	0x102a7407c
System.Text.RegularExpressions	19	0x06000014	System.Threading.StackHelper+<>c__11`5	<CallOnEmptyStack>b__11_1	0x2050	NoInlining	Assembly, HideBySig	0x1005aafe4	0x94932438	0x102a740c4	0x102a740c4	mapped	0x102a740c4
System.Text.RegularExpressions	20	0x06000015	System.Threading.StackHelper+<>c__2`2	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005aafe8	0x9493246a	0x102a74190	0x102a74190	mapped	0x102a74190
System.Text.RegularExpressions	21	0x06000016	System.Threading.StackHelper+<>c__2`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005aafec	0x94932497	0x102a74248	0x102a74248	mapped	0x102a74248
System.Text.RegularExpressions	22	0x06000017	System.Threading.StackHelper+<>c__2`2	<CallOnEmptyStack>b__2_1	0x2050	NoInlining	Assembly, HideBySig	0x1005aaff0	0x949324a8	0x102a74290	0x102a74290	mapped	0x102a74290
System.Text.RegularExpressions	23	0x06000018	System.Threading.StackHelper+<>c__3`3	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005aaff4	0x949324d3	0x102a74340	0x102a74340	mapped	0x102a74340
System.Text.RegularExpressions	24	0x06000019	System.Threading.StackHelper+<>c__3`3	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005aaff8	0x94932500	0x102a743f8	0x102a743f8	mapped	0x102a743f8
System.Text.RegularExpressions	25	0x0600001a	System.Threading.StackHelper+<>c__3`3	<CallOnEmptyStack>b__3_1	0x2050	NoInlining	Assembly, HideBySig	0x1005aaffc	0x94932511	0x102a74440	0x102a74440	mapped	0x102a74440
System.Text.RegularExpressions	26	0x0600001b	System.Threading.StackHelper+<>c__4`4	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005ab000	0x9493253c	0x102a744f0	0x102a744f0	mapped	0x102a744f0
System.Text.RegularExpressions	27	0x0600001c	System.Threading.StackHelper+<>c__4`4	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab004	0x94932569	0x102a745a8	0x102a745a8	mapped	0x102a745a8
System.Text.RegularExpressions	28	0x0600001d	System.Threading.StackHelper+<>c__4`4	<CallOnEmptyStack>b__4_1	0x2050	NoInlining	Assembly, HideBySig	0x1005ab008	0x9493257a	0x102a745f0	0x102a745f0	mapped	0x102a745f0
System.Text.RegularExpressions	29	0x0600001e	System.Threading.StackHelper+<>c__7`1	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005ab00c	0x949325a5	0x102a746a0	0x102a746a0	mapped	0x102a746a0
System.Text.RegularExpressions	30	0x0600001f	System.Threading.StackHelper+<>c__7`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab010	0x949325d2	0x102a74758	0x102a74758	mapped	0x102a74758
System.Text.RegularExpressions	31	0x06000020	System.Threading.StackHelper+<>c__7`1	<CallOnEmptyStack>b__7_1	0x2050	NoInlining	Assembly, HideBySig	0x1005ab014	0x949325e3	0x102a747a0	0x102a747a0	mapped	0x102a747a0
System.Text.RegularExpressions	32	0x06000021	System.Threading.StackHelper+<>c__8`2	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005ab018	0x94932615	0x102a7486c	0x102a7486c	mapped	0x102a7486c
System.Text.RegularExpressions	33	0x06000022	System.Threading.StackHelper+<>c__8`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab01c	0x94932642	0x102a74924	0x102a74924	mapped	0x102a74924
System.Text.RegularExpressions	34	0x06000023	System.Threading.StackHelper+<>c__8`2	<CallOnEmptyStack>b__8_1	0x2050	NoInlining	Assembly, HideBySig	0x1005ab020	0x94932653	0x102a7496c	0x102a7496c	mapped	0x102a7496c
System.Text.RegularExpressions	35	0x06000024	System.Threading.StackHelper+<>c__9`3	.cctor	0x2050	NoInlining	Private, Static, HideBySig, SpecialName, RTSpecialName	0x1005ab024	0x94932685	0x102a74a38	0x102a74a38	mapped	0x102a74a38
System.Text.RegularExpressions	36	0x06000025	System.Threading.StackHelper+<>c__9`3	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab028	0x949326b2	0x102a74af0	0x102a74af0	mapped	0x102a74af0
System.Text.RegularExpressions	37	0x06000026	System.Threading.StackHelper+<>c__9`3	<CallOnEmptyStack>b__9_1	0x2050	NoInlining	Assembly, HideBySig	0x1005ab02c	0x949326c3	0x102a74b38	0x102a74b38	mapped	0x102a74b38
System.Text.RegularExpressions	38	0x06000027	System.Threading.StackHelper+<>c__DisplayClass10_0`4	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab030	0x949326f5	0x102a74c04	0x102a74c04	mapped	0x102a74c04
System.Text.RegularExpressions	39	0x06000028	System.Threading.StackHelper+<>c__DisplayClass10_0`4	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab034	0x949326f8	0x102a74c14	0x102a74c14	mapped	0x102a74c14
System.Text.RegularExpressions	40	0x06000029	System.Threading.StackHelper+<>c__DisplayClass11_0`5	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab038	0x94932727	0x102a74cd4	0x102a74cd4	mapped	0x102a74cd4
System.Text.RegularExpressions	41	0x0600002a	System.Threading.StackHelper+<>c__DisplayClass11_0`5	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab03c	0x9493272a	0x102a74ce4	0x102a74ce4	mapped	0x102a74ce4
System.Text.RegularExpressions	42	0x0600002b	System.Threading.StackHelper+<>c__DisplayClass2_0`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab040	0x9493275a	0x102a74da8	0x102a74da8	mapped	0x102a74da8
System.Text.RegularExpressions	43	0x0600002c	System.Threading.StackHelper+<>c__DisplayClass2_0`2	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab044	0x9493275d	0x102a74db8	0x102a74db8	mapped	0x102a74db8
System.Text.RegularExpressions	44	0x0600002d	System.Threading.StackHelper+<>c__DisplayClass3_0`3	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab048	0x9493278c	0x102a74e78	0x102a74e78	mapped	0x102a74e78
System.Text.RegularExpressions	45	0x0600002e	System.Threading.StackHelper+<>c__DisplayClass3_0`3	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab04c	0x9493278f	0x102a74e88	0x102a74e88	mapped	0x102a74e88
System.Text.RegularExpressions	46	0x0600002f	System.Threading.StackHelper+<>c__DisplayClass4_0`4	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab050	0x949327be	0x102a74f48	0x102a74f48	mapped	0x102a74f48
System.Text.RegularExpressions	47	0x06000030	System.Threading.StackHelper+<>c__DisplayClass4_0`4	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab054	0x949327c1	0x102a74f58	0x102a74f58	mapped	0x102a74f58
System.Text.RegularExpressions	48	0x06000031	System.Threading.StackHelper+<>c__DisplayClass7_0`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab058	0x949327f1	0x102a7501c	0x102a7501c	mapped	0x102a7501c
System.Text.RegularExpressions	49	0x06000032	System.Threading.StackHelper+<>c__DisplayClass7_0`1	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab05c	0x949327f4	0x102a7502c	0x102a7502c	mapped	0x102a7502c
System.Text.RegularExpressions	50	0x06000033	System.Threading.StackHelper+<>c__DisplayClass8_0`2	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab060	0x94932822	0x102a750e8	0x102a750e8	mapped	0x102a750e8
System.Text.RegularExpressions	51	0x06000034	System.Threading.StackHelper+<>c__DisplayClass8_0`2	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab064	0x94932825	0x102a750f8	0x102a750f8	mapped	0x102a750f8
System.Text.RegularExpressions	52	0x06000035	System.Threading.StackHelper+<>c__DisplayClass9_0`3	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab068	0x94932853	0x102a751b4	0x102a751b4	mapped	0x102a751b4
System.Text.RegularExpressions	53	0x06000036	System.Threading.StackHelper+<>c__DisplayClass9_0`3	<CallOnEmptyStack>b__0	0x2050	NoInlining	Assembly, HideBySig	0x1005ab06c	0x94932856	0x102a751c4	0x102a751c4	mapped	0x102a751c4
System.Text.RegularExpressions	54	0x06000037	System.Text.StructListBuilder`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab070	0x94932885	0x102a75284	0x102a75284	mapped	0x102a75284
System.Text.RegularExpressions	55	0x06000038	System.Text.StructListBuilder`1	get_Count	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab074	0x949328bd	0x102a75368	0x102a75368	mapped	0x102a75368
System.Text.RegularExpressions	56	0x06000039	System.Text.StructListBuilder`1	AsSpan	0x2050	NoInlining	Public, HideBySig	0x1005ab078	0x949328c8	0x102a75398	0x102a75398	mapped	0x102a75398
System.Text.RegularExpressions	57	0x0600003a	System.Text.StructListBuilder`1	Add	0x2050	264	Public, HideBySig	0x1005ab07c	0x94932904	0x102a7548c	0x102a7548c	mapped	0x102a7548c
System.Text.RegularExpressions	58	0x0600003b	System.Text.StructListBuilder`1	Dispose	0x2050	NoInlining	Public, HideBySig	0x1005ab080	0x94932945	0x102a75594	0x102a75594	mapped	0x102a75594
System.Text.RegularExpressions	59	0x0600003c	System.Text.StructListBuilder`1	GrowAndAdd	0x2050	NoInlining	Private, HideBySig	0x1005ab084	0x9493297d	0x102a75678	0x102a75678	mapped	0x102a75678
System.Text.RegularExpressions	60	0x0600003d	System.Text.ValueStringBuilder	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab088	0x949329e0	0x102a75808	0x102a75808	mapped	0x102a75808
System.Text.RegularExpressions	61	0x0600003e	System.Text.ValueStringBuilder	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005ab08c	0x949329ea	0x102a75834	0x102a75834	mapped	0x102a75834
System.Text.RegularExpressions	62	0x0600003f	System.Text.ValueStringBuilder	get_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab090	0x94932a29	0x102a75934	0x102a75934	mapped	0x102a75934
System.Text.RegularExpressions	63	0x06000040	System.Text.ValueStringBuilder	set_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab094	0x94932a31	0x102a75958	0x102a75958	mapped	0x102a75958
System.Text.RegularExpressions	64	0x06000041	System.Text.ValueStringBuilder	get_Item	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab098	0x94932a39	0x102a7597c	0x102a7597c	mapped	0x102a7597c
System.Text.RegularExpressions	65	0x06000042	System.Text.ValueStringBuilder	ToString	0x2050	NoInlining	Public, Final, Virtual, HideBySig	0x1005ab09c	0x94932a4e	0x102a759d4	0x102a759d4	mapped	0x102a759d4
System.Text.RegularExpressions	66	0x06000043	System.Text.ValueStringBuilder	AsSpan	0x2050	NoInlining	Public, HideBySig	0x1005ab0a0	0x94932a98	0x102a75b00	0x102a75b00	mapped	0x102a75b00
System.Text.RegularExpressions	67	0x06000044	System.Text.ValueStringBuilder	AsSpan	0x2050	NoInlining	Public, HideBySig	0x1005ab0a4	0x94932ab5	0x102a75b78	0x102a75b78	mapped	0x102a75b78
System.Text.RegularExpressions	68	0x06000045	System.Text.ValueStringBuilder	Append	0x2050	264	Public, HideBySig	0x1005ab0a8	0x94932ad9	0x102a75c0c	0x102a75c0c	mapped	0x102a75c0c
System.Text.RegularExpressions	69	0x06000046	System.Text.ValueStringBuilder	Append	0x2050	264	Public, HideBySig	0x1005ab0ac	0x94932afc	0x102a75c9c	0x102a75c9c	mapped	0x102a75c9c
System.Text.RegularExpressions	70	0x06000047	System.Text.ValueStringBuilder	AppendSlow	0x2050	NoInlining	Private, HideBySig	0x1005ab0b0	0x94932b2a	0x102a75d58	0x102a75d58	mapped	0x102a75d58
System.Text.RegularExpressions	71	0x06000048	System.Text.ValueStringBuilder	Append	0x2050	NoInlining	Public, HideBySig	0x1005ab0b4	0x94932b74	0x102a75e84	0x102a75e84	mapped	0x102a75e84
System.Text.RegularExpressions	72	0x06000049	System.Text.ValueStringBuilder	Append	0x2050	NoInlining	Public, HideBySig	0x1005ab0b8	0x94932bb4	0x102a75f88	0x102a75f88	mapped	0x102a75f88
System.Text.RegularExpressions	73	0x0600004a	System.Text.ValueStringBuilder	AppendSpan	0x2050	264	Public, HideBySig	0x1005ab0bc	0x94932bfb	0x102a760a8	0x102a760a8	mapped	0x102a760a8
System.Text.RegularExpressions	74	0x0600004b	System.Text.ValueStringBuilder	GrowAndAppend	0x2050	NoInlining	Private, HideBySig	0x1005ab0c0	0x94932c26	0x102a76158	0x102a76158	mapped	0x102a76158
System.Text.RegularExpressions	75	0x0600004c	System.Text.ValueStringBuilder	Grow	0x2050	NoInlining	Private, HideBySig	0x1005ab0c4	0x94932c4b	0x102a761f0	0x102a761f0	mapped	0x102a761f0
System.Text.RegularExpressions	76	0x0600004d	System.Text.ValueStringBuilder	Dispose	0x2050	264	Public, HideBySig	0x1005ab0c8	0x94932cce	0x102a76400	0x102a76400	mapped	0x102a76400
System.Text.RegularExpressions	77	0x0600004e	System.Text.RegularExpressions.ValueMatch	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1005ab0cc	0x94932d02	0x102a764d4	0x102a764d4	mapped	0x102a764d4
System.Text.RegularExpressions	78	0x0600004f	System.Text.RegularExpressions.ValueMatch	get_Index	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab0d0	0x94932d0a	0x102a764f8	0x102a764f8	mapped	0x102a764f8
System.Text.RegularExpressions	79	0x06000050	System.Text.RegularExpressions.Capture	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1005ab0d4	0x94932d12	0x102a7651c	0x102a7651c	mapped	0x102a7651c
System.Text.RegularExpressions	80	0x06000051	System.Text.RegularExpressions.Capture	get_Index	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab0d8	0x94932d22	0x102a76560	0x102a76560	mapped	0x102a76560
System.Text.RegularExpressions	81	0x06000052	System.Text.RegularExpressions.Capture	set_Index	0x2050	NoInlining	FamANDAssem, HideBySig, SpecialName	0x1005ab0dc	0x94932d2a	0x102a76584	0x102a76584	mapped	0x102a76584
System.Text.RegularExpressions	82	0x06000053	System.Text.RegularExpressions.Capture	get_Length	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005ab0e0	0x94932d32	0x102a765a8	0x102a765a8	mapped	0x102a765a8
