assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Threading.Channels	0	0x06000001	System.Collections.Generic.Deque`1	get_IsEmpty	0x2050	NoInlining	Public, HideBySig, SpecialName	0x1005bb098	0x949522b0	0x102b03b58	0x102b03b58	mapped	0x102b03b58
System.Threading.Channels	1	0x06000002	System.Collections.Generic.Deque`1	DequeueHead	0x2050	NoInlining	Public, HideBySig	0x1005bb09c	0x949522bd	0x102b03b90	0x102b03b90	mapped	0x102b03b90
System.Threading.Channels	2	0x06000003	System.Collections.Generic.Deque`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005bb0a0	0x949522f4	0x102b03c70	0x102b03c70	mapped	0x102b03c70
System.Threading.Channels	3	0x06000004	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005bb0a4	0x9495232c	0x102b03d54	0x102b03d54	mapped	0x102b03d54
System.Threading.Channels	4	0x06000005	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	Enqueue	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0a8	0x9495236f	0x102b03e64	0x102b03e64	mapped	0x102b03e64
System.Threading.Channels	5	0x06000006	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	EnqueueSlow	0x2050	NoInlining	Private, HideBySig	0x1005bb0ac	0x949523cd	0x102b03fe0	0x102b03fe0	mapped	0x102b03fe0
System.Threading.Channels	6	0x06000007	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	TryDequeue	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0b0	0x9495249a	0x102b04318	0x102b04318	mapped	0x102b04318
System.Threading.Channels	7	0x06000008	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	TryPeek	0x2050	NoInlining	Public, HideBySig	0x1005bb0b4	0x94952504	0x102b044c4	0x102b044c4	mapped	0x102b044c4
System.Threading.Channels	8	0x06000009	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	TryDequeueSlow	0x2050	NoInlining	Private, HideBySig	0x1005bb0b8	0x9495255f	0x102b04634	0x102b04634	mapped	0x102b04634
System.Threading.Channels	9	0x0600000a	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	get_IsEmpty	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask, SpecialName	0x1005bb0bc	0x949525ff	0x102b048b8	0x102b048b8	mapped	0x102b048b8
System.Threading.Channels	10	0x0600000b	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	GetEnumerator	0x2050	NoInlining	Public, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0c0	0x94952625	0x102b04954	0x102b04954	mapped	0x102b04954
System.Threading.Channels	11	0x0600000c	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1	System.Collections.IEnumerable.GetEnumerator	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0c4	0x94952653	0x102b04a10	0x102b04a10	mapped	0x102b04a10
System.Threading.Channels	12	0x0600000d	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1+Segment	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1005bb0c8	0x94952681	0x102b04acc	0x102b04acc	mapped	0x102b04acc
System.Threading.Channels	13	0x0600000e	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1+<GetEnumerator>d__15	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x1005bb0cc	0x949526b4	0x102b04b9c	0x102b04b9c	mapped	0x102b04b9c
System.Threading.Channels	14	0x0600000f	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1+<GetEnumerator>d__15	System.IDisposable.Dispose	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0d0	0x949526bf	0x102b04bcc	0x102b04bcc	mapped	0x102b04bcc
System.Threading.Channels	15	0x06000010	System.Collections.Concurrent.SingleProducerSingleConsumerQueue`1+<GetEnumerator>d__15	MoveNext	0x2050	NoInlining	Private, Final, Virtual, HideBySig, VtableLayoutMask	0x1005bb0d4	0x949526c2	0x102b04bdc	0x102b04bdc	mapped	0x102b04bdc
