assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
System.Web.HttpUtility	0	0x06000001	System.HexConverter	ToCharLower	0x2050	264	Public, Static, HideBySig	0x1005bbdf8	0x949544d0	0x102b0d138	0x102b0d138	mapped	0x102b0d138
System.Web.HttpUtility	1	0x06000002	System.HexConverter	FromChar	0x2050	264	Public, Static, HideBySig	0x1005bbdfc	0x949544d6	0x102b0d154	0x102b0d154	mapped	0x102b0d154
System.Web.HttpUtility	2	0x06000003	System.HexConverter	get_CharToHexLookup	0x2050	NoInlining	Public, Static, HideBySig, SpecialName	0x1005bbe00	0x94954501	0x102b0d204	0x102b0d204	mapped	0x102b0d204
System.Web.HttpUtility	3	0x06000004	System.Web.HttpUtility	ParseQueryString	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe04	0x94954517	0x102b0d260	0x102b0d260	mapped	0x102b0d260
System.Web.HttpUtility	4	0x06000005	System.Web.HttpUtility	ParseQueryString	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe08	0x94954538	0x102b0d2e8	0x102b0d2e8	mapped	0x102b0d2e8
System.Web.HttpUtility	5	0x06000006	System.Web.HttpUtility	UrlEncode	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe0c	0x949545bd	0x102b0d500	0x102b0d500	mapped	0x102b0d500
System.Web.HttpUtility	6	0x06000007	System.Web.HttpUtility	UrlEncode	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe10	0x949545de	0x102b0d588	0x102b0d588	mapped	0x102b0d588
System.Web.HttpUtility	7	0x06000008	System.Web.HttpUtility	UrlEncodeToBytes	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe14	0x9495460f	0x102b0d650	0x102b0d650	mapped	0x102b0d650
System.Web.HttpUtility	8	0x06000009	System.Web.HttpUtility	UrlDecode	0x2050	NoInlining	Public, Static, HideBySig	0x1005bbe18	0x9495462f	0x102b0d6d4	0x102b0d6d4	mapped	0x102b0d6d4
System.Web.HttpUtility	9	0x0600000a	System.Web.HttpUtility+HttpQSCollection	.ctor	0x2050	NoInlining	Assembly, HideBySig, SpecialName, RTSpecialName	0x1005bbe1c	0x9495463e	0x102b0d714	0x102b0d714	mapped	0x102b0d714
