assembly	index	token	type	method	rva	impl_attrs	attrs	call_entry	call_insn	initial_target	native_address	status	resolve_chain
xTile	0	0x06000001	xTile.Map	get_DisplaySize	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c178	0x94829784	0x1024b1f88	0x1024b1f88	mapped	0x1024b1f88
xTile	1	0x06000002	xTile.Map	get_DisplayWidth	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c17c	0x9482978c	0x1024b1fac	0x1024b1fac	mapped	0x1024b1fac
xTile	2	0x06000003	xTile.Map	get_DisplayHeight	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c180	0x9482979a	0x1024b1fe8	0x1024b1fe8	mapped	0x1024b1fe8
xTile	3	0x06000004	xTile.Map	get_Layers	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c184	0x948297a8	0x1024b2024	0x1024b2024	mapped	0x1024b2024
xTile	4	0x06000005	xTile.Map	get_TileSheets	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c188	0x948297b0	0x1024b2048	0x1024b2048	mapped	0x1024b2048
xTile	5	0x06000006	xTile.Map	get_ElapsedTime	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c18c	0x948297b8	0x1024b206c	0x1024b206c	mapped	0x1024b206c
xTile	6	0x06000007	xTile.Map	set_ElapsedTime	0x2050	NoInlining	Public, HideBySig, SpecialName	0x10040c190	0x948297c0	0x1024b2090	0x1024b2090	mapped	0x1024b2090
xTile	7	0x06000008	xTile.Map	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10040c194	0x948297c8	0x1024b20b4	0x1024b20b4	mapped	0x1024b20b4
xTile	8	0x06000009	xTile.Map	.ctor	0x2050	NoInlining	Public, HideBySig, SpecialName, RTSpecialName	0x10040c198	0x9482983e	0x1024b2290	0x1024b2290	mapped	0x1024b2290
xTile	9	0x0600000a	xTile.Map	GetFullAssetPath	0x2050	NoInlining	Public, HideBySig	0x10040c19c	0x948298bf	0x1024b2498	0x1024b2498	mapped	0x1024b2498
xTile	10	0x0600000b	xTile.Map	FlattenTileSheetPaths	0x2050	NoInlining	Public, HideBySig	0x10040c1a0	0x948298f3	0x1024b256c	0x1024b256c	mapped	0x1024b256c
xTile	11	0x0600000c	xTile.Map	GetLayer	0x2050	NoInlining	Public, HideBySig	0x10040c1a4	0x94829955	0x1024b26f8	0x1024b26f8	mapped	0x1024b26f8
xTile	12	0x0600000d	xTile.Map	AddLayer	0x2050	NoInlining	Public, HideBySig	0x10040c1a8	0x9482997f	0x1024b27a4	0x1024b27a4	mapped	0x1024b27a4
xTile	13	0x0600000e	xTile.Map	InsertLayer	0x2050	NoInlining	Public, HideBySig	0x10040c1ac	0x94829999	0x1024b2810	0x1024b2810	mapped	0x1024b2810
xTile	14	0x0600000f	xTile.Map	RemoveLayer	0x2050	NoInlining	Public, HideBySig	0x10040c1b0	0x948299f3	0x1024b297c	0x1024b297c	mapped	0x1024b297c
