assembly	type	method	token	native_address	linux_counterpart	managed_metadata_evidence	native_evidence	status	confidence	notes	completed_commit
StardewValley	StardewValley.Mobile.AStarGraph	Distance	0x06006606	0x101fa33c4	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006606__SDV_StardewValley_Mobile_AStarGraph_Distance_06006606.c	verified	high	Squared Euclidean float; direct ARM64 has no sqrt.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	IsNeighbouringNode	0x06006607	0x101fa33f0	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006607__SDV_StardewValley_Mobile_AStarGraph_IsNeighbouringNode_06006607.c	verified	high	Eight surrounding cells, excluding same coordinate; null false.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	IsNeighbouringNodeNoDiagonals	0x06006608	0x101fa3498	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006608__SDV_StardewValley_Mobile_AStarGraph_IsNeighbouringNodeNoDiagonals_06006608.c	verified	high	Exact N/S/E/W adjacency; null false.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	IsNeighbouringNodeOnDiagonal	0x06006609	0x101fa3504	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006609__SDV_StardewValley_Mobile_AStarGraph_IsNeighbouringNodeOnDiagonal_06006609.c	verified	high	Exact four diagonal neighbours; null false.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	IsSameNode	0x0600660A	0x101fa3564	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600660a__SDV_StardewValley_Mobile_AStarGraph_IsSameNode_0600660a.c	verified	high	Coordinate equality; null false.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	OppositeWalkDirection	0x0600660B	0x101fa359c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600660b__SDV_StardewValley_Mobile_AStarGraph_OppositeWalkDirection_0600660b.c	verified	high	Native table 2,1,4,3,8,7,6,5 for enum values 1..8; otherwise None.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionToNextNode	0x0600660D	0x101fa36b4	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600660d__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionToNextNode_0600660d.c	verified	high	Exact one-cell cardinal/diagonal relation from native comparisons; null -> None.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionBetweenNodes	0x0600660E	0x101fa37f0	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600660e__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionBetweenNodes_0600660e.c	verified	high	Relative coordinate direction; null dereference behavior preserved.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionBetweenTwoPoints	0x0600660F	0x101fa391c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600660f__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionBetweenTwoPoints_0600660f.c	verified	high	Threshold-gated diagonals then dominant-axis cardinal fallback.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionBetweenTwoPointsNoDiagonals	0x06006610	0x101fa3a04	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006610__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionBetweenTwoPointsNoDiagonals_06006610.c	verified	high	Dominant-axis cardinal direction, None only when coordinates equal.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionBetweenTwoNodes	0x06006611	0x101fa3a58	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006611__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionBetweenTwoNodes_06006611.c	verified	high	Dominant-axis cardinal direction using integer abs; null dereference behavior preserved.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	WalkDirectionBetweenTwoTiles	0x06006612	0x101fa3b5c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006612__SDV_StardewValley_Mobile_AStarGraph_WalkDirectionBetweenTwoTiles_06006612.c	verified	high	32-pixel cardinal/diagonal thresholds then dominant-axis fallback; identical points fall through to Down.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	distance	0x06006619	0x101fa7310	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/06006619__SDV_StardewValley_Mobile_AStarGraph_distance_06006619.c	verified	high	True Euclidean double with sqrt; argument order x1,x2,y1,y2.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	GetShortestPathAStarWithBubbleCheck	0x0600661A	0x101fa733c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600661a__SDV_StardewValley_Mobile_AStarGraph_GetShortestPathAStarWithBubbleCheck_0600661a.c	verified	high	Bubble reachability gate around core A*; secondary flood and merge when required.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	PathBetweenNodesExists	0x0600661B	0x101fa7410	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600661b__SDV_StardewValley_Mobile_AStarGraph_PathBetweenNodesExists_0600661b.c	verified	high	Bubble equality or fake-clear unassigned end adjacent cardinally to start bubble.	0de7f431a06d1c1f1787c80319281451953e094d
StardewValley	StardewValley.Mobile.AStarGraph	walkingDirectionToStardewDirection	0x0600661C	0x101fa7538	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/AStarGraph.cs	native-aot/pseudocode/mobile-core/c/0600661c__SDV_StardewValley_Mobile_AStarGraph_walkingDirectionToStardewDirection_0600661c.c	verified	high	Cardinal mapping Up=0 Down=2 Left=3 Right=1; other directions return -1.	0de7f431a06d1c1f1787c80319281451953e094d
