assembly	type	method	token	native_address	linux_counterpart	managed_metadata_evidence	native_evidence	status	confidence	notes	completed_commit
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsMatureTreeStumpOrBoulderAt	0x060066F0	0x101fcc7b0	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/060066f0__SDV_StardewValley_Mobile_TapToMoveUtils_IsMatureTreeStumpOrBoulderAt_060066f0.c	verified	high	Short-circuit tree, growth>=1, choppable-bush point, stump, boulder in native order; preserves tile coords passed directly to pixel-named bush helper; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsTreeStumpOrBoulderAt	0x060066F1	0x101fcc848	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/060066f1__SDV_StardewValley_Mobile_TapToMoveUtils_IsTreeStumpOrBoulderAt_060066f1.c	verified	high	Short-circuit tree, stump, boulder, choppable-bush point; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsStumpAt(AStarNode)	0x06006701	0x101fcd904	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006701__SDV_StardewValley_Mobile_TapToMoveUtils_IsStumpAt_06006701.c	verified	high	Direct node x/y delegation; null follows native failure; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsStumpAt(Vector2)	0x06006702	0x101fcd954	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006702__SDV_StardewValley_Mobile_TapToMoveUtils_IsStumpAt_06006702.c	verified	high	Truncate Vector2 and delegate; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsStumpAt(int,int)	0x06006703	0x101fcd994	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006703__SDV_StardewValley_Mobile_TapToMoveUtils_IsStumpAt_06006703.c	verified	high	resourceClumps occupiesTile; parentSheetIndex 600/602 stump/hollow-log; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsGiantWeedAt(AStarNode)	0x06006704	0x101fcdb20	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006704__SDV_StardewValley_Mobile_TapToMoveUtils_IsGiantWeedAt_06006704.c	verified	high	Direct node x/y delegation; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsGiantWeedAt(Vector2)	0x06006705	0x101fcdb70	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006705__SDV_StardewValley_Mobile_TapToMoveUtils_IsGiantWeedAt_06006705.c	verified	high	Truncate Vector2 and delegate; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsGiantWeedAt(int,int)	0x06006706	0x101fcdbb0	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006706__SDV_StardewValley_Mobile_TapToMoveUtils_IsGiantWeedAt_06006706.c	verified	high	resourceClumps occupiesTile; parentSheetIndex 44/46 green-rain bushes; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsBoulderAt(AStarNode)	0x06006707	0x101fcdd3c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006707__SDV_StardewValley_Mobile_TapToMoveUtils_IsBoulderAt_06006707.c	verified	high	Direct node x/y delegation; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsBoulderAt(Vector2)	0x06006708	0x101fcdd8c	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006708__SDV_StardewValley_Mobile_TapToMoveUtils_IsBoulderAt_06006708.c	verified	high	Truncate Vector2 and delegate; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
StardewValley	StardewValley.Mobile.TapToMoveUtils	IsBoulderAt(int,int)	0x06006709	0x101fcddcc	absent_mobile_only	managed-metadata/source-skeleton/StardewValley.Mobile/TapToMoveUtils.cs	native-aot/pseudocode/mobile-core/c/06006709__SDV_StardewValley_Mobile_TapToMoveUtils_IsBoulderAt_06006709.c	verified	high	Farm/MineShaft resourceClump boulders plus objects ItemId Stone/Boulder fallback; CLASS/literals exact; cluster compile 0 warnings/errors.	2c00b5a77aeb2aae0c0117f5b18316d18f090c64
