relative_path	uncompressed_bytes	compressed_bytes
ContentHashes.json	243130	91582
Strings/Notes.hu-HU.xnb	6518	6523
Strings/Locations.fr-FR.xnb	16428	16434
Strings/StringsFromMaps.it-IT.xnb	11014	11019
Strings/Characters.de-DE.xnb	7350	7355
Strings/EnchantmentNames.ja-JP.xnb	586	591
Strings/SimpleNonVillagerDialogues.zh-CN.xnb	1906	1911
Strings/Movies.es-ES.xnb	3922	3927
Strings/FarmAnimals.ja-JP.xnb	982	987
Strings/1_6_Strings.hu-HU.xnb	19866	19876
Strings/UI.es-ES.xnb	19722	19732
Strings/MovieConcessions.ja-JP.xnb	1838	1843
Strings/animationDescriptions.hu-HU.xnb	1178	1183
Strings/Characters.ko-KR.xnb	7228	7233
Strings/credits.zh-CN.xnb	1382	1387
Strings/Pants.ru-RU.xnb	1312	1317
Strings/SimpleNonVillagerDialogues.xnb	1784	1789
Strings/EnchantmentNames.it-IT.xnb	498	503
Strings/StringsFromMaps.ja-JP.xnb	12504	12509
Strings/Weapons.zh-CN.xnb	3158	3163
Strings/Locations.ko-KR.xnb	16606	16616
Strings/NPCNames.pt-BR.xnb	618	623
Strings/FarmAnimals.it-IT.xnb	944	949
Strings/MovieConcessions.it-IT.xnb	1582	1587
Strings/Locations.de-DE.xnb	16530	16540
Strings/Characters.fr-FR.xnb	7146	7151
Strings/StringsFromCSFiles.hu-HU.xnb	33452	33467
Strings/Tools.es-ES.xnb	1332	1337
Strings/Movies.it-IT.xnb	3944	3949
Strings/Pants.xnb	972	977
Strings/Buildings.pt-BR.xnb	1846	1851
Strings/StringsFromMaps.es-ES.xnb	11198	11203
Strings/BundleNames.de-DE.xnb	556	561
Strings/Tools.ja-JP.xnb	1340	1345
Strings/BundleNames.ko-KR.xnb	628	633
Strings/Shirts.zh-CN.xnb	7514	7519
Strings/Furniture.pt-BR.xnb	7800	7805
Strings/Pants.tr-TR.xnb	1072	1077
Strings/UI.it-IT.xnb	19366	19376
Strings/FarmAnimals.xnb	838	843
Strings/SpecialOrderStrings.fr-FR.xnb	4700	4705
Strings/FarmAnimals.es-ES.xnb	924	929
Strings/Movies.ja-JP.xnb	4164	4169
Strings/EnchantmentNames.es-ES.xnb	502	507
Strings/SpecialOrderStrings.de-DE.xnb	4756	4761
Strings/Tools.it-IT.xnb	1342	1347
Strings/SpecialOrderStrings.ko-KR.xnb	4788	4793
Strings/BundleNames.fr-FR.xnb	622	627
Strings/MovieConcessions.es-ES.xnb	1614	1619
Strings/UI.ja-JP.xnb	21294	21304
Strings/Locations.it-IT.xnb	15776	15781
Strings/MovieConcessions.de-DE.xnb	1566	1571
Strings/FarmAnimals.ko-KR.xnb	1032	1037
Strings/StringsFromCSFiles.pt-BR.xnb	31968	31978
Strings/StringsFromMaps.fr-FR.xnb	11504	11509
Strings/Lexicon.tr-TR.xnb	796	801
Strings/EnchantmentNames.ko-KR.xnb	558	563
Strings/SpecialOrderStrings.es-ES.xnb	4624	4629
Strings/NPCNames.hu-HU.xnb	634	639
Strings/Characters.ja-JP.xnb	7790	7795
Strings/EnchantmentNames.de-DE.xnb	488	493
Strings/MovieConcessions.ko-KR.xnb	1740	1745
Strings/MovieReactions.zh-CN.xnb	8988	8993
Strings/FarmAnimals.de-DE.xnb	938	943
Strings/Locations.ja-JP.xnb	17494	17504
Strings/BigCraftables.zh-CN.xnb	6554	6559
Strings/WorldMap.zh-CN.xnb	602	607
Strings/animationDescriptions.pt-BR.xnb	1110	1115
Strings/EnchantmentNames.fr-FR.xnb	524	529
Strings/NPCNames.xnb	558	563
Strings/1_6_Strings.pt-BR.xnb	18960	18970
Strings/FarmAnimals.fr-FR.xnb	980	985
Strings/StringsFromMaps.ko-KR.xnb	11584	11589
Strings/Objects.tr-TR.xnb	30100	30110
Strings/SpeechBubbles.tr-TR.xnb	1586	1591
Strings/MovieConcessions.fr-FR.xnb	1584	1589
Strings/Characters.it-IT.xnb	6834	6839
Strings/BundleNames.es-ES.xnb	606	611
Strings/StringsFromMaps.de-DE.xnb	11432	11437
Strings/Notes.pt-BR.xnb	5934	5939
Strings/Tools.de-DE.xnb	1372	1377
Strings/Movies.fr-FR.xnb	4056	4061
Strings/Lexicon.ru-RU.xnb	926	931
Strings/Locations.es-ES.xnb	15958	15963
Strings/SpecialOrderStrings.xnb	4360	4365
Strings/Quests.zh-CN.xnb	336	341
Strings/Tools.ko-KR.xnb	1420	1425
Strings/BundleNames.ja-JP.xnb	656	661
Strings/SpecialOrderStrings.it-IT.xnb	4644	4649
Strings/UI.fr-FR.xnb	19768	19778
Strings/Events.xnb	920	925
Strings/Events.zh-CN.xnb	1068	1073
Strings/Objects.ru-RU.xnb	37166	37181
Strings/Furniture.hu-HU.xnb	8108	8113
Strings/Movies.ko-KR.xnb	4126	4131
Strings/UI.de-DE.xnb	20258	20268
Strings/Tools.fr-FR.xnb	1412	1417
Strings/SpeechBubbles.ru-RU.xnb	1722	1727
Strings/UI.ko-KR.xnb	20222	20232
Strings/Buildings.hu-HU.xnb	1956	1961
Strings/Movies.de-DE.xnb	3998	4003
Strings/BundleNames.it-IT.xnb	580	585
Strings/Characters.es-ES.xnb	6978	6983
Strings/SpecialOrderStrings.ja-JP.xnb	4932	4937
Strings/Quests.it-IT.xnb	318	323
Strings/SpeechBubbles.pt-BR.xnb	1554	1559
Strings/Shirts.fr-FR.xnb	7682	7687
Strings/MovieReactions.es-ES.xnb	9112	9117
Strings/SpecialOrderStrings.zh-CN.xnb	4556	4561
Strings/Furniture.xnb	6212	6217
Strings/Notes.tr-TR.xnb	5976	5981
Strings/animationDescriptions.tr-TR.xnb	1132	1137
Strings/Events.ja-JP.xnb	1116	1121
Strings/1_6_Strings.tr-TR.xnb	18472	18482
Strings/Objects.pt-BR.xnb	29712	29722
Strings/Quests.ja-JP.xnb	342	347
Strings/BundleNames.zh-CN.xnb	620	625
Strings/Shirts.ko-KR.xnb	7686	7691
Strings/Events.it-IT.xnb	994	999
Strings/Shirts.de-DE.xnb	7836	7841
Strings/StringsFromCSFiles.tr-TR.xnb	32214	32224
Strings/BigCraftables.es-ES.xnb	6596	6601
Strings/WorldMap.es-ES.xnb	572	577
Strings/Lexicon.pt-BR.xnb	788	793
Strings/MovieReactions.it-IT.xnb	9216	9221
Strings/Notes.ru-RU.xnb	7160	7165
Strings/credits.fr-FR.xnb	1314	1319
Strings/Quests.es-ES.xnb	310	315
Strings/Weapons.de-DE.xnb	3206	3211
Strings/WorldMap.ja-JP.xnb	658	663
Strings/animationDescriptions.ru-RU.xnb	1318	1323
Strings/Pants.hu-HU.xnb	1116	1121
Strings/Locations.zh-CN.xnb	16200	16205
Strings/Weapons.ko-KR.xnb	3380	3385
Strings/BigCraftables.ja-JP.xnb	7170	7175
Strings/1_6_Strings.ru-RU.xnb	22330	22340
Strings/Objects.xnb	26948	26958
Strings/SimpleNonVillagerDialogues.fr-FR.xnb	2156	2161
Strings/Characters.zh-CN.xnb	7242	7247
Strings/credits.ko-KR.xnb	1358	1363
Strings/BundleNames.xnb	430	435
Strings/MovieReactions.ja-JP.xnb	9942	9947
Strings/SimpleNonVillagerDialogues.de-DE.xnb	2004	2009
Strings/WorldMap.it-IT.xnb	570	575
Strings/StringsFromCSFiles.ru-RU.xnb	38190	38205
Strings/BigCraftables.it-IT.xnb	6524	6529
Strings/SimpleNonVillagerDialogues.ko-KR.xnb	2006	2011
Strings/Movies.xnb	3656	3661
Strings/credits.de-DE.xnb	1278	1283
Strings/Events.es-ES.xnb	988	993
Strings/Weapons.fr-FR.xnb	3152	3157
Strings/Quests.fr-FR.xnb	328	333
Strings/Lexicon.hu-HU.xnb	812	817
Strings/Events.de-DE.xnb	996	1001
Strings/credits.es-ES.xnb	1268	1273
Strings/Shirts.it-IT.xnb	7744	7749
Strings/UI.zh-CN.xnb	19628	19638
Strings/Movies.zh-CN.xnb	4158	4163
Strings/Quests.xnb	304	309
Strings/SimpleNonVillagerDialogues.es-ES.xnb	1962	1967
Strings/Lexicon.xnb	740	745
Strings/NPCNames.tr-TR.xnb	620	625
Strings/Events.ko-KR.xnb	1130	1135
Strings/Furniture.ru-RU.xnb	9486	9491
Strings/Objects.hu-HU.xnb	31270	31280
Strings/Shirts.ja-JP.xnb	8166	8171
Strings/Tools.zh-CN.xnb	1296	1301
Strings/Quests.ko-KR.xnb	362	367
Strings/Weapons.es-ES.xnb	3006	3011
Strings/Quests.de-DE.xnb	324	329
Strings/Events.fr-FR.xnb	1040	1045
Strings/Buildings.ru-RU.xnb	2294	2299
Strings/SpeechBubbles.hu-HU.xnb	1530	1535
Strings/WorldMap.de-DE.xnb	556	561
Strings/BigCraftables.de-DE.xnb	6764	6769
Strings/Shirts.es-ES.xnb	7522	7527
Strings/credits.it-IT.xnb	1242	1247
Strings/MovieReactions.fr-FR.xnb	9318	9323
Strings/UI.xnb	17596	17606
Strings/StringsFromMaps.zh-CN.xnb	11480	11485
Strings/WorldMap.ko-KR.xnb	612	617
Strings/SimpleNonVillagerDialogues.it-IT.xnb	1924	1929
Strings/Weapons.ja-JP.xnb	3532	3537
Strings/NPCNames.ru-RU.xnb	936	941
Strings/BigCraftables.ko-KR.xnb	6896	6901
Strings/MovieReactions.ko-KR.xnb	9486	9491
Strings/MovieConcessions.zh-CN.xnb	1740	1745
Strings/Furniture.tr-TR.xnb	8034	8039
Strings/Pants.pt-BR.xnb	1022	1027
Strings/credits.ja-JP.xnb	1428	1433
Strings/EnchantmentNames.zh-CN.xnb	542	547
Strings/WorldMap.fr-FR.xnb	586	591
Strings/BigCraftables.fr-FR.xnb	6780	6785
Strings/MovieReactions.de-DE.xnb	9564	9569
Strings/FarmAnimals.zh-CN.xnb	952	957
Strings/Buildings.tr-TR.xnb	1850	1855
Strings/Weapons.it-IT.xnb	3034	3039
Strings/SimpleNonVillagerDialogues.ja-JP.xnb	2006	2011
Strings/SpecialOrderStrings.pt-BR.xnb	4424	4429
Strings/Furniture.fr-FR.xnb	7950	7955
Strings/SpeechBubbles.zh-CN.xnb	1630	1635
Strings/StringsFromCSFiles.es-ES.xnb	32234	32244
Strings/Buildings.fr-FR.xnb	1944	1949
Strings/Objects.zh-CN.xnb	30082	30092
Strings/Tools.hu-HU.xnb	1392	1397
Strings/WorldMap.tr-TR.xnb	594	599
Strings/Events.ru-RU.xnb	1284	1289
Strings/BigCraftables.tr-TR.xnb	6684	6689
Strings/MovieReactions.tr-TR.xnb	8958	8963
Strings/BundleNames.pt-BR.xnb	600	605
Strings/Movies.hu-HU.xnb	4092	4097
Strings/Buildings.de-DE.xnb	1954	1959
Strings/Furniture.ko-KR.xnb	8268	8273
Strings/StringsFromMaps.xnb	10632	10637
Strings/Notes.es-ES.xnb	6072	6077
Strings/Quests.ru-RU.xnb	356	361
Strings/animationDescriptions.es-ES.xnb	1164	1169
Strings/Lexicon.zh-CN.xnb	900	905
Strings/Buildings.xnb	1640	1645
Strings/Buildings.ko-KR.xnb	2088	2093
Strings/UI.hu-HU.xnb	20408	20418
Strings/1_6_Strings.es-ES.xnb	19286	19296
Strings/Furniture.de-DE.xnb	7884	7889
Strings/EnchantmentNames.hu-HU.xnb	524	529
Strings/NPCNames.de-DE.xnb	610	615
Strings/Notes.ja-JP.xnb	6956	6961
Strings/FarmAnimals.hu-HU.xnb	940	945
Strings/Notes.xnb	5806	5811
Strings/MovieConcessions.hu-HU.xnb	1668	1673
Strings/1_6_Strings.ja-JP.xnb	20102	20112
Strings/Locations.pt-BR.xnb	15866	15871
Strings/BigCraftables.ru-RU.xnb	7866	7871
Strings/NPCNames.ko-KR.xnb	888	893
Strings/Events.tr-TR.xnb	1038	1043
Strings/WorldMap.ru-RU.xnb	676	681
Strings/StringsFromCSFiles.it-IT.xnb	32284	32294
Strings/animationDescriptions.ja-JP.xnb	1346	1351
Strings/StringsFromMaps.hu-HU.xnb	11718	11723
Strings/Notes.it-IT.xnb	5932	5937
Strings/MovieReactions.ru-RU.xnb	10480	10485
Strings/Quests.tr-TR.xnb	298	303
Strings/Characters.pt-BR.xnb	6774	6779
Strings/NPCNames.fr-FR.xnb	620	625
Strings/1_6_Strings.it-IT.xnb	19138	19148
Strings/Tools.xnb	1172	1177
Strings/StringsFromCSFiles.ja-JP.xnb	35570	35585
Strings/animationDescriptions.it-IT.xnb	1150	1155
Strings/UI.pt-BR.xnb	19078	19088
Strings/Furniture.it-IT.xnb	7706	7711
Strings/Buildings.it-IT.xnb	1900	1905
Strings/StringsFromCSFiles.xnb	30330	30340
Strings/Weapons.tr-TR.xnb	3060	3065
Strings/Shirts.xnb	6748	6753
Strings/Movies.pt-BR.xnb	3776	3781
Strings/BundleNames.hu-HU.xnb	596	601
Strings/credits.tr-TR.xnb	1292	1297
Strings/Shirts.ru-RU.xnb	8908	8913
Strings/Tools.pt-BR.xnb	1322	1327
Strings/Furniture.ja-JP.xnb	8960	8965
Strings/Buildings.ja-JP.xnb	2110	2115
Strings/animationDescriptions.xnb	1056	1061
Strings/SimpleNonVillagerDialogues.tr-TR.xnb	1886	1891
Strings/SpeechBubbles.xnb	1422	1427
Strings/SpecialOrderStrings.hu-HU.xnb	4794	4799
Strings/NPCNames.es-ES.xnb	616	621
Strings/Furniture.es-ES.xnb	7810	7815
Strings/EnchantmentNames.xnb	392	397
Strings/1_6_Strings.de-DE.xnb	19966	19976
Strings/animationDescriptions.de-DE.xnb	1180	1185
Strings/Notes.ko-KR.xnb	6244	6249
Strings/Weapons.ru-RU.xnb	3638	3643
Strings/Characters.hu-HU.xnb	7198	7203
Strings/NPCNames.ja-JP.xnb	918	923
Strings/Notes.de-DE.xnb	6494	6499
Strings/animationDescriptions.ko-KR.xnb	1302	1307
Strings/StringsFromMaps.pt-BR.xnb	11166	11171
Strings/Buildings.es-ES.xnb	1904	1909
Strings/StringsFromCSFiles.fr-FR.xnb	33248	33263
Strings/1_6_Strings.ko-KR.xnb	19912	19922
Strings/Pants.zh-CN.xnb	1068	1073
Strings/credits.ru-RU.xnb	1458	1463
Strings/Notes.fr-FR.xnb	6622	6627
Strings/Locations.hu-HU.xnb	16624	16634
Strings/WorldMap.xnb	492	497
Strings/MovieConcessions.pt-BR.xnb	1552	1557
Strings/StringsFromCSFiles.de-DE.xnb	33366	33381
Strings/Shirts.tr-TR.xnb	7834	7839
Strings/NPCNames.it-IT.xnb	612	617
Strings/SimpleNonVillagerDialogues.ru-RU.xnb	2194	2199
Strings/StringsFromCSFiles.ko-KR.xnb	32818	32828
Strings/FarmAnimals.pt-BR.xnb	906	911
Strings/1_6_Strings.fr-FR.xnb	19752	19762
Strings/BigCraftables.xnb	5832	5837
Strings/EnchantmentNames.pt-BR.xnb	516	521
Strings/animationDescriptions.fr-FR.xnb	1186	1191
Strings/FarmAnimals.ru-RU.xnb	1174	1179
Strings/SimpleNonVillagerDialogues.pt-BR.xnb	1864	1869
Strings/EnchantmentNames.ru-RU.xnb	634	639
Strings/credits.pt-BR.xnb	1258	1263
Strings/BigCraftables.hu-HU.xnb	6794	6799
Strings/Pants.ja-JP.xnb	1176	1181
Strings/WorldMap.hu-HU.xnb	576	581
Strings/Tools.tr-TR.xnb	1282	1287
Strings/MovieReactions.xnb	8514	8519
Strings/MovieConcessions.ru-RU.xnb	1964	1969
Strings/Weapons.pt-BR.xnb	2984	2989
Strings/NPCNames.zh-CN.xnb	914	919
Strings/StringsFromMaps.ru-RU.xnb	12896	12901
Strings/MovieReactions.hu-HU.xnb	9108	9113
Strings/Movies.tr-TR.xnb	3914	3919
Strings/Pants.it-IT.xnb	1060	1065
Strings/UI.tr-TR.xnb	19492	19502
Strings/1_6_Strings.xnb	17846	17856
Strings/Objects.fr-FR.xnb	31328	31338
Strings/Buildings.zh-CN.xnb	1880	1885
Strings/FarmAnimals.tr-TR.xnb	910	915
Strings/EnchantmentNames.tr-TR.xnb	526	531
Strings/Lexicon.ko-KR.xnb	898	903
Strings/Events.hu-HU.xnb	1034	1039
Strings/Lexicon.de-DE.xnb	816	821
Strings/SpeechBubbles.fr-FR.xnb	1608	1613
Strings/MovieConcessions.tr-TR.xnb	1620	1625
Strings/Furniture.zh-CN.xnb	8070	8075
Strings/Tools.ru-RU.xnb	1580	1585
Strings/Shirts.pt-BR.xnb	7336	7341
Strings/Lexicon.fr-FR.xnb	802	807
Strings/Quests.hu-HU.xnb	336	341
Strings/SpeechBubbles.de-DE.xnb	1564	1569
Strings/Movies.ru-RU.xnb	4612	4617
Strings/Characters.xnb	6428	6433
Strings/Objects.ko-KR.xnb	30950	30960
Strings/StringsFromMaps.tr-TR.xnb	11152	11157
Strings/SpeechBubbles.ko-KR.xnb	1702	1707
Strings/UI.ru-RU.xnb	22586	22596
Strings/Objects.de-DE.xnb	31698	31708
Strings/Weapons.xnb	2710	2715
Strings/credits.xnb	1230	1235
Strings/Pants.es-ES.xnb	1086	1091
Strings/Pants.de-DE.xnb	1074	1079
Strings/MovieConcessions.xnb	1434	1439
Strings/Objects.es-ES.xnb	30398	30408
Strings/StringsFromCSFiles.zh-CN.xnb	33030	33045
Strings/Locations.xnb	14814	14819
Strings/BundleNames.tr-TR.xnb	584	589
Strings/MovieReactions.pt-BR.xnb	8438	8443
Strings/SpeechBubbles.es-ES.xnb	1494	1499
Strings/Characters.ru-RU.xnb	7992	7997
Strings/Weapons.hu-HU.xnb	3138	3143
Strings/Pants.ko-KR.xnb	1186	1191
Strings/1_6_Strings.zh-CN.xnb	18736	18746
Strings/WorldMap.pt-BR.xnb	580	585
Strings/Lexicon.es-ES.xnb	816	821
Strings/animationDescriptions.zh-CN.xnb	1226	1231
Strings/Locations.ru-RU.xnb	18322	18332
Strings/credits.hu-HU.xnb	1292	1297
Strings/BigCraftables.pt-BR.xnb	6534	6539
Strings/Notes.zh-CN.xnb	6388	6393
Strings/Pants.fr-FR.xnb	1066	1071
Strings/SpecialOrderStrings.tr-TR.xnb	4502	4507
Strings/SimpleNonVillagerDialogues.hu-HU.xnb	2070	2075
Strings/Lexicon.ja-JP.xnb	898	903
Strings/Objects.it-IT.xnb	30192	30202
Strings/BundleNames.ru-RU.xnb	724	729
Strings/Quests.pt-BR.xnb	326	331
Strings/SpeechBubbles.it-IT.xnb	1542	1547
Strings/Characters.tr-TR.xnb	6792	6797
Strings/Shirts.hu-HU.xnb	7818	7823
Strings/Objects.ja-JP.xnb	33096	33111
Strings/Lexicon.it-IT.xnb	842	847
Strings/Locations.tr-TR.xnb	15704	15709
Strings/Events.pt-BR.xnb	956	961
Strings/SpecialOrderStrings.ru-RU.xnb	5314	5319
Strings/SpeechBubbles.ja-JP.xnb	1666	1671
TerrainFeatures/Flooring.xnb	13338	13154
TerrainFeatures/tree2_greenRain_fall.xnb	2782	2787
TerrainFeatures/tree1_winter.xnb	1974	1979
TerrainFeatures/tree1_spring.xnb	4786	4791
TerrainFeatures/upperCavePlants.xnb	1566	1571
TerrainFeatures/Stalagmite_Lava.xnb	1400	1405
TerrainFeatures/tree1_greenRain_fall.xnb	2710	2715
TerrainFeatures/tree1_fall.xnb	3980	3985
TerrainFeatures/tree3_winter.xnb	2148	2153
TerrainFeatures/tree_palm2.xnb	2496	2501
TerrainFeatures/tree_palm.xnb	1914	1919
TerrainFeatures/tree3_spring.xnb	3278	3283
TerrainFeatures/tree3_greenRain.xnb	1590	1595
TerrainFeatures/hoeDirt.xnb	4254	4259
TerrainFeatures/tree1_greenRain_winter.xnb	1820	1825
TerrainFeatures/Flooring_winter.xnb	13496	13301
TerrainFeatures/tree1_summer.xnb	3932	3937
TerrainFeatures/Stalagmite_Frost.xnb	1278	1283
TerrainFeatures/hoeDirtSnow.xnb	6112	6117
TerrainFeatures/tree3_fall.xnb	3334	3339
TerrainFeatures/tree2_fall.xnb	3132	3137
TerrainFeatures/tree2_greenRain_winter.xnb	1812	1817
TerrainFeatures/tree2_greenRain.xnb	4362	4367
TerrainFeatures/tree8_winter.xnb	1688	1693
TerrainFeatures/tree8_spring.xnb	2192	2197
TerrainFeatures/tree2_summer.xnb	3542	3547
TerrainFeatures/grass.xnb	5884	5839
TerrainFeatures/tree8_fall.xnb	2184	2189
TerrainFeatures/mystic_tree.xnb	2512	2517
TerrainFeatures/tree1_greenRain.xnb	3556	3561
TerrainFeatures/hoeDirtDark.xnb	7950	7955
TerrainFeatures/tree3_greenRain_winter.xnb	1590	1595
TerrainFeatures/mushroom_tree.xnb	2138	2143
TerrainFeatures/tree3_greenRain_fall.xnb	1594	1599
TerrainFeatures/tree2_winter.xnb	1780	1785
TerrainFeatures/Stalagmite.xnb	1274	1279
TerrainFeatures/tree2_spring.xnb	3684	3689
TerrainFeatures/tree8_summer.xnb	2190	2195
Maps/paths.xnb	2514	2489
Maps/townInterior.ru-RU.xnb	161054	158960
Maps/coopTiles.ko-KR.xnb	6472	6477
Maps/bathhouse_tiles.fr-FR.xnb	8640	8645
Maps/fall_beach.pt-BR.xnb	33540	33429
Maps/Island_Hut.xnb	1130	1135
Maps/coopTiles.de-DE.xnb	6410	6412
Maps/Beach-Jellies2.xnb	7148	7153
Maps/Festivals.tr-TR.xnb	58828	58250
Maps/ManorHouse.xnb	1820	1825
Maps/DesertTiles.ja-JP.xnb	25110	24920
Maps/NightSceneMaruMap.xnb	1760	1765
Maps/Bus(people).xnb	698	703
Maps/summer_beach.es-ES.xnb	33892	33779
Maps/coopTiles.fr-FR.xnb	6492	6491
Maps/Farm_Fishing.xnb	12100	12105
Maps/Tunnel.xnb	598	603
Maps/mermaid_house_tiles.xnb	4746	4751
Maps/bathhouse_tiles.ko-KR.xnb	8648	8653
Maps/Town-Fair2.xnb	34264	34267
Maps/busPeople.xnb	29798	25269
Maps/Forest.xnb	27760	27770
Maps/fall_monsterGraveTiles.xnb	1792	1797
Maps/spring_town.zh-CN.xnb	116456	114470
Maps/samshowtiles.es-ES.xnb	8342	8347
Maps/desert_festival_tilesheet_text.xnb	584	563
Maps/DesertTiles.it-IT.xnb	25058	24866
Maps/CommunityCenter_Refurbished.xnb	3482	3487
Maps/FarmHouse_CornerRoom_Add.xnb	738	743
