token	declaring_type	field	attributes
0x04000001	<>f__AnonymousType0`5	<Id>i__Field	Private, InitOnly
0x04000002	<>f__AnonymousType0`5	<Name>i__Field	Private, InitOnly
0x04000003	<>f__AnonymousType0`5	<Price>i__Field	Private, InitOnly
0x04000004	<>f__AnonymousType0`5	<Trade>i__Field	Private, InitOnly
0x04000005	<>f__AnonymousType0`5	<StockLimit>i__Field	Private, InitOnly
0x04000006	<>f__AnonymousType1`2	<Query>i__Field	Private, InitOnly
0x04000007	<>f__AnonymousType1`2	<Result>i__Field	Private, InitOnly
0x04000008	<>f__AnonymousType2`2	<term>i__Field	Private, InitOnly
0x04000009	<>f__AnonymousType2`2	<score>i__Field	Private, InitOnly
0x0400000A	System.Runtime.CompilerServices.NullableAttribute	NullableFlags	Public, InitOnly
0x0400000B	System.Runtime.CompilerServices.NullableContextAttribute	Flag	Public, InitOnly
0x0400000C	FrameRateCounter	content	Private
0x0400000D	FrameRateCounter	spriteBatch	Private
0x0400000E	FrameRateCounter	frameRate	Private
0x0400000F	FrameRateCounter	frameCounter	Private
0x04000010	FrameRateCounter	elapsedTime	Private
0x04000011	ObjToStr	_stringBuilder	Private, Static, InitOnly
0x04000012	ObjToStr	_cache	Private, Static, InitOnly
0x04000013	Ionic.Zlib.BlockState	value__	Public, SpecialName, RTSpecialName
0x04000014	Ionic.Zlib.BlockState	NeedMore	Public, Static, Literal, HasDefault
0x04000015	Ionic.Zlib.BlockState	BlockDone	Public, Static, Literal, HasDefault
0x04000016	Ionic.Zlib.BlockState	FinishStarted	Public, Static, Literal, HasDefault
0x04000017	Ionic.Zlib.BlockState	FinishDone	Public, Static, Literal, HasDefault
0x04000018	Ionic.Zlib.DeflateFlavor	value__	Public, SpecialName, RTSpecialName
0x04000019	Ionic.Zlib.DeflateFlavor	Store	Public, Static, Literal, HasDefault
0x0400001A	Ionic.Zlib.DeflateFlavor	Fast	Public, Static, Literal, HasDefault
0x0400001B	Ionic.Zlib.DeflateFlavor	Slow	Public, Static, Literal, HasDefault
0x0400001C	Ionic.Zlib.DeflateManager	MEM_LEVEL_MAX	Private, Static, InitOnly
0x0400001D	Ionic.Zlib.DeflateManager	MEM_LEVEL_DEFAULT	Private, Static, InitOnly
0x0400001E	Ionic.Zlib.DeflateManager	DeflateFunction	Private
0x0400001F	Ionic.Zlib.DeflateManager	_ErrorMessage	Private, Static, InitOnly
0x04000020	Ionic.Zlib.DeflateManager	PRESET_DICT	Private, Static, InitOnly
0x04000021	Ionic.Zlib.DeflateManager	INIT_STATE	Private, Static, InitOnly
0x04000022	Ionic.Zlib.DeflateManager	BUSY_STATE	Private, Static, InitOnly
0x04000023	Ionic.Zlib.DeflateManager	FINISH_STATE	Private, Static, InitOnly
0x04000024	Ionic.Zlib.DeflateManager	Z_DEFLATED	Private, Static, InitOnly
0x04000025	Ionic.Zlib.DeflateManager	STORED_BLOCK	Private, Static, InitOnly
0x04000026	Ionic.Zlib.DeflateManager	STATIC_TREES	Private, Static, InitOnly
0x04000027	Ionic.Zlib.DeflateManager	DYN_TREES	Private, Static, InitOnly
0x04000028	Ionic.Zlib.DeflateManager	Z_BINARY	Private, Static, InitOnly
0x04000029	Ionic.Zlib.DeflateManager	Z_ASCII	Private, Static, InitOnly
0x0400002A	Ionic.Zlib.DeflateManager	Z_UNKNOWN	Private, Static, InitOnly
0x0400002B	Ionic.Zlib.DeflateManager	Buf_size	Private, Static, InitOnly
0x0400002C	Ionic.Zlib.DeflateManager	MIN_MATCH	Private, Static, InitOnly
0x0400002D	Ionic.Zlib.DeflateManager	MAX_MATCH	Private, Static, InitOnly
0x0400002E	Ionic.Zlib.DeflateManager	MIN_LOOKAHEAD	Private, Static, InitOnly
0x0400002F	Ionic.Zlib.DeflateManager	HEAP_SIZE	Private, Static, InitOnly
0x04000030	Ionic.Zlib.DeflateManager	END_BLOCK	Private, Static, InitOnly
0x04000031	Ionic.Zlib.DeflateManager	_codec	Assembly
0x04000032	Ionic.Zlib.DeflateManager	status	Assembly
0x04000033	Ionic.Zlib.DeflateManager	pending	Assembly
0x04000034	Ionic.Zlib.DeflateManager	nextPending	Assembly
0x04000035	Ionic.Zlib.DeflateManager	pendingCount	Assembly
0x04000036	Ionic.Zlib.DeflateManager	data_type	Assembly
0x04000037	Ionic.Zlib.DeflateManager	last_flush	Assembly
0x04000038	Ionic.Zlib.DeflateManager	w_size	Assembly
0x04000039	Ionic.Zlib.DeflateManager	w_bits	Assembly
0x0400003A	Ionic.Zlib.DeflateManager	w_mask	Assembly
0x0400003B	Ionic.Zlib.DeflateManager	window	Assembly
0x0400003C	Ionic.Zlib.DeflateManager	window_size	Assembly
0x0400003D	Ionic.Zlib.DeflateManager	prev	Assembly
0x0400003E	Ionic.Zlib.DeflateManager	head	Assembly
0x0400003F	Ionic.Zlib.DeflateManager	ins_h	Assembly
0x04000040	Ionic.Zlib.DeflateManager	hash_size	Assembly
0x04000041	Ionic.Zlib.DeflateManager	hash_bits	Assembly
0x04000042	Ionic.Zlib.DeflateManager	hash_mask	Assembly
0x04000043	Ionic.Zlib.DeflateManager	hash_shift	Assembly
0x04000044	Ionic.Zlib.DeflateManager	block_start	Assembly
0x04000045	Ionic.Zlib.DeflateManager	config	Private
0x04000046	Ionic.Zlib.DeflateManager	match_length	Assembly
0x04000047	Ionic.Zlib.DeflateManager	prev_match	Assembly
0x04000048	Ionic.Zlib.DeflateManager	match_available	Assembly
0x04000049	Ionic.Zlib.DeflateManager	strstart	Assembly
0x0400004A	Ionic.Zlib.DeflateManager	match_start	Assembly
0x0400004B	Ionic.Zlib.DeflateManager	lookahead	Assembly
0x0400004C	Ionic.Zlib.DeflateManager	prev_length	Assembly
0x0400004D	Ionic.Zlib.DeflateManager	compressionLevel	Assembly
0x0400004E	Ionic.Zlib.DeflateManager	compressionStrategy	Assembly
0x0400004F	Ionic.Zlib.DeflateManager	dyn_ltree	Assembly
0x04000050	Ionic.Zlib.DeflateManager	dyn_dtree	Assembly
0x04000051	Ionic.Zlib.DeflateManager	bl_tree	Assembly
0x04000052	Ionic.Zlib.DeflateManager	treeLiterals	Assembly
0x04000053	Ionic.Zlib.DeflateManager	treeDistances	Assembly
0x04000054	Ionic.Zlib.DeflateManager	treeBitLengths	Assembly
0x04000055	Ionic.Zlib.DeflateManager	bl_count	Assembly
0x04000056	Ionic.Zlib.DeflateManager	heap	Assembly
0x04000057	Ionic.Zlib.DeflateManager	heap_len	Assembly
0x04000058	Ionic.Zlib.DeflateManager	heap_max	Assembly
0x04000059	Ionic.Zlib.DeflateManager	depth	Assembly
0x0400005A	Ionic.Zlib.DeflateManager	_lengthOffset	Assembly
0x0400005B	Ionic.Zlib.DeflateManager	lit_bufsize	Assembly
0x0400005C	Ionic.Zlib.DeflateManager	last_lit	Assembly
0x0400005D	Ionic.Zlib.DeflateManager	_distanceOffset	Assembly
0x0400005E	Ionic.Zlib.DeflateManager	opt_len	Assembly
0x0400005F	Ionic.Zlib.DeflateManager	static_len	Assembly
0x04000060	Ionic.Zlib.DeflateManager	matches	Assembly
0x04000061	Ionic.Zlib.DeflateManager	last_eob_len	Assembly
0x04000062	Ionic.Zlib.DeflateManager	bi_buf	Assembly
0x04000063	Ionic.Zlib.DeflateManager	bi_valid	Assembly
0x04000064	Ionic.Zlib.DeflateManager	Rfc1950BytesEmitted	Private
0x04000065	Ionic.Zlib.DeflateManager	_WantRfc1950HeaderBytes	Private
0x04000066	Ionic.Zlib.GZipStream	LastModified	Public
0x04000067	Ionic.Zlib.GZipStream	_headerByteCount	Private
0x04000068	Ionic.Zlib.GZipStream	_baseStream	Assembly
0x04000069	Ionic.Zlib.GZipStream	_disposed	Private
0x0400006A	Ionic.Zlib.GZipStream	_firstReadDone	Private
0x0400006B	Ionic.Zlib.GZipStream	_FileName	Private
0x0400006C	Ionic.Zlib.GZipStream	_Comment	Private
0x0400006D	Ionic.Zlib.GZipStream	_Crc32	Private
0x0400006E	Ionic.Zlib.GZipStream	_unixEpoch	Assembly, Static, InitOnly
0x0400006F	Ionic.Zlib.GZipStream	iso8859dash1	Assembly, Static, InitOnly
0x04000070	Ionic.Zlib.InflateBlocks	MANY	Private, Static, Literal, HasDefault
0x04000071	Ionic.Zlib.InflateBlocks	border	Assembly, Static, InitOnly
0x04000072	Ionic.Zlib.InflateBlocks	mode	Private
0x04000073	Ionic.Zlib.InflateBlocks	left	Assembly
0x04000074	Ionic.Zlib.InflateBlocks	table	Assembly
0x04000075	Ionic.Zlib.InflateBlocks	index	Assembly
