token	declaring_type	method	rva	il_bytes	attributes	impl_attributes
0x06000001	<>f__AnonymousType0`5	get_Id	0x2048	7	Public, HideBySig, SpecialName	IL
0x06000002	<>f__AnonymousType0`5	get_Name	0x2050	7	Public, HideBySig, SpecialName	IL
0x06000003	<>f__AnonymousType0`5	get_Price	0x2058	7	Public, HideBySig, SpecialName	IL
0x06000004	<>f__AnonymousType0`5	get_Trade	0x2060	7	Public, HideBySig, SpecialName	IL
0x06000005	<>f__AnonymousType0`5	get_StockLimit	0x2068	7	Public, HideBySig, SpecialName	IL
0x06000006	<>f__AnonymousType0`5	.ctor	0x2070	44	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000007	<>f__AnonymousType0`5	Equals	0x20A0	137	Public, Virtual, HideBySig	IL
0x06000008	<>f__AnonymousType0`5	GetHashCode	0x2138	121	Public, Virtual, HideBySig	IL
0x06000009	<>f__AnonymousType0`5	ToString	0x21C0	219	Public, Virtual, HideBySig	IL
0x0600000A	<>f__AnonymousType1`2	get_Query	0x22A7	7	Public, HideBySig, SpecialName	IL
0x0600000B	<>f__AnonymousType1`2	get_Result	0x22AF	7	Public, HideBySig, SpecialName	IL
0x0600000C	<>f__AnonymousType1`2	.ctor	0x22B7	21	Public, HideBySig, SpecialName, RTSpecialName	IL
0x0600000D	<>f__AnonymousType1`2	Equals	0x22D0	65	Public, Virtual, HideBySig	IL
0x0600000E	<>f__AnonymousType1`2	GetHashCode	0x231D	52	Public, Virtual, HideBySig	IL
0x0600000F	<>f__AnonymousType1`2	ToString	0x2354	98	Public, Virtual, HideBySig	IL
0x06000010	<>f__AnonymousType2`2	get_term	0x23C2	7	Public, HideBySig, SpecialName	IL
0x06000011	<>f__AnonymousType2`2	get_score	0x23CA	7	Public, HideBySig, SpecialName	IL
0x06000012	<>f__AnonymousType2`2	.ctor	0x23D2	21	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000013	<>f__AnonymousType2`2	Equals	0x23E8	65	Public, Virtual, HideBySig	IL
0x06000014	<>f__AnonymousType2`2	GetHashCode	0x2435	52	Public, Virtual, HideBySig	IL
0x06000015	<>f__AnonymousType2`2	ToString	0x246C	98	Public, Virtual, HideBySig	IL
0x06000016	Microsoft.CodeAnalysis.EmbeddedAttribute	.ctor	0x24DA	7	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000017	System.Runtime.CompilerServices.NullableAttribute	.ctor	0x24E2	23	Public, HideBySig, SpecialName, RTSpecialName	IL
0x06000018	System.Runtime.CompilerServices.NullableAttribute	.ctor	0x24FA	14	Public, HideBySig, SpecialName, RTSpecialName	IL
