index	namespace	metadata_type_name	source_file	status	bytes
4		DontLoadDefaultSetting	DontLoadDefaultSetting.cs	ok	136
5		FrameRateCounter	FrameRateCounter.cs	ok	1234
6		ObjToStr	ObjToStr.cs	ok	3874
7	ContentManifest	CHJsonParser	ContentManifest/CHJsonParser.cs	ok	312
8	ContentManifest	ContentHashParser	ContentManifest/ContentHashParser.cs	ok	299
9	ContentManifest.Internal	CHArray	ContentManifest.Internal/CHArray.cs	ok	1035
10	ContentManifest.Internal	CHBoolean	ContentManifest.Internal/CHBoolean.cs	ok	1010
11	ContentManifest.Internal	CHElement	ContentManifest.Internal/CHElement.cs	ok	262
12	ContentManifest.Internal	CHJson	ContentManifest.Internal/CHJson.cs	ok	213
13	ContentManifest.Internal	CHJsonParserContext	ContentManifest.Internal/CHJsonParserContext.cs	ok	592
14	ContentManifest.Internal	CHNumber	ContentManifest.Internal/CHNumber.cs	ok	2392
15	ContentManifest.Internal	CHObject	ContentManifest.Internal/CHObject.cs	ok	1366
16	ContentManifest.Internal	CHParsable	ContentManifest.Internal/CHParsable.cs	ok	113
17	ContentManifest.Internal	CHString	ContentManifest.Internal/CHString.cs	ok	2093
18	ContentManifest.Internal	CHValue	ContentManifest.Internal/CHValue.cs	ok	2020
19	ContentManifest.Internal	CHValueEnum	ContentManifest.Internal/CHValueEnum.cs	ok	128
20	ContentManifest.Internal	CHValueUnion	ContentManifest.Internal/CHValueUnion.cs	ok	434
21	Force.DeepCloner	DeepClonerExtensions	Force.DeepCloner/DeepClonerExtensions.cs	ok	1135
22	Force.DeepCloner.Helpers	ClonerToExprGenerator	Force.DeepCloner.Helpers/ClonerToExprGenerator.cs	ok	9631
23	Force.DeepCloner.Helpers	DeepCloneState	Force.DeepCloner.Helpers/DeepCloneState.cs	ok	4224
24	Force.DeepCloner.Helpers	DeepClonerCache	Force.DeepCloner.Helpers/DeepClonerCache.cs	ok	2191
25	Force.DeepCloner.Helpers	DeepClonerExprGenerator	Force.DeepCloner.Helpers/DeepClonerExprGenerator.cs	ok	7322
26	Force.DeepCloner.Helpers	DeepClonerGenerator	Force.DeepCloner.Helpers/DeepClonerGenerator.cs	ok	5682
27	Force.DeepCloner.Helpers	DeepClonerSafeTypes	Force.DeepCloner.Helpers/DeepClonerSafeTypes.cs	ok	2774
28	Force.DeepCloner.Helpers	ReflectionHelper	Force.DeepCloner.Helpers/ReflectionHelper.cs	ok	2264
29	Force.DeepCloner.Helpers	ShallowClonerGenerator	Force.DeepCloner.Helpers/ShallowClonerGenerator.cs	ok	479
30	Force.DeepCloner.Helpers	ShallowObjectCloner	Force.DeepCloner.Helpers/ShallowObjectCloner.cs	ok	1412
31	Ionic.Crc	CRC32	Ionic.Crc/CRC32.cs	ok	4872
32	Ionic.Crc	CrcCalculatorStream	Ionic.Crc/CrcCalculatorStream.cs	ok	2982
33	Ionic.Zlib	Adler	Ionic.Zlib/Adler.cs	ok	1311
34	Ionic.Zlib	BlockState	Ionic.Zlib/BlockState.cs	ok	103
35	Ionic.Zlib	CompressionLevel	Ionic.Zlib/CompressionLevel.cs	ok	279
36	Ionic.Zlib	CompressionMode	Ionic.Zlib/CompressionMode.cs	ok	78
37	Ionic.Zlib	CompressionStrategy	Ionic.Zlib/CompressionStrategy.cs	ok	93
38	Ionic.Zlib	DeflateFlavor	Ionic.Zlib/DeflateFlavor.cs	ok	76
39	Ionic.Zlib	DeflateManager	Ionic.Zlib/DeflateManager.cs	ok	29779
40	Ionic.Zlib	FlushType	Ionic.Zlib/FlushType.cs	ok	88
41	Ionic.Zlib	GZipStream	Ionic.Zlib/GZipStream.cs	ok	7184
42	Ionic.Zlib	InfTree	Ionic.Zlib/InfTree.cs	ok	12421
43	Ionic.Zlib	InflateBlocks	Ionic.Zlib/InflateBlocks.cs	ok	13304
44	Ionic.Zlib	InflateCodes	Ionic.Zlib/InflateCodes.cs	ok	14511
45	Ionic.Zlib	InflateManager	Ionic.Zlib/InflateManager.cs	ok	7921
46	Ionic.Zlib	InternalConstants	Ionic.Zlib/InternalConstants.cs	ok	559
47	Ionic.Zlib	InternalInflateConstants	Ionic.Zlib/InternalInflateConstants.cs	ok	226
48	Ionic.Zlib	SharedUtils	Ionic.Zlib/SharedUtils.cs	ok	770
49	Ionic.Zlib	StaticTree	Ionic.Zlib/StaticTree.cs	ok	3816
50	Ionic.Zlib	Tree	Ionic.Zlib/Tree.cs	ok	8256
51	Ionic.Zlib	ZlibBaseStream	Ionic.Zlib/ZlibBaseStream.cs	ok	11717
52	Ionic.Zlib	ZlibCodec	Ionic.Zlib/ZlibCodec.cs	ok	5583
53	Ionic.Zlib	ZlibConstants	Ionic.Zlib/ZlibConstants.cs	ok	460
54	Ionic.Zlib	ZlibException	Ionic.Zlib/ZlibException.cs	ok	247
55	Ionic.Zlib	ZlibStream	Ionic.Zlib/ZlibStream.cs	ok	4504
56	Ionic.Zlib	ZlibStreamFlavor	Ionic.Zlib/ZlibStreamFlavor.cs	ok	88
57	LWJGL	LZ4	LWJGL/LZ4.cs	ok	1385
58	Microsoft.CodeAnalysis	EmbeddedAttribute	Microsoft.CodeAnalysis/EmbeddedAttribute.cs	ok	199
59	Netcode	AbstractNetEvent1`1	Netcode/AbstractNetEvent1.cs	ok	2775
