token	type	attributes	methods	fields	properties	nested
0x02000001	<Module>	NotPublic	0	0	0	0
0x02000002	<>f__AnonymousType0`5	Sealed, BeforeFieldInit	9	5	5	0
0x02000003	<>f__AnonymousType1`2	Sealed, BeforeFieldInit	6	2	2	0
0x02000004	<>f__AnonymousType2`2	Sealed, BeforeFieldInit	6	2	2	0
0x02000005	Microsoft.CodeAnalysis.EmbeddedAttribute	Sealed, BeforeFieldInit	1	0	0	0
0x02000006	System.Runtime.CompilerServices.NullableAttribute	Sealed, BeforeFieldInit	2	1	0	0
0x02000007	System.Runtime.CompilerServices.NullableContextAttribute	Sealed, BeforeFieldInit	1	1	0	0
0x02000008	FrameRateCounter	Public, BeforeFieldInit	5	5	0	0
0x02000009	DontLoadDefaultSetting	Public, BeforeFieldInit	1	0	0	0
0x0200000A	ObjToStr	Public, Abstract, Sealed, BeforeFieldInit	3	2	0	3
0x0200000B	Ionic.Zlib.BlockState	Sealed	0	5	0	0
0x0200000C	Ionic.Zlib.DeflateFlavor	Sealed	0	4	0	0
0x0200000D	Ionic.Zlib.DeflateManager	Sealed, BeforeFieldInit	41	74	1	2
0x0200000E	Ionic.Zlib.GZipStream	Public, BeforeFieldInit	33	10	12	0
0x0200000F	Ionic.Zlib.InflateBlocks	Sealed, BeforeFieldInit	8	22	0	1
0x02000010	Ionic.Zlib.InternalInflateConstants	Abstract, Sealed, BeforeFieldInit	1	1	0	0
0x02000011	Ionic.Zlib.InflateCodes	Sealed, BeforeFieldInit	4	24	0	0
0x02000012	Ionic.Zlib.InflateManager	Sealed, BeforeFieldInit	12	12	1	1
0x02000013	Ionic.Zlib.InfTree	Sealed, BeforeFieldInit	7	25	0	0
0x02000014	Ionic.Zlib.Tree	Sealed, BeforeFieldInit	7	13	0	0
0x02000015	Ionic.Zlib.FlushType	Public, Sealed	0	6	0	0
0x02000016	Ionic.Zlib.CompressionLevel	Public, Sealed	0	15	0	0
0x02000017	Ionic.Zlib.CompressionStrategy	Public, Sealed	0	4	0	0
0x02000018	Ionic.Zlib.CompressionMode	Public, Sealed	0	3	0	0
0x02000019	Ionic.Zlib.ZlibException	Public, BeforeFieldInit	2	0	0	0
0x0200001A	Ionic.Zlib.SharedUtils	BeforeFieldInit	5	0	0	0
0x0200001B	Ionic.Zlib.InternalConstants	Abstract, Sealed, BeforeFieldInit	1	10	0	0
0x0200001C	Ionic.Zlib.StaticTree	Sealed	2	10	0	0
0x0200001D	Ionic.Zlib.Adler	Public, Sealed, BeforeFieldInit	3	2	0	0
0x0200001E	Ionic.Zlib.ZlibStreamFlavor	Sealed	0	4	0	0
0x0200001F	Ionic.Zlib.ZlibBaseStream	BeforeFieldInit	25	18	9	1
0x02000020	Ionic.Zlib.ZlibCodec	Public, Sealed, BeforeFieldInit	23	15	1	0
0x02000021	Ionic.Zlib.ZlibConstants	Public, Abstract, Sealed, BeforeFieldInit	0	10	0	0
0x02000022	Ionic.Zlib.ZlibStream	Public, BeforeFieldInit	26	2	9	0
0x02000023	Ionic.Crc.CRC32	Public, BeforeFieldInit	19	6	2	0
0x02000024	Ionic.Crc.CrcCalculatorStream	Public, BeforeFieldInit	24	5	8	0
0x02000025	Sickhead.Engine.Util.MemberInfoExtensions	Public, Abstract, Sealed, BeforeFieldInit	9	0	0	0
0x02000026	Netcode.ILoggingWriter	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x02000027	Netcode.BinaryReaderWriterExtensions	Public, Abstract, Sealed, BeforeFieldInit	23	0	0	1
0x02000028	Netcode.FieldChange`2	Public, Sealed	4	0	0	0
0x02000029	Netcode.NetClock	Public, BeforeFieldInit	7	4	0	0
0x0200002A	Netcode.INetRoot	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	3	0	1	0
0x0200002B	Netcode.INetSerializable	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	19	0	7	0
0x0200002C	Netcode.INetObject`1	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	1	0
0x0200002D	Netcode.InterpolationCancellable	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	1	0	0	0
0x0200002E	Netcode.AbstractNetSerializable	Public, Abstract, BeforeFieldInit	38	9	8	1
0x0200002F	Netcode.NetArray`2	Public, BeforeFieldInit	35	3	6	2
0x02000030	Netcode.NetObjectArray`1	Public, BeforeFieldInit	3	0	0	0
0x02000031	Netcode.NetCollection`1	Public, Sealed, BeforeFieldInit	40	5	5	2
0x02000032	Netcode.NetDictionary`5	Public, Abstract, BeforeFieldInit	77	9	7	16
0x02000033	Netcode.NetFieldDictionary`5	Public, Abstract, BeforeFieldInit	5	0	0	0
0x02000034	Netcode.NetGuidDictionary`2	Public, BeforeFieldInit	4	0	0	0
0x02000035	Netcode.NetEnum`1	Public, BeforeFieldInit	8	1	0	0
0x02000036	Netcode.NetNullableEnum`1	Public, BeforeFieldInit	8	1	0	0
0x02000037	Netcode.NetEvent0	Public, BeforeFieldInit	11	3	0	1
0x02000038	Netcode.AbstractNetEvent1`1	Public, Abstract, BeforeFieldInit	14	4	0	3
0x02000039	Netcode.NetEventBinary	Public, BeforeFieldInit	5	0	0	2
0x0200003A	Netcode.NetEventArg	Public, ClassSemanticsMask, Abstract, BeforeFieldInit	2	0	0	0
0x0200003B	Netcode.NetEvent1`1	Public, BeforeFieldInit	3	0	0	0
